total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown,trade_count,trade_action_count,avg_exposure,latest_momentum,latest_exposure,max_drawdown_integral,max_drawdown_episode_integral,full_history_drawdown_integral,worst_drawdown_episode_integral,latest_holding_code,latest_holding_theme,latest_holding_name,latest_portfolio,strategy,relief_buffer,soft_span,vg_cap,overheat_cap,overheat_hi_cap,annualized_diff,sharpe_diff,max_drawdown_integral_diff,is_valid_change
20.193321011595696,0.2411905823180509,0.21070402885432013,1.144688991613013,-0.21817412265743186,911,1641,0.8195975083816139,0.026011560693641522,0.8,214.49828375322647,39.26660918513173,214.49828375322647,39.26660918513173,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__smooth_gb04_gs04_vg30_cap08_hi06__stressbond_511260_vr90_vb-1_cap20,0.04,0.04,0.3,0.08,0.06,-8.7982413614629e-06,-0.00014720384148403376,0.08330490334117258,False
20.193269365745397,0.2411903683013803,0.21070413387145434,1.1446874053668301,-0.21816406140206257,911,1641,0.8196041178481197,0.026011560693641522,0.8,214.49663911961315,39.26470170932845,214.49663911961315,39.26470170932845,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__smooth_gb04_gs05_vg30_cap08_hi06__stressbond_511260_vr90_vb-1_cap20,0.04,0.05,0.3,0.08,0.06,-9.012258032070619e-06,-0.0001487900876668835,0.08166026972784834,False
20.193108967341033,0.2411897036188968,0.21070386975223082,1.144685685661657,-0.21819089225117272,911,1641,0.8195914641350823,0.026011560693641522,0.8,214.50123066275125,39.26978846796381,214.50123066275125,39.26978846796381,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__smooth_gb04_gs03_vg30_cap08_hi06__stressbond_511260_vr90_vb-1_cap20,0.04,0.03,0.3,0.08,0.06,-9.676940515568333e-06,-0.00015050979284003674,0.08625181286595307,False
20.193043350248615,0.24118943170379747,0.21069491788187483,1.1447330297687544,-0.2181345227979643,911,1641,0.8195757556464112,0.026011560693641522,0.8,214.46522448686943,39.259179008593264,214.46522448686943,39.259179008593264,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__smooth_gb02_gs04_vg31_cap08_hi05__stressbond_511260_vr90_vb-1_cap20,0.02,0.04,0.31,0.08,0.05,-9.948855614894114e-06,-0.00010316568574264551,0.05024563698412976,False
20.19301753204778,0.2411893247137975,0.2106949703196754,1.1447322370717001,-0.2181294917328468,911,1641,0.819579060379664,0.026011560693641522,0.8,214.46440208762445,39.25822518866148,214.46440208762445,39.25822518866148,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__smooth_gb02_gs05_vg31_cap08_hi05__stressbond_511260_vr90_vb-1_cap20,0.02,0.05,0.31,0.08,0.05,-1.0055845614864722e-05,-0.00010395838279686487,0.04942323773914836,False
20.192993685734386,0.24118922589514358,0.2106861937359446,1.1447794543074272,-0.21809078388696668,911,1641,0.8194796857774154,0.026011560693641522,0.8,214.43083798153714,39.251187616416985,214.43083798153714,39.251187616416985,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__smooth_gb02_gs04_vg30_cap08_hi04__stressbond_511260_vr90_vb-1_cap20,0.02,0.04,0.3,0.08,0.04,-1.015466426879108e-05,-5.674114706977207e-05,0.015859131651836833,False
20.192984861326106,0.2411891893269431,0.21070542737955383,1.1446747828307118,-0.2181783657739863,911,1641,0.8196718255154067,0.026011560693641522,0.8,214.49963300546816,39.26718991432845,214.49963300546816,39.26718991432845,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__smooth_gb02_gs04_vg32_cap08_hi06__stressbond_511260_vr90_vb-1_cap20,0.02,0.04,0.32,0.08,0.06,-1.0191232469258793e-05,-0.0001614126237852176,0.08465415558285372,False
20.192967958913048,0.24118911928358622,0.21068624465172733,1.1447786716322241,-0.21808574924635604,911,1641,0.8194829905106684,0.026011560693641522,0.8,214.43001491314465,39.25023312610382,214.43001491314465,39.25023312610382,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__smooth_gb02_gs05_vg30_cap08_hi04__stressbond_511260_vr90_vb-1_cap20,0.02,0.05,0.3,0.08,0.04,-1.0261275826151106e-05,-5.752382227286468e-05,0.0150360632593447,False
20.192958951884506,0.24118908195856803,0.21070548133882652,1.1446739801264216,-0.218173338284395,911,1641,0.8196751302486596,0.026011560693641522,0.8,214.4988112753773,39.26623676478451,214.4988112753773,39.26623676478451,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__smooth_gb02_gs05_vg32_cap08_hi06__stressbond_511260_vr90_vb-1_cap20,0.02,0.05,0.32,0.08,0.06,-1.0298600844338424e-05,-0.00016221532807536576,0.08383242549200531,False
20.192937328504026,0.24118899235147873,0.21069483833041713,1.1447313767280805,-0.21814290811519144,911,1641,0.8195727335231452,0.026011560693641522,0.8,214.46669803943345,39.26076874760269,214.46669803943345,39.26076874760269,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__smooth_gb02_gs03_vg31_cap08_hi05__stressbond_511260_vr90_vb-1_cap20,0.02,0.03,0.31,0.08,0.05,-1.038820793364259e-05,-0.00010481872641654455,0.05171918954815169,False
