date,official_signal,official_holding,official_current_momentum,official_effective_momentum,official_exposure,official_target_exposure,official_drawdown,cand_signal,cand_holding,cand_current_momentum,cand_effective_momentum,cand_exposure,cand_target_exposure,cand_drawdown,cand_reduce_core_triggered
2026-05-21,159941,159941,0.16666666666666652,0.16666666666666652,1.0,1.0,-0.057081706762874496,159941,159949,0.16666666666666652,0.16666666666666652,1.0,1.0,-0.056004968097342234,False
2026-05-22,159941,159941,0.16850625459896995,0.16850625459896995,1.0,1.0,-0.04077242174211693,159941,159941,0.16850625459896995,0.16850625459896995,1.0,1.0,-0.04063738209432466,False
2026-05-25,159949,159949,0.1545346062052506,0.1545346062052506,0.7,0.7,-0.007186318467935271,159949,159941,0.1545346062052506,0.1545346062052506,1.0,0.7,-0.006201822131715495,False
2026-05-26,159941,159941,0.14305949008498597,0.11705237513046077,0.7,0.7,-0.0010620741592191063,159941,159949,0.14305949008498597,0.11705237513046077,0.7,0.7,-0.00022159922515307962,False
2026-05-27,159941,159941,0.1745014245014247,0.13861940841824694,1.0,1.0,0.0,159941,159941,0.1745014245014247,0.13861940841824694,0.7,1.0,0.0,True
2026-05-28,159941,159941,0.17236467236467234,0.13765478225478228,1.0,1.0,-0.0013280776228017377,159941,159941,0.17236467236467234,0.13765478225478228,1.0,1.0,-0.0021196398925106275,True
2026-05-29,159941,159941,0.20999999999999996,0.20999999999999996,0.7800000000000005,0.7800000000000005,0.0,159941,159941,0.20999999999999996,0.20999999999999996,1.0,0.7800000000000005,0.0,False
2026-06-01,159941,159941,0.25373134328358216,0.25373134328358216,0.28507462686567137,0.28507462686567137,0.0,159941,159941,0.25373134328358216,0.25373134328358216,0.7800000000000005,0.28507462686567137,0.0,False
2026-06-02,159941,159941,0.2244177840508117,0.2244177840508117,0.6069865913902597,0.6069865913902597,-0.004846802654355886,159941,159941,0.2244177840508117,0.2244177840508117,0.28507462686567137,0.6069865913902597,-0.00493290393625323,False
2026-06-03,159941,159941,0.20380818053596617,0.20380818053596617,1.0,1.0,-0.014788712291786132,159941,159941,0.20380818053596617,0.20380818053596617,0.6069865913902597,1.0,-0.014838924567736167,False
2026-06-04,159941,159941,0.15379310344827601,0.15379310344827601,1.0,1.0,-0.03441213571421098,159941,159941,0.15379310344827601,0.15379310344827601,1.0,1.0,-0.034651082681223744,False
