total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown,trade_count,avg_exposure,latest_holding_code,latest_holding_theme,latest_holding_name,latest_momentum,latest_exposure,variant,start_date,end_date,risk_codes,defensive_codes,annualized_diff,sharpe_diff,mdd_diff,trade_diff
18.905478774974174,0.23830932534626847,0.21116515137295772,1.128544761277248,-0.24832361790025592,1447,0.826182994998529,159941,纳指ETF,纳指ETF广发,0.1160891486506636,1.0,remove_511580,2012-05-28,2026-05-26,"510300,159949,159954,159941,513650,513880","518880,512890",0.004089539324104052,0.01896518093614752,0.0,-25
18.905478774974174,0.23830932534626847,0.21116515137295772,1.128544761277248,-0.24832361790025592,1447,0.826182994998529,159941,纳指ETF,纳指ETF广发,0.1160891486506636,1.0,remove_511580_cap28_hi18_hm30,2012-05-28,2026-05-26,"510300,159949,159954,159941,513650,513880","518880,512890",0.004089539324104052,0.01896518093614752,0.0,-25
18.905478774974174,0.23830932534626847,0.21116515137295772,1.128544761277248,-0.24832361790025592,1447,0.826182994998529,159941,纳指ETF,纳指ETF广发,0.1160891486506636,1.0,remove_511580_cap28_hi20_hm30,2012-05-28,2026-05-26,"510300,159949,159954,159941,513650,513880","518880,512890",0.004089539324104052,0.01896518093614752,0.0,-25
18.905478774974174,0.23830932534626847,0.21116515137295772,1.128544761277248,-0.24832361790025592,1447,0.826182994998529,159941,纳指ETF,纳指ETF广发,0.1160891486506636,1.0,remove_511580_cap29_hi18_hm30,2012-05-28,2026-05-26,"510300,159949,159954,159941,513650,513880","518880,512890",0.004089539324104052,0.01896518093614752,0.0,-25
18.905478774974174,0.23830932534626847,0.21116515137295772,1.128544761277248,-0.24832361790025592,1447,0.826182994998529,159941,纳指ETF,纳指ETF广发,0.1160891486506636,1.0,remove_511580_cap29_hi20_hm30,2012-05-28,2026-05-26,"510300,159949,159954,159941,513650,513880","518880,512890",0.004089539324104052,0.01896518093614752,0.0,-25
18.905478774974174,0.23830932534626847,0.21116515137295772,1.128544761277248,-0.24832361790025592,1447,0.826182994998529,159941,纳指ETF,纳指ETF广发,0.1160891486506636,1.0,remove_511580_cap30_hi18_hm30,2012-05-28,2026-05-26,"510300,159949,159954,159941,513650,513880","518880,512890",0.004089539324104052,0.01896518093614752,0.0,-25
18.625286201537044,0.23705545627873326,0.21121036802417656,1.1223665698626986,-0.24832361790025592,1464,0.8268655486907914,159941,纳指ETF,纳指ETF广发,0.1160891486506636,1.0,remove_513650,2012-05-28,2026-05-26,"510300,159949,159954,159941,513880","511580,518880,512890",0.002835670256568834,0.01278698952159818,0.0,-8
18.00507176724738,0.23421978602216442,0.21108876746827115,1.1095795803411004,-0.24832361790025592,1472,0.8267714033539276,159941,纳指ETF,纳指ETF广发,0.1160891486506636,1.0,base_regime_mix,2012-05-28,2026-05-26,"510300,159949,159954,159941,513650,513880","511580,518880,512890",0.0,0.0,0.0,0
17.07705491144128,0.22981208504900374,0.21025678172721385,1.0930067661130705,-0.24832361790025592,1436,0.8213486319505737,159941,纳指ETF,纳指ETF广发,0.1160891486506636,1.0,remove_513880,2012-05-28,2026-05-26,"510300,159949,159954,159941,513650","511580,518880,512890",-0.0044077009731606775,-0.01657281422802992,0.0,-36
15.28942407688545,0.22069463921115284,0.20886225083304383,1.056651636812855,-0.24832361790025592,1411,0.8182335981170933,159941,纳指ETF,纳指ETF广发,0.1160891486506636,1.0,remove_512890,2012-05-28,2026-05-26,"510300,159949,159954,159941,513650,513880","511580,518880",-0.013525146811011579,-0.05292794352824548,0.0,-61
13.715795277787914,0.2118641130225296,0.21116812840162758,1.003295879099607,-0.22582268416551632,1422,0.8252003530450133,159941,纳指ETF,纳指ETF广发,0.1160891486506636,1.0,remove_159954,2012-05-28,2026-05-26,"510300,159949,159941,513650,513880","511580,518880,512890",-0.022355672999634812,-0.10628370124149344,0.022500933734739603,-50
11.767737443053159,0.1996285277028551,0.20550066252605376,0.9714252268045405,-0.319116389694175,1408,0.7950314798470138,159949,创业板50,创业板50ETF华安,0.10490397303125085,1.0,remove_159941,2012-05-28,2026-05-26,"510300,159949,159954,513650,513880","511580,518880,512890",-0.034591258319309315,-0.13815435353655992,-0.07079277179391907,-64
8.712570824682459,0.17640907878408485,0.20289753574576463,0.8694490947644113,-0.31563403721655103,1172,0.6546219476316564,159941,纳指ETF,纳指ETF广发,0.1160891486506636,1.0,remove_518880,2012-05-28,2026-05-26,"510300,159949,159954,159941,513650,513880","511580,512890",-0.05781070723807957,-0.24013048557668903,-0.06731041931629511,-300
8.102684355299484,0.17096959383049715,0.18738217141884297,0.9124112103938646,-0.2222982742364913,1405,0.8200859076198883,159941,纳指ETF,纳指ETF广发,0.1160891486506636,1.0,remove_159949,2012-05-28,2026-05-26,"510300,159954,159941,513650,513880","511580,518880,512890",-0.06325019219166728,-0.19716836994723574,0.026025343663764633,-67
