date,base_regime_mix,remove_159949,remove_159954,remove_159941,remove_513650,remove_513880,remove_511580,remove_518880,remove_512890,remove_511580_cap28_hi18_hm30,remove_511580_cap28_hi20_hm30,remove_511580_cap29_hi18_hm30,remove_511580_cap29_hi20_hm30,remove_511580_cap30_hi18_hm30
2014-09-04,1.0738868764005356,1.0738868764005356,1.0738868764005356,1.0738868764005356,1.0738868764005356,1.0738868764005356,1.0738868764005356,1.0665161049024126,1.0738868764005356,1.0738868764005356,1.0738868764005356,1.0738868764005356,1.0738868764005356,1.0738868764005356
2014-09-05,1.076626045627996,1.076626045627996,1.076626045627996,1.076626045627996,1.076626045627996,1.076626045627996,1.076626045627996,1.0704043165937256,1.076626045627996,1.076626045627996,1.076626045627996,1.076626045627996,1.076626045627996,1.076626045627996
2014-09-09,1.072152540985673,1.072152540985673,1.072152540985673,1.072152540985673,1.072152540985673,1.072152540985673,1.072152540985673,1.066244653681587,1.072152540985673,1.072152540985673,1.072152540985673,1.072152540985673,1.072152540985673,1.072152540985673
2014-09-10,1.0665211892585253,1.0665211892585253,1.0665211892585253,1.0665211892585253,1.0665211892585253,1.0665211892585253,1.0665211892585253,1.0630436631820044,1.0665211892585253,1.0665211892585253,1.0665211892585253,1.0665211892585253,1.0665211892585253,1.0665211892585253
2014-09-11,1.0612148361964524,1.0612148361964524,1.0612148361964524,1.0612148361964524,1.0612148361964524,1.0612148361964524,1.0612148361964524,1.0605617506390184,1.0612148361964524,1.0612148361964524,1.0612148361964524,1.0612148361964524,1.0612148361964524,1.0612148361964524
2014-09-12,1.0614431465014025,1.0614431465014025,1.0614431465014025,1.0614431465014025,1.0614431465014025,1.0614431465014025,1.0614431465014025,1.0641288051757023,1.0614431465014025,1.0614431465014025,1.0614431465014025,1.0614431465014025,1.0614431465014025,1.0614431465014025
2014-09-15,1.056367659241223,1.056367659241223,1.056367659241223,1.056367659241223,1.056367659241223,1.056367659241223,1.056367659241223,1.0593265971253398,1.056367659241223,1.056367659241223,1.056367659241223,1.056367659241223,1.056367659241223,1.056367659241223
2014-09-16,1.02929745104851,1.02929745104851,1.02929745104851,1.02929745104851,1.02929745104851,1.02929745104851,1.02929745104851,1.0321805639451316,1.02929745104851,1.02929745104851,1.02929745104851,1.02929745104851,1.02929745104851,1.02929745104851
2014-09-17,1.0303932916619674,1.0303932916619674,1.0303932916619674,1.0303932916619674,1.0303932916619674,1.0303932916619674,1.0303932916619674,1.0332225887970534,1.0303932916619674,1.0303932916619674,1.0303932916619674,1.0303932916619674,1.0303932916619674,1.0303932916619674
2014-09-18,1.0266429606899172,1.0266429606899172,1.0266429606899172,1.0266429606899172,1.0266429606899172,1.0266429606899172,1.0266429606899172,1.0349834063555634,1.0266429606899172,1.0266429606899172,1.0266429606899172,1.0266429606899172,1.0266429606899172,1.0266429606899172
2014-09-19,1.030133325616565,1.030133325616565,1.030133325616565,1.030133325616565,1.030133325616565,1.030133325616565,1.030133325616565,1.0384897022270645,1.030133325616565,1.030133325616565,1.030133325616565,1.030133325616565,1.030133325616565,1.030133325616565
2014-09-22,0.9974860237706709,0.9974860237706709,0.9974860237706709,0.9974860237706709,0.9974860237706709,0.9974860237706709,0.9974860237706709,1.0058492446260847,0.9974860237706709,0.9974860237706709,0.9974860237706709,0.9974860237706709,0.9974860237706709,0.9974860237706709
2014-09-23,1.0026299423253848,1.0026299423253848,1.0026299423253848,1.0026299423253848,1.0026299423253848,1.0026299423253848,1.0026299423253848,1.0098291561542105,1.0026299423253848,1.0026299423253848,1.0026299423253848,1.0026299423253848,1.0026299423253848,1.0026299423253848
2014-09-24,1.0128488494863697,1.0128488494863697,1.0128488494863697,1.0128488494863697,1.0128488494863697,1.0128488494863697,1.0128488494863697,1.0179028813638031,1.0128488494863697,1.0128488494863697,1.0128488494863697,1.0128488494863697,1.0128488494863697,1.0128488494863697
2014-09-25,1.0067624940472304,1.0067624940472304,1.0067624940472304,1.0067624940472304,1.0067624940472304,1.0067624940472304,1.0067624940472304,1.0157143601067657,1.0067624940472304,1.0067624940472304,1.0067624940472304,1.0067624940472304,1.0067624940472304,1.0067624940472304
