code,theme,name,positive_years,negative_years,flat_years,total_gross_contribution,avg_positive_year_contribution,avg_negative_year_contribution,best_year,best_year_contribution,worst_year,worst_year_contribution,positive_year_list,negative_year_list
159949,创业板50,创业板50ETF华安,7,3,5,1.1520983038564032,0.19607215782432105,-0.07346893363794807,2025,0.401424575452587,2018,-0.18148331749716462,2017/2019/2020/2021/2022/2025/2026,2018/2023/2024
159941,纳指ETF,纳指ETF广发,11,1,3,0.9511080816078716,0.0964843274578056,-0.11021952042798988,2020,0.21946983452864474,2022,-0.11021952042798988,2015/2016/2017/2018/2019/2020/2021/2023/2024/2025/2026,2022
518880,黄金ETF,黄金ETF华安,9,5,1,0.47756041080498624,0.06412532931471766,-0.019913510605494556,2016,0.17224469010441912,2013,-0.040673254467310446,2014/2015/2016/2017/2018/2019/2023/2025/2026,2013/2020/2021/2022/2024
510300,沪深300,沪深300ETF华泰柏瑞,5,9,1,0.41206430586906084,0.11102801683048044,-0.015897308698149044,2014,0.34279809213243406,2016,-0.05192982824194001,2012/2014/2015/2017/2025,2013/2016/2018/2019/2020/2021/2023/2024/2026
159954,H股,H股ETF,5,3,7,0.37915396118988387,0.08673699614722959,-0.018177006515421347,2024,0.2154373695996178,2021,-0.039798392785060935,2020/2022/2023/2024/2025,2018/2019/2021
512890,红利低波ETF,红利低波ETF华泰柏瑞,8,0,7,0.2679812273714969,0.03349765342143711,,2021,0.14874023700962802,2012,0.0,2019/2020/2021/2022/2023/2024/2025/2026,
513880,日经ETF,日经225ETF华安,6,2,7,0.24066365220423164,0.04715816008685314,-0.02114265415844362,2026,0.08463906067785247,2021,-0.029404245357114722,2020/2022/2023/2024/2025/2026,2019/2021
159985,豆粕,豆粕ETF,4,3,8,0.22858599255026185,0.09350150389867327,-0.04847334101481041,2022,0.2730268148918245,2026,-0.09607944826752346,2020/2022/2023/2025,2021/2024/2026
511260,十年国债ETF,十年国债ETF,6,1,8,0.01503877651247747,0.0026889070085830305,-0.0010946655390207116,2019,0.005802253227656285,2025,-0.0010946655390207116,2017/2018/2019/2020/2021/2024,2025
