strategy,year,strategy_return,hs300_return,excess_return
baseline_threshold_dual,2016,-0.01968852158466694,0.09810333551340777,-0.11779185709807471
baseline_threshold_dual,2017,0.058206241910123246,0.20023557126030544,-0.1420293293501822
baseline_threshold_dual,2018,-0.12480768951585053,-0.260396518375242,0.1355888288593915
baseline_threshold_dual,2019,0.42043108778897964,0.35764003977461223,0.06279104801436741
baseline_threshold_dual,2020,0.352526372664719,0.2742829597493357,0.07824341291538328
baseline_threshold_dual,2021,0.14329889930883843,-0.06111736032995996,0.2044162596387984
baseline_threshold_dual,2022,-0.04067916279628758,-0.21082164328657316,0.17014248049028557
baseline_threshold_dual,2023,0.0769078255537805,-0.11395289946821863,0.19086072502199913
baseline_threshold_dual,2024,0.37314720475299534,0.16478424558354998,0.20836295916944536
baseline_threshold_dual,2025,1.0076102519002914,0.21591199795344074,0.7916982539468507
baseline_threshold_dual,2026,0.10774782914704661,0.0037159372419488523,0.10403189190509776
hs300_trend_guard,2016,-0.01968852158466694,0.09810333551340777,-0.11779185709807471
hs300_trend_guard,2017,0.043219943627448965,0.20023557126030544,-0.15701562763285648
hs300_trend_guard,2018,-0.10331843227755322,-0.260396518375242,0.1570780860976888
hs300_trend_guard,2019,0.3009538114885464,0.35764003977461223,-0.05668622828606584
hs300_trend_guard,2020,0.3428217622504679,0.2742829597493357,0.0685388025011322
hs300_trend_guard,2021,0.08314477781056784,-0.06111736032995996,0.1442621381405278
hs300_trend_guard,2022,-0.040679162796286916,-0.21082164328657316,0.17014248049028624
hs300_trend_guard,2023,0.07690782555378162,-0.11395289946821863,0.19086072502200024
hs300_trend_guard,2024,0.3731472047529951,0.16478424558354998,0.20836295916944514
hs300_trend_guard,2025,1.0018352372501766,0.21591199795344074,0.7859232392967359
hs300_trend_guard,2026,0.10774782914704617,0.0037159372419488523,0.10403189190509732
core_satellite_70_30,2016,0.016272792319734775,0.09810333551340777,-0.081830543193673
core_satellite_70_30,2017,0.1010742235160973,0.20023557126030544,-0.09916134774420815
core_satellite_70_30,2018,-0.16317235092850468,-0.260396518375242,0.09722416744673734
core_satellite_70_30,2019,0.4066984386381365,0.35764003977461223,0.049058398863524255
core_satellite_70_30,2020,0.3388751416155926,0.2742829597493357,0.06459218186625693
core_satellite_70_30,2021,0.08186302798936529,-0.06111736032995996,0.14298038831932525
core_satellite_70_30,2022,-0.08990546625655127,-0.21082164328657316,0.12091617703002189
core_satellite_70_30,2023,0.018204569825299943,-0.11395289946821863,0.13215746929351857
core_satellite_70_30,2024,0.31884087116279636,0.16478424558354998,0.15405662557924638
core_satellite_70_30,2025,0.7360275147262545,0.21591199795344074,0.5201155167728138
core_satellite_70_30,2026,0.07814130472507674,0.0037159372419488523,0.07442536748312789
adaptive_core_satellite_80_20,2016,-0.01253278765725574,0.09810333551340777,-0.11063612317066351
adaptive_core_satellite_80_20,2017,0.060463572405005106,0.20023557126030544,-0.13977199885530034
adaptive_core_satellite_80_20,2018,-0.12017529597182175,-0.260396518375242,0.14022122240342028
adaptive_core_satellite_80_20,2019,0.3978123195327832,0.35764003977461223,0.04017227975817095
adaptive_core_satellite_80_20,2020,0.32593098472431925,0.2742829597493357,0.05164802497498355
adaptive_core_satellite_80_20,2021,0.125635345208285,-0.06111736032995996,0.18675270553824497
adaptive_core_satellite_80_20,2022,-0.04067916279628714,-0.21082164328657316,0.17014248049028602
adaptive_core_satellite_80_20,2023,0.07690782555378095,-0.11395289946821863,0.19086072502199958
adaptive_core_satellite_80_20,2024,0.3700435430846838,0.16478424558354998,0.2052592975011338
adaptive_core_satellite_80_20,2025,0.9512849241345769,0.21591199795344074,0.7353729261811361
adaptive_core_satellite_80_20,2026,0.10462756063327427,0.0037159372419488523,0.10091162339132542
hs300_partial_override_30,2016,-0.01968852158466694,0.09810333551340777,-0.11779185709807471
hs300_partial_override_30,2017,0.053359279066513166,0.20023557126030544,-0.14687629219379228
hs300_partial_override_30,2018,-0.11813773686404117,-0.260396518375242,0.14225878151120086
hs300_partial_override_30,2019,0.38013418355217765,0.35764003977461223,0.022494143777565423
hs300_partial_override_30,2020,0.3514713655382937,0.2742829597493357,0.07718840578895803
hs300_partial_override_30,2021,0.12575939188464869,-0.06111736032995996,0.18687675221460864
hs300_partial_override_30,2022,-0.04067916279628725,-0.21082164328657316,0.1701424804902859
hs300_partial_override_30,2023,0.07690782555378206,-0.11395289946821863,0.1908607250220007
hs300_partial_override_30,2024,0.373147204752994,0.16478424558354998,0.20836295916944403
hs300_partial_override_30,2025,1.0053740832542926,0.21591199795344074,0.7894620853008518
hs300_partial_override_30,2026,0.10774782914704728,0.0037159372419488523,0.10403189190509843
hs300_partial_override_40,2016,-0.01968852158466694,0.09810333551340777,-0.11779185709807471
hs300_partial_override_40,2017,0.05167923092457882,0.20023557126030544,-0.14855634033572662
hs300_partial_override_40,2018,-0.11590603761599116,-0.260396518375242,0.14449048075925086
hs300_partial_override_40,2019,0.36679857064082166,0.35764003977461223,0.009158530866209436
