date,current_threshold_dual_nav,hysteresis_thresholds_nav,defensive_multihorizon_nav,lead_margin_filter_nav,hs300_benchmark
2016-05-25,1.0,1.0,1.0,1.0,1.0
2016-05-26,1.0,1.0,1.0,1.0,1.0
2016-05-27,1.0,1.0,1.0,1.0,1.0006540222367561
2016-05-30,1.0,1.0,1.0,1.0,1.0013080444735123
2016-05-31,1.0,1.0,1.0,1.0,1.036298234139961
2016-06-01,1.0,1.0,1.0,1.0,1.0320470896010465
2016-06-02,1.0,1.0,1.0,1.0,1.0330281229561804
2016-06-03,1.0,1.0,1.0,1.0,1.0451275343361675
2016-06-06,1.0,1.0,1.0,1.0,1.0389143230869848
2016-06-07,1.0,1.0,1.0,1.0,1.0389143230869848
2016-06-08,1.0,1.0,1.0,1.0,1.0376062786134728
2016-06-13,1.0,1.0,1.0,1.0,1.0035971223021583
2016-06-14,1.0,1.0,1.0,1.0,1.0078482668410726
2016-06-15,1.0,1.0,1.0,1.0,1.0212557226945718
2016-06-16,1.0,1.0,1.0,1.0,1.0150425114453892
2016-06-17,1.0,1.0,1.0,1.0,1.0192936559843033
2016-06-20,1.0,1.0,1.0,1.0,1.0196206671026813
2016-06-21,1.0,1.0,1.0,1.0,1.0173315892740353
2016-06-22,1.0,1.0,1.0,1.0,1.0235448005232175
2016-06-23,1.0,1.0,1.0,1.0,1.0202746893394374
2016-06-24,1.0,1.0,1.0,1.0,1.0094833224329627
2016-06-27,1.0,1.0,1.0,1.0,1.0222367560497057
2016-06-28,1.0,1.0,1.0,1.0,1.027468933943754
2016-06-29,1.0,1.0,1.0,1.0,1.0320470896010463
2016-06-30,1.0,1.0,1.0,1.0,1.0336821451929363
2016-07-01,1.0,1.0,1.0,1.0,1.0327011118378022
2016-07-04,1.011071966410077,1.011071966410077,1.0,1.011071966410077,1.0500327011118376
2016-07-05,1.012678755303691,1.0085608528681134,1.0019901899719714,1.012678755303691,1.0526487900588617
2016-07-06,1.0177122626304567,1.024474477397797,1.0069705699159142,1.0177122626304567,1.05788096795291
2016-07-07,1.018970639462148,1.0214153069189709,1.0082156649018998,1.018970639462148,1.059189012426422
2016-07-08,1.0125055900507376,1.0158490109684586,1.007711557069449,1.0125055900507376,1.0552648790058858
