variant,total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown,max_drawdown_integral,trade_count,trade_action_count,avg_exposure,latest_momentum,latest_exposure,latest_holding_name,latest_portfolio,defensive_codes
baseline,25.935359429283768,0.26316919301582997,0.2027995078191887,1.2976816159261366,-0.18982759788871417,189.5262207197485,939,1641,0.8191336835960303,0.11544153922052303,1.0,日经225ETF华安,日经ETF / 日经225ETF华安 (513880) 100%,"511580,518880,512890,159985"
drop_soymeal_159985,23.98420800610931,0.25644925039960076,0.1964212560889858,1.3056084433317143,-0.18982759788871417,189.65298976881496,938,1624,0.8127618213660245,0.11544153922052303,1.0,日经225ETF华安,日经ETF / 日经225ETF华安 (513880) 100%,"518880,512890"
drop_soymeal_159985_diff_vs_base,-1.9511514231744584,-0.006719942616229213,-0.0063782517302029,0.007926827405577708,0.0,0.1267690490664677,-1,-17,-0.006371862230005854,0.0,0.0,,,
