variant,start_date,end_date,total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown,trade_count,avg_exposure,resource_holding_share,latest_momentum,latest_exposure,return_diff,annualized_diff,sharpe_diff,mdd_diff,trade_diff
base_pool,2023-04-04,2026-05-25,2.7933092335996794,0.5289110788799158,0.26954612244493675,1.9622284827635113,-0.18636288936308953,318,0.8914893617021278,0.0,0.18944323933477958,1.0,0.0,0.0,0.0,0.0,0
resource_risk,2023-04-04,2026-05-25,3.1589347424603575,0.5743753987929894,0.2732403326796365,2.1020886380870496,-0.1441040231891919,350,0.8954787234042555,0.1077127659574468,0.18944323933477958,1.0,0.36562550886067813,0.045464319913073536,0.13986015532353835,0.042258866173897625,32
resource_cap_70,2023-04-04,2026-05-25,2.990542865041975,0.553789804658225,0.2616187015047964,2.116782177546555,-0.14410402318919213,350,0.8643617021276596,0.1077127659574468,0.18944323933477958,1.0,0.19723363144229555,0.024878725778309185,0.1545536947830437,0.0422588661738974,32
resource_cap_60,2023-04-04,2026-05-25,2.9330259091760458,0.5466229559305236,0.258581027707433,2.113932954698403,-0.1441040231891919,350,0.8539893617021277,0.1077127659574468,0.18944323933477958,1.0,0.13971667557636636,0.017711877050607727,0.1517044719348919,0.042258866173897625,32
resource_abs_08,2023-04-04,2026-05-25,3.5946588204245247,0.6251278692566782,0.2727236235552071,2.2921661904735378,-0.1441040231891919,333,0.8952127659574469,0.07845744680851063,0.18944323933477958,1.0,0.8013495868248453,0.09621679037676234,0.3299377077100265,0.042258866173897625,15
resource_abs_10,2023-04-04,2026-05-25,3.432763425787403,0.6066699149242365,0.2728080179721878,2.2237979639809753,-0.14877090701363238,334,0.8936170212765957,0.06382978723404255,0.18944323933477958,1.0,0.6394541921877237,0.07775883604432066,0.26156948121746404,0.037591982349457154,16
resource_margin_03,2023-04-04,2026-05-25,3.3991079675927143,0.6027753276779957,0.27247854205903776,2.2121937497279793,-0.14410402318919202,335,0.8944148936170214,0.07712765957446809,0.18944323933477958,1.0,0.6057987339930349,0.07386424879807985,0.24996526696446808,0.042258866173897514,17
resource_margin_05,2023-04-04,2026-05-25,2.9456966083395306,0.5482078813588005,0.2704395961980534,2.0270991713703292,-0.15513998183275324,323,0.8968085106382978,0.061170212765957445,0.18944323933477958,1.0,0.1523873747398512,0.019296802478884656,0.064870688606818,0.031222907530336297,5
resource_margin_03_cap_70,2023-04-04,2026-05-25,3.3024426341329685,0.5914751328648307,0.2625624764054413,2.2527024461465395,-0.1441040231891919,335,0.872473404255319,0.07712765957446809,0.18944323933477958,1.0,0.509133400533289,0.06256405398491482,0.2904739633830282,0.042258866173897625,17
