date,hs300_benchmark,base_pool,resource_risk,resource_cap_70,resource_cap_60,resource_abs_08,resource_abs_10,resource_margin_03,resource_margin_05,resource_margin_03_cap_70
2024-06-14,0.8751308900523559,1.0221901274314447,1.088627212550758,1.0942441601055157,1.0960125925304929,1.1228498783451668,1.069417758430371,1.0813254522590858,1.061416150200037,1.0873654237321433
2024-06-17,0.8725130890052356,1.0269093800973332,1.0936531922947597,1.0992960722020326,1.1010726691349737,1.1280338574695676,1.074355051867261,1.086317721198417,1.0663165017706744,1.092385578043003
2024-06-18,0.875392670157068,1.0401232875618212,1.1077259355779643,1.1134414260722794,1.1152408836275194,1.1425489990178894,1.0881794734905532,1.1002960742285437,1.080037486168459,1.1064420101134094
2024-06-19,0.8727748691099475,1.0401232875618212,1.1077259355779643,1.1134414260722794,1.1152408836275194,1.1425489990178894,1.0881794734905532,1.1002960742285437,1.080037486168459,1.1064420101134094
2024-06-20,0.8667539267015705,1.0457863907608873,1.1137571112707663,1.1195037205880993,1.1213129755528959,1.14876977396717,1.094104225614821,1.1062867969557408,1.0859179080532235,1.1124661952864405
2024-06-21,0.8651832460732983,1.0325724832963996,1.0996843679875616,1.1053583667178526,1.1071447610603504,1.1342546324188485,1.0802798039915291,1.092308443925614,1.0721969236554392,1.0984097632160343
2024-06-24,0.8607329842931937,1.0287970811636888,1.0956635841923603,1.1013168370406392,1.103096699776766,1.130107449119328,1.0763299692420172,1.0883146287741494,1.0682766423989294,1.0943936397673468
2024-06-25,0.8552356020942409,1.0165270242323787,1.082596036857956,1.0881818655896958,1.0899405006051164,1.1166291033958864,1.0634930063061032,1.075334729531889,1.0555357283152724,1.0813412385591123
2024-06-26,0.8607329842931937,1.0325724832963996,1.0996843679875616,1.1053583667178526,1.1071447610603504,1.1342546324188485,1.0802798039915293,1.0923084439256143,1.0721969236554392,1.0984097632160343
2024-06-27,0.8557591623036649,1.0316286327632218,1.0986791720387612,1.104347984298549,1.1061327457394543,1.1332178365939682,1.0792923453041512,1.091309990137748,1.0712168533413116,1.0974057323538624
2024-06-28,0.8575916230366492,1.0448425402277095,1.1127519153219658,1.1184933381687958,1.1203009602319998,1.1477329781422898,1.093116766927443,1.1052883431678746,1.084937837739096,1.1114621644242686
2024-07-01,0.8612565445026177,1.0429548391613541,1.1107415234243652,1.1164725733301892,1.1182769295902075,1.1456593864925295,1.0911418495526872,1.1032914355921422,1.0829776971108411,1.109454102699925
2024-07-02,0.8599476439790575,1.0448425402277095,1.1127519153219658,1.1184933381687958,1.1203009602319998,1.1477329781422898,1.0931167669274433,1.1052883431678746,1.0849378377390961,1.1114621644242686
2024-07-03,0.8583769633507853,1.0674949530239743,1.136876618093174,1.1427425162320761,1.1445893279335067,1.1726160779394128,1.1168157754245154,1.1292512340766634,1.1084595252781553,1.1355589051163937
2024-07-04,0.8544502617801046,1.0712703551566851,1.1408974018883753,1.1467840459092895,1.1486373892170911,1.1767632612389334,1.1207656101740275,1.1332450492281283,1.1123798065346653,1.1395750285650812
2024-07-05,0.85,1.0797650099552845,1.1499441654275782,1.1558774876830196,1.1577455271051562,1.1860944236628543,1.1296527383604296,1.142231133318924,1.1212004393618125,1.1486113063246282
