variant,start_date,end_date,total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown,trade_count,avg_exposure,china_internet_holding_share,latest_momentum,latest_exposure,return_diff,annualized_diff,sharpe_diff,mdd_diff,trade_diff
base_pool,2023-04-04,2026-05-25,2.7933092335996794,0.5289110788799158,0.26954612244493675,1.9622284827635113,-0.18636288936308953,318,0.8914893617021278,0.0,0.18944323933477958,1.0,0.0,0.0,0.0,0.0,0
china_internet_risk,2023-04-04,2026-05-25,3.2776697784794333,0.5885513728306706,0.27749397365777484,2.12095190779355,-0.2335065298620176,319,0.8909574468085106,0.10904255319148937,0.18944323933477958,1.0,0.4843605448797539,0.059640293950754764,0.15872342503003867,-0.04714364049892805,1
ci_cap_70,2023-04-04,2026-05-25,2.9996259945339125,0.5549151505462777,0.26735292433406677,2.075590352821022,-0.21381653122726785,319,0.8622340425531915,0.10904255319148937,0.18944323933477958,1.0,0.20631676093423312,0.026004071666361872,0.11336187005751097,-0.027453641864178313,1
ci_cap_60,2023-04-04,2026-05-25,2.9085116004181844,0.5435466549572929,0.2647238043126358,2.053259457979723,-0.2071834389795023,319,0.8526595744680852,0.10904255319148937,0.18944323933477958,1.0,0.11520236681850493,0.014635576077377088,0.09103097521621195,-0.020820549616412776,1
ci_abs_08,2023-04-04,2026-05-25,3.085052254425471,0.5654146957689814,0.275875964627725,2.0495250339476594,-0.219462037884797,334,0.8920212765957446,0.08776595744680851,0.18944323933477958,1.0,0.2917430208257916,0.03650361688906556,0.08729655118414814,-0.03309914852170748,16
ci_abs_10,2023-04-04,2026-05-25,3.066150975160327,0.5631045689749521,0.2759618665446922,2.0405158728108437,-0.21632851792055074,337,0.8920212765957446,0.07712765957446809,0.18944323933477958,1.0,0.27284174156064767,0.03419349009503625,0.07828739004733243,-0.02996562855746121,19
ci_margin_03,2023-04-04,2026-05-25,3.582493870393793,0.6237564707955885,0.28314370439564795,2.2029678255674328,-0.2605987387743883,324,0.8928191489361702,0.09308510638297872,0.18944323933477958,1.0,0.7891846367941135,0.09484539191567265,0.2407393428039215,-0.0742358494112988,6
ci_margin_05,2023-04-04,2026-05-25,3.5048726316778023,0.6149469961612508,0.2827394718463251,2.1749598389838103,-0.24624731017863088,324,0.8928191489361703,0.07845744680851063,0.18944323933477958,1.0,0.7115633980781229,0.08603591728133497,0.21273135622029904,-0.05988442081554135,6
ci_margin_03_cap_70,2023-04-04,2026-05-25,3.288611758975067,0.589844194306677,0.2748131668225789,2.1463461926752734,-0.23875064333970364,324,0.8688829787234043,0.09308510638297872,0.18944323933477958,1.0,0.49530252537538777,0.060933115426761164,0.18411770991176213,-0.052387753976614104,6
