total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown,trade_count,avg_exposure,latest_holding_code,latest_holding_theme,latest_holding_name,latest_momentum,latest_exposure,strategy,threshold,weak_trend_def_weight,return_diff,annualized_diff,sharpe_diff,mdd_diff,trade_diff
11.669932040917606,0.19682183952474008,0.2296932300765581,0.8568900331069323,-0.25350949628406305,1100,0.798806404657933,512890,红利低波ETF,红利低波ETF华泰柏瑞,-0.026450511945392607,0.7,thr_5%_def_70%,0.05,0.7,-1.9267372845953652,-0.012048265110273126,0.05729469561072198,0.060813599086527836,189
10.284121993759923,0.1870525480688081,0.2259174077406664,0.8279687251171376,-0.25350949628406294,1100,0.7425036390101892,512890,红利低波ETF,红利低波ETF华泰柏瑞,-0.026450511945392607,0.5,thr_5%_def_50%,0.05,0.5,-3.3125473317530485,-0.0218175565662051,0.028373387620927226,0.06081359908652795,189
13.596669325512972,0.2088701046350132,0.2612197630979847,0.7995953374962104,-0.3143230953705909,911,0.992721979621543,159985,豆粕,豆粕ETF,0.07132169576059866,1.0,single_momentum,,,0.0,0.0,0.0,0.0,0
9.009732915384634,0.1770295132667219,0.22337843479097566,0.7925094176274252,-0.25350949628406283,1100,0.6862008733624454,512890,红利低波ETF,红利低波ETF华泰柏瑞,-0.026450511945392607,0.3,thr_5%_def_30%,0.05,0.3,-4.586936410128338,-0.031840591368291316,-0.007085919868785151,0.06081359908652806,189
7.653846720723747,0.16496946127119294,0.236212229834278,0.6983950889711865,-0.2811589815444149,1153,0.8459097525473072,512890,红利低波ETF,红利低波ETF华泰柏瑞,-0.026450511945392607,0.7,thr_3%_def_70%,0.03,0.7,-5.9428226047892245,-0.04390064336382027,-0.10120024852502385,0.03316411382617601,242
7.333957472383522,0.1618688172842071,0.234430504295336,0.6904767695260531,-0.29136899738215527,1153,0.8149927219796216,512890,红利低波ETF,红利低波ETF华泰柏瑞,-0.026450511945392607,0.5,thr_3%_def_50%,0.03,0.5,-6.262711853129449,-0.04700128735080611,-0.10911856797015729,0.022954097988435618,242
7.010229176325867,0.1586162606215311,0.23323748090845706,0.6800633414652001,-0.3017495746064438,1153,0.7840756914119359,512890,红利低波ETF,红利低波ETF华泰柏瑞,-0.026450511945392607,0.3,thr_3%_def_30%,0.03,0.3,-6.586440149187105,-0.050253844013482096,-0.11953199603101028,0.012573520764147084,242
4.299672917758927,0.12524223115396405,0.21047175974701157,0.5950548011975859,-0.3102195824696419,949,0.6541484716157205,512890,红利低波ETF,红利低波ETF华泰柏瑞,-0.026450511945392607,0.5,thr_8%_def_50%,0.08,0.5,-9.296996407754044,-0.08362787348104916,-0.20454053629862445,0.0041035129009490134,38
4.511970048795601,0.12837378671744748,0.2163626592078641,0.5933269039465637,-0.3238734232869902,949,0.7429985443959243,512890,红利低波ETF,红利低波ETF华泰柏瑞,-0.026450511945392607,0.7,thr_8%_def_70%,0.08,0.7,-9.08469927671737,-0.08049631791756573,-0.20626843354964663,-0.009550327916399315,38
4.066243380463888,0.12166144941010981,0.20645489590509242,0.589288274694332,-0.3210911479455846,949,0.5652983988355167,512890,红利低波ETF,红利低波ETF华泰柏瑞,-0.026450511945392607,0.3,thr_8%_def_30%,0.08,0.3,-9.530425945049084,-0.0872086552249034,-0.21030706280187839,-0.006768052574993688,38
