date,baseline_nav,relief_breadth_blend_ge_m2_nav,relief_breadth_blend_ge_m1_nav,relief_breadth_blend_ge_0_nav,relief_above_ma20_ge_55_nav,relief_above_ma20_ge_60_nav,relief_above_ma20_ge_65_nav,relief_combo_m1_or_ma60_nav,hs300_benchmark
2012-05-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-05-29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0153609831029187
2012-05-30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.012288786482335
2012-05-31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.009984639016897
2012-06-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.009984639016897
2012-06-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9823348694316433
2012-06-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9834869431643621
2012-06-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9827188940092163
2012-06-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9765745007680489
2012-06-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.973118279569892
2012-06-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9846390168970811
2012-06-12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9784946236559137
2012-06-13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9927035330261134
2012-06-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9884792626728107
2012-06-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9923195084485404
2012-06-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9953917050691242
2012-06-19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9880952380952378
2012-06-20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9869431643625188
2012-06-21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9715821812596002
2012-06-25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.952380952380952
2012-06-26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.952380952380952
2012-06-27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9489247311827954
2012-06-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9435483870967738
2012-06-29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9543010752688166
2012-07-02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9543010752688166
2012-07-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9558371735791084
2012-07-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9558371735791084
2012-07-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9450844854070652
2012-07-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9604454685099839
2012-07-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9412442396313357
2012-07-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.937403993855606
2012-07-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9416282642089089
2012-07-12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9500768049155144
2012-07-13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9516129032258063
