date,nav,strategy_return,current_momentum,signal,holding,exposure,trade_cost_rate,turnover,drawdown,weight_510300,weight_159949,weight_159954,weight_159941,weight_513880,weight_518880,weight_512890,weight_159985,weight_511260,effective_momentum,signal_risk_winner,signal_defensive_winner,top2_close_risk_cap_triggered,stress_bond_trigger,weak_market_trigger,target_weight_510300,target_weight_159949,target_weight_159954,target_weight_159941,target_weight_513880,target_weight_518880,target_weight_512890,target_weight_159985,target_weight_511260
2021-06-04,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-07,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-08,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-09,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-10,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-11,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-15,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-16,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-17,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-18,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-21,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-22,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-23,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-24,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-25,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-28,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
