date,strategy_nav,benchmark_nav,strategy_return,benchmark_return
2021-06-04,1.0,1.0,0.0,0.0
2021-06-07,1.0,0.9988668555240792,0.0,-0.0011331444759208331
2021-06-08,1.0,0.9909348441926347,0.0,-0.007941009642654318
2021-06-09,1.0,0.9924457034938623,0.0,0.0015246807699638154
2021-06-10,1.0,0.9988668555240795,0.0,0.006470028544243611
2021-06-11,1.0,0.9896128423040607,0.0,-0.009264511249763574
2021-06-15,1.0,0.9784702549575072,0.0,-0.011259541984733001
2021-06-16,1.0,0.9650613786591126,0.0,-0.013703918162516815
2021-06-17,1.0,0.9671388101983005,0.0,0.002152641878669259
2021-06-18,1.0,0.9680830972615675,0.0,0.0009763718023820811
2021-06-21,1.0,0.9667610953729934,0.0,-0.0013655872024970206
2021-06-22,1.0,0.9716713881019832,0.0,0.005079117015042156
2021-06-23,1.0,0.9775259678942402,0.0,0.00602526724975716
2021-06-24,1.0,0.9799811142587352,0.0,0.002511591962905957
2021-06-25,1.0,0.9952785646836642,0.0,0.01560994411254546
2021-06-28,1.0,0.9969782813975452,0.0,0.0017077798861480087
2021-06-29,1.0,0.9867799811142591,0.0,-0.010229210077666195
2021-06-30,1.0,0.9926345609065163,0.0,0.005933014354067234
2021-07-01,1.0,0.9922568460812092,0.0,-0.0003805175038052999
2021-07-02,1.0,0.9656279508970733,0.0,-0.0268366958507803
2021-07-05,1.0,0.9669499527856473,0.0,0.00136905926070785
2021-07-06,1.0,0.9682719546742213,0.0,0.0013671874999998668
2021-07-07,1.0,0.9782813975448539,0.0,0.010337429295884437
2021-07-08,1.0,0.9699716713881021,0.0,-0.008494208494208566
2021-07-09,1.0,0.9654390934844194,0.0,-0.004672897196261738
2021-07-12,1.0,0.9782813975448538,0.0,0.013302034428795073
2021-07-13,0.9998337228714523,0.9813031161473088,-0.00016627712854766497,0.003088803088802994
2021-07-14,0.997163939899833,0.9705382436260623,-0.002670226969292422,-0.010969976905311762
2021-07-15,1.0129090747155622,0.9833805476864966,0.01578991596638657,0.013232146331971117
2021-07-16,0.979424477204304,0.9737488196411708,-0.03305785123966942,-0.00979450739389287
2021-07-19,0.9718450860982492,0.9779036827195468,-0.00773861720067448,0.004266873545384131
2021-07-20,0.9711850894353642,0.9754485363550519,-0.0006791171477078528,-0.002510621861722684
2021-07-21,1.0011647385340476,0.9828139754485362,0.030869140624999902,0.007550822846079219
2021-07-22,0.9993200689359724,0.9837582625118034,-0.001842523539908436,0.0009607993850884178
2021-07-23,0.9759302706122361,0.9739376770538243,-0.023405712594805173,-0.009982722211556827
2021-07-26,0.9418200863966629,0.9408876298394712,-0.03495145631067953,-0.03393445801822759
2021-07-27,0.938410388890436,0.9082152974504248,-0.0036203278688524687,-0.034725010036130155
2021-07-28,0.9294643332435516,0.9101038715769593,-0.009533201840894123,0.0020794343938448367
2021-07-29,0.9313152413084244,0.9265344664778091,0.0019913707268504055,0.018053538078439457
2021-07-30,0.9219368605905014,0.9201133144475919,-0.01007003891050584,-0.006930289441500204
2021-08-02,0.9182967219394912,0.942965061378659,-0.003948360030510911,0.024835796387520537
2021-08-03,0.9160466840296855,0.9433427762039661,-0.002450229709035079,0.00040056078509942417
2021-08-04,0.9092924227649506,0.9516525023607175,-0.007373271889400734,0.008808808808808521
2021-08-05,0.9077768598041727,0.9459867799811145,-0.0016667497966930123,-0.005953562214724761
2021-08-06,0.903441209130481,0.9429650613786592,-0.004776119402985168,-0.0031942503493712637
2021-08-09,0.8892342755409912,0.9533522190745988,-0.015725354838709737,0.011015421590226282
2021-08-10,0.8917143362549477,0.9641170915958456,0.002788984615384571,0.011291600633914767
2021-08-11,0.8906218837756155,0.9590179414542025,-0.001225114854517595,-0.005288932419196923
2021-08-12,0.8780548265198859,0.9529745042492922,-0.01411042944785279,-0.006301693580149648
2021-08-13,0.8945055024265817,0.9478753541076492,0.0187353629976581,-0.005350772889417321
2021-08-16,0.9016015033611633,0.947308781869689,0.007932875667429506,-0.000597728631201333
2021-08-17,0.9021462776834359,0.926156751652503,0.0006042296072508169,-0.022328548644338087
2021-08-18,0.895065280485015,0.9361661945231354,-0.007849056603773552,0.01080750407830311
2021-08-19,0.8841498502351978,0.9297450424929182,-0.012195121951219523,-0.006858987290700003
2021-08-20,0.8837961902951037,0.912747875354108,-0.00039999999999995595,-0.018281535648994596
2021-08-23,0.8896339142630001,0.9263456090651561,0.006605283018867869,0.014897579143389184
2021-08-24,0.8920110255903565,0.9361661945231351,0.002672010688043125,0.010601427115188411
2021-08-25,0.8912082156673252,0.9388101983002836,-0.0008999999999999009,0.002824288884406112
2021-08-26,0.8993573009913151,0.9227573182247407,0.009143862433862227,-0.017099175216254148
2021-08-27,0.9031168612305993,0.9252124645892355,0.004180274330502831,0.002660663119115725
2021-08-30,0.9073419693533157,0.9218130311614734,0.004678362573099504,-0.003674219228413933
2021-08-31,0.9317253194341283,0.9214353163361663,0.026873385012919915,-0.00040975209997973217
2021-09-01,0.9261349675175236,0.9346553352219076,-0.006000000000000005,0.01434720229555242
2021-09-02,0.9401319695454963,0.9338999055712939,0.015113350125944613,-0.0008082440897150267
2021-09-03,0.9382726232522048,0.9288007554296508,-0.001977750309023474,-0.005460060667340727
2021-09-06,0.9386200764009935,0.9446647780925402,0.00037031150667532486,0.017080113867425695
2021-09-07,0.953001190659398,0.9565627950897074,0.015321549815498159,0.012594962015193945
2021-09-08,0.9681664898959308,0.952596789423985,0.015913200723327137,-0.004146100691016841
2021-09-09,0.9611340245132727,0.952219074598678,-0.007263694267515941,-0.0003965107057890549
2021-09-10,0.9726861161540571,0.961473087818697,0.012019230769230616,0.00971836572788587
2021-09-13,0.9773069528103709,0.9563739376770539,0.004750593824228044,-0.005303476723629963
