date,baseline_nav,step1_split_weak_and_stress_nav,step2_split_and_smooth_overheat_nav
2012-05-28,1.0,1.0,1.0
2012-05-29,1.0,1.0,1.0
2012-05-30,1.0,1.0,1.0
2012-05-31,1.0,1.0,1.0
2012-06-01,1.0,1.0,1.0
2012-06-04,1.0,1.0,1.0
2012-06-05,1.0,1.0,1.0
2012-06-06,1.0,1.0,1.0
2012-06-07,1.0,1.0,1.0
2012-06-08,1.0,1.0,1.0
2012-06-11,1.0,1.0,1.0
2012-06-12,1.0,1.0,1.0
2012-06-13,1.0,1.0,1.0
2012-06-14,1.0,1.0,1.0
2012-06-15,1.0,1.0,1.0
2012-06-18,1.0,1.0,1.0
2012-06-19,1.0,1.0,1.0
2012-06-20,1.0,1.0,1.0
2012-06-21,1.0,1.0,1.0
2012-06-25,1.0,1.0,1.0
2012-06-26,1.0,1.0,1.0
2012-06-27,1.0,0.9995,0.9995
2012-06-28,1.0,0.9995,0.9995
2012-06-29,1.0,0.9995,0.9995
2012-07-02,1.0,0.9995,0.9995
2012-07-03,1.0,0.9995,0.9995
2012-07-04,1.0,0.9995,0.9995
2012-07-05,1.0,0.9995,0.9995
2012-07-06,1.0,0.9995,0.9995
2012-07-09,1.0,0.9995,0.9995
2012-07-10,1.0,0.9995,0.9995
2012-07-11,1.0,0.9995,0.9995
2012-07-12,1.0,0.9995,0.9995
2012-07-13,1.0,0.9995,0.9995
2012-07-16,1.0,0.9995,0.9995
2012-07-17,1.0,0.9995,0.9995
2012-07-18,1.0,0.9995,0.9995
2012-07-19,1.0,0.9995,0.9995
2012-07-20,1.0,0.9995,0.9995
2012-07-23,1.0,0.9995,0.9995
2012-07-24,1.0,0.9995,0.9995
2012-07-25,1.0,0.9995,0.9995
2012-07-26,1.0,0.9995,0.9995
2012-07-27,1.0,0.9995,0.9995
2012-07-30,1.0,0.9995,0.9995
2012-07-31,1.0,0.9995,0.9995
2012-08-01,1.0,0.9995,0.9995
2012-08-02,1.0,0.9990002500000001,0.9990002500000001
2012-08-03,1.0,0.9990002500000001,0.9990002500000001
2012-08-06,1.0,0.9985007498750001,0.9985007498750001
2012-08-07,1.0,0.9985007498750001,0.9985007498750001
2012-08-08,1.0,0.9980014995000627,0.9980014995000627
2012-08-09,1.0,0.9980014995000627,0.9980014995000627
2012-08-10,1.0,0.9980014995000627,0.9980014995000627
2012-08-13,1.0,0.9980014995000627,0.9980014995000627
2012-08-14,1.0,0.9980014995000627,0.9980014995000627
2012-08-15,1.0,0.9980014995000627,0.9980014995000627
2012-08-16,1.0,0.9980014995000627,0.9980014995000627
2012-08-17,1.0,0.9980014995000627,0.9980014995000627
2012-08-20,1.0,0.9980014995000627,0.9980014995000627
2012-08-21,1.0,0.9980014995000627,0.9980014995000627
2012-08-22,1.0,0.9980014995000627,0.9980014995000627
2012-08-23,1.0,0.9980014995000627,0.9980014995000627
2012-08-24,1.0,0.9980014995000627,0.9980014995000627
2012-08-27,1.0,0.9980014995000627,0.9980014995000627
2012-08-28,1.0,0.9980014995000627,0.9980014995000627
2012-08-29,1.0,0.9980014995000627,0.9980014995000627
2012-08-30,1.0,0.9980014995000627,0.9980014995000627
2012-08-31,1.0,0.9980014995000627,0.9980014995000627
2012-09-03,1.0,0.9980014995000627,0.9980014995000627
2012-09-04,1.0,0.9980014995000627,0.9980014995000627
2012-09-05,1.0,0.9980014995000627,0.9980014995000627
2012-09-06,1.0,0.9980014995000627,0.9980014995000627
2012-09-07,1.0,0.9980014995000627,0.9980014995000627
2012-09-10,1.0,0.9980014995000627,0.9980014995000627
2012-09-11,1.0,0.9980014995000627,0.9980014995000627
2012-09-12,1.0,0.9980014995000627,0.9980014995000627
2012-09-13,1.0,0.9980014995000627,0.9980014995000627
2012-09-14,1.0,0.9980014995000627,0.9980014995000627
2012-09-17,1.0,0.9980014995000627,0.9980014995000627
2012-09-18,1.0,0.9980014995000627,0.9980014995000627
2012-09-19,1.0,0.9980014995000627,0.9980014995000627
2012-09-20,1.0,0.9980014995000627,0.9980014995000627
2012-09-21,1.0,0.9980014995000627,0.9980014995000627
2012-09-24,1.0,0.9980014995000627,0.9980014995000627
2012-09-25,1.0,0.9980014995000627,0.9980014995000627
2012-09-26,1.0,0.9980014995000627,0.9980014995000627
2012-09-27,1.0,0.9980014995000627,0.9980014995000627
2012-09-28,1.0,0.9980014995000627,0.9980014995000627
2012-10-08,1.0,0.9980014995000627,0.9980014995000627
2012-10-09,1.0,0.9980014995000627,0.9980014995000627
2012-10-10,1.0,0.9980014995000627,0.9980014995000627
2012-10-11,1.0,0.9980014995000627,0.9980014995000627
2012-10-12,1.0,0.9980014995000627,0.9980014995000627
2012-10-15,1.0,0.9980014995000627,0.9980014995000627
2012-10-16,1.0,0.9980014995000627,0.9980014995000627
2012-10-17,1.0,0.9980014995000627,0.9980014995000627
2012-10-18,1.0,0.9980014995000627,0.9980014995000627
2012-10-19,0.9995,0.9975024987503127,0.9975024987503127
2012-10-22,0.9990002500000001,0.9970037475009376,0.9970037475009376
2012-10-23,0.9990002500000001,0.9970037475009376,0.9970037475009376
2012-10-24,0.9990002500000001,0.9970037475009376,0.9970037475009376
2012-10-25,0.9990002500000001,0.9970037475009376,0.9970037475009376
2012-10-26,0.9990002500000001,0.9970037475009376,0.9970037475009376
2012-10-29,0.9990002500000001,0.9970037475009376,0.9970037475009376
2012-10-30,0.9990002500000001,0.9970037475009376,0.9970037475009376
2012-10-31,0.9990002500000001,0.9970037475009376,0.9970037475009376
2012-11-01,0.9990002500000001,0.9970037475009376,0.9970037475009376
2012-11-02,0.9990002500000001,0.9970037475009376,0.9970037475009376
2012-11-05,0.9990002500000001,0.9970037475009376,0.9970037475009376
2012-11-06,0.9990002500000001,0.9970037475009376,0.9970037475009376
2012-11-07,0.9990002500000001,0.9970037475009376,0.9970037475009376
2012-11-08,0.9990002500000001,0.9970037475009376,0.9970037475009376
2012-11-09,0.9990002500000001,0.9970037475009376,0.9970037475009376
2012-11-12,0.9990002500000001,0.9970037475009376,0.9970037475009376
2012-11-13,0.9990002500000001,0.9970037475009376,0.9970037475009376
2012-11-14,0.9990002500000001,0.9970037475009376,0.9970037475009376
2012-11-15,0.9990002500000001,0.9970037475009376,0.9970037475009376
2012-11-16,0.9990002500000001,0.9970037475009376,0.9970037475009376
2012-11-19,0.9990002500000001,0.9970037475009376,0.9970037475009376
2012-11-20,0.9990002500000001,0.9970037475009376,0.9970037475009376
2012-11-21,0.9990002500000001,0.9970037475009376,0.9970037475009376
2012-11-22,0.9990002500000001,0.9970037475009376,0.9970037475009376
2012-11-23,0.9990002500000001,0.9965052456271871,0.9965052456271871
2012-11-26,0.9990002500000001,0.9965052456271871,0.9965052456271871
2012-11-27,0.9990002500000001,0.9965052456271871,0.9965052456271871
2012-11-28,0.9990002500000001,0.9965052456271871,0.9965052456271871
2012-11-29,0.9990002500000001,0.9965052456271871,0.9965052456271871
2012-11-30,0.9990002500000001,0.9965052456271871,0.9965052456271871
2012-12-03,0.9990002500000001,0.9965052456271871,0.9965052456271871
2012-12-04,0.9990002500000001,0.9965052456271871,0.9965052456271871
2012-12-05,0.9990002500000001,0.9965052456271871,0.9965052456271871
2012-12-06,0.9990002500000001,0.9965052456271871,0.9965052456271871
2012-12-07,0.9990002500000001,0.9965052456271871,0.9965052456271871
2012-12-10,0.9990002500000001,0.9965052456271871,0.9965052456271871
2012-12-11,0.9990002500000001,0.9960069930043736,0.9960069930043736
2012-12-12,0.9990002500000001,0.9960069930043736,0.9960069930043736
2012-12-13,0.9990002500000001,0.9960069930043736,0.9960069930043736
2012-12-14,0.9990002500000001,0.9960069930043736,0.9960069930043736
2012-12-17,1.0014179056551025,0.9984174047526775,0.9984174047526775
2012-12-18,0.985998653674562,0.9830443527444174,0.9830443527444174
2012-12-19,0.9884990729146492,0.9855372800971078,0.9855372800971078
2012-12-20,0.9951668575548831,0.9921850863709502,0.9921850863709502
2012-12-21,0.9909994921547371,0.9880302074497989,0.9880302074497989
2012-12-24,0.9918329652347664,0.9888611832340292,0.9888611832340292
2012-12-25,1.019337576875731,1.0162833841136287,1.0162833841136287
2012-12-26,1.022254732655833,1.0191917993584345,1.0191917993584345
2012-12-27,1.0201710499557601,1.017114359897859,1.017114359897859
2012-12-28,1.035173565396286,1.032071924014004,1.032071924014004
2012-12-31,1.0518430269968704,1.0486914396986096,1.0486914396986096
2013-01-04,1.0543434462369579,1.0511843670513004,1.0511843670513004
2013-01-07,1.0560103923970163,1.052846318619761,1.052846318619761
2013-01-08,1.0514262904568559,1.0482759518064946,1.0482759518064946
2013-01-09,1.0505928173768266,1.0474449760222644,1.0474449760222644
2013-01-10,1.0530932366169143,1.0499379033749552,1.0499379033749552
2013-01-11,1.0372572480963593,1.03414936347458,1.03414936347458
2013-01-14,1.0739300636176448,1.070712297980712,1.070712297980712
2013-01-15,1.080181111717864,1.076944616362439,1.076944616362439
2013-01-16,1.0722631174575863,1.0690503464122514,1.0690503464122514
2013-01-17,1.0655953328173526,1.0624025401384092,1.0624025401384092
2013-01-18,1.081431321337908,1.0781910800387846,1.0781910800387846
2013-01-21,1.0851819501980393,1.0819304710678206,1.0819304710678206
2013-01-22,1.0835150040379808,1.08026851949936,1.08026851949936
2013-01-23,1.0855986867380538,1.0823459589599356,1.0823459589599356
2013-01-24,1.0785141655578054,1.0752826647939782,1.0752826647939782
2013-01-25,1.07351332707763,1.0702968100885966,1.0702968100885966
2013-01-28,1.1026848848786526,1.0993809625366562,1.0993809625366562
2013-01-29,1.1110196156789447,1.107690720378959,1.107690720378959
