pool,reason
plus_energy,"missing histories: 159930; fetch failed: HTTPSConnectionPool(host='finance.sina.com.cn', port=443): Max retries exceeded with url: /realstock/company/sz159930/hisdata_klc2/klc_kl.js (Caused by NameResolutionError(""HTTPSConnection(host='finance.sina.com.cn', port=443): Failed to resolve 'finance.sina.com.cn' ([Errno 8] nodename nor servname provided, or not known)""))"
plus_hk_div_lowvol,"missing histories: 513660; fetch failed: HTTPSConnectionPool(host='finance.sina.com.cn', port=443): Max retries exceeded with url: /realstock/company/sh513660/hisdata_klc2/klc_kl.js (Caused by NameResolutionError(""HTTPSConnection(host='finance.sina.com.cn', port=443): Failed to resolve 'finance.sina.com.cn' ([Errno 8] nodename nor servname provided, or not known)""))"
plus_global_dividend,"missing histories: 513300; fetch failed: HTTPSConnectionPool(host='finance.sina.com.cn', port=443): Max retries exceeded with url: /realstock/company/sh513300/hisdata_klc2/klc_kl.js (Caused by NameResolutionError(""HTTPSConnection(host='finance.sina.com.cn', port=443): Failed to resolve 'finance.sina.com.cn' ([Errno 8] nodename nor servname provided, or not known)""))"
plus_energy_hk_div,"missing histories: 159930, 513660; fetch failed: HTTPSConnectionPool(host='finance.sina.com.cn', port=443): Max retries exceeded with url: /realstock/company/sz159930/hisdata_klc2/klc_kl.js (Caused by NameResolutionError(""HTTPSConnection(host='finance.sina.com.cn', port=443): Failed to resolve 'finance.sina.com.cn' ([Errno 8] nodename nor servname provided, or not known)""))"
