pool,risk_codes,defensive_codes,total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown,trade_count,trade_action_count,avg_exposure,latest_momentum,latest_exposure,start_date,end_date,return_diff,annualized_diff,sharpe_diff,mdd_diff,trade_diff
base_pool,"510300,159949,159941,513650,513880","511580,518880,512890",23.744701054871864,1.778047385423593,0.2696642651399617,6.593559530406251,-0.18693136127693932,182,310,0.8925531914893617,0.18944323933478002,1.0,2023-04-04,2026-05-25,0.0,0.0,0.0,0.0,0
plus_resources,"510300,159949,159941,513650,513880,510410","511580,518880,512890",3.14802007911414,0.5730585007700297,0.2732552941698106,2.097154247316836,-0.1441040231891919,200,348,0.896808510638298,0.18944323933478002,1.0,2023-04-04,2026-05-25,-20.596680975757724,-1.2049888846535632,-4.496405283089415,0.04282733808774741,18
