date,hs300_benchmark,base_pool,plus_resources
2023-06-06,0.9287804878048783,7.617658797275505,1.0673799434158417
2023-06-07,0.9258536585365856,7.646550044294249,1.0714281606475073
2023-06-08,0.933658536585366,7.473202562181784,1.0471388572575133
2023-06-09,0.9375609756097564,7.598397965929674,1.0646811319280645
2023-06-12,0.9385365853658538,7.685071706985906,1.0768257836230615
2023-06-13,0.9456097560975614,7.8584191890983695,1.1011150870130553
2023-06-14,0.9456097560975614,7.868049604771284,1.1024644927569438
2023-06-15,0.961463414634147,7.916201683135858,1.1092115214763867
2023-06-16,0.9704878048780494,7.993245008519176,1.1200067674274952
2023-06-19,0.9631707317073177,7.9547233458275155,1.1146091444519408
2023-06-20,0.9614634146341471,7.945092930154601,1.1132597387080523
2023-06-21,0.9480487804878056,7.973984177173345,1.1173079559397179
2023-06-26,0.9373170731707324,7.916201683135857,1.1092115214763867
2023-06-27,0.9436585365853665,7.810267110733797,1.0943680582936128
2023-06-28,0.9456097560975614,7.916201683135857,1.1092115214763867
2023-06-29,0.9412195121951222,7.973984177173346,1.117307955939718
2023-06-30,0.9468292682926832,7.973984177173346,1.117307955939718
2023-07-03,0.9578048780487807,8.118440412267066,1.1375490420980465
2023-07-04,0.9595121951219513,8.060657918229577,1.1294526076347151
2023-07-05,0.9529268292682928,8.070288333902491,1.1308020133786036
2023-07-06,0.9460975609756098,8.079918749575405,1.1321514191224922
2023-07-07,0.9434146341463416,8.041397086883746,1.126753796146938
2023-07-10,0.9473170731707319,7.973984177173343,1.117307955939718
2023-07-11,0.9536585365853661,8.012505839865002,1.1227055789152722
2023-07-12,0.9490243902439026,8.022136255537916,1.1240549846591608
2023-07-13,0.9643902439024393,8.156962074958718,1.1429466650736002
2023-07-14,0.9639024390243907,8.185853321977463,1.1469948823052658
2023-07-17,0.9570731707317078,8.22437498466912,1.15239250528082
2023-07-18,0.9556097560975616,8.311048725725351,1.1645371569758167
2023-07-19,0.9551219512195126,8.436244129473243,1.1820794316463679
2023-07-20,0.9482926829268296,8.330309557071182,1.167235968463594
2023-07-21,0.9487804878048786,8.18810780228649,1.1483442880491541
2023-07-24,0.9446341463414639,8.200567119912414,1.1450434674223215
2023-07-25,0.9719512195121957,8.32199934304543,1.1405066000142547
2023-07-26,0.9697560975609761,8.36853428811372,1.137668797995516
2023-07-27,0.9687804878048786,8.44598485996114,1.13959500971699
2023-07-28,0.9921951219512201,8.368711439467443,1.1549981946424153
2023-07-31,0.9960975609756102,8.330226597416543,1.161126141585667
2023-08-01,0.9917073170731714,8.349442806407124,1.1672696661443214
2023-08-02,0.9846341463414642,8.226734821466424,1.1499997166648994
2023-08-03,0.9934146341463423,8.14385481191657,1.1437482528410046
2023-08-04,0.9985365853658544,8.185843751531166,1.148495664567626
2023-08-07,0.990975609756098,8.11654860469587,1.1397991903122284
2023-08-08,0.9873170731707324,8.089380241165507,1.1425971641021553
2023-08-09,0.9853658536585371,8.225336211605264,1.1359111200906902
2023-08-10,0.9865853658536592,8.234362643661894,1.1359111200906902
2023-08-11,0.9634146341463422,8.275036183940689,1.1263455527636106
2023-08-14,0.9568292682926837,8.141802378670956,1.1244283688440129
2023-08-15,0.9558536585365861,8.194637869546513,1.130182373290123
2023-08-16,0.9485365853658544,8.18584612574369,1.1253934649287243
2023-08-17,0.9517073170731715,8.290546248912932,1.1244346632546631
2023-08-18,0.9395121951219518,8.38550404735863,1.1219249442664012
2023-08-21,0.9268292682926834,8.557158529164315,1.125112825096502
2023-08-22,0.9324390243902443,8.297850694947215,1.1233381991894098
2023-08-23,0.9190243902439029,8.29054624891293,1.1186409283119076
2023-08-24,0.9246341463414637,8.348981817187207,1.116927923865149
2023-08-25,0.922926829268293,8.524288522010037,1.1146176151969616
2023-08-28,0.935853658536586,8.60742882243917,1.1277448033845061
2023-08-29,0.9412195121951225,8.650385990865656,1.128938184128828
