total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown,trade_count,trade_action_count,avg_exposure,latest_momentum,latest_exposure,max_drawdown_integral,max_drawdown_episode_integral,full_history_drawdown_integral,worst_drawdown_episode_integral,latest_holding_code,latest_holding_theme,latest_holding_name,latest_portfolio,strategy,risk_cap,enter_days,exit_days,annualized_diff,sharpe_diff,max_drawdown_integral_diff,is_valid_change
25.921843563318635,0.26238138130853383,0.21090451981256783,1.2440766160047865,-0.18982759788871417,901,1602,0.8235016011644832,0.026011560693641522,0.8,189.87008199088228,30.22536807840936,189.87008199088228,30.22536807840936,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2,,,,0.0,0.0,0.0,False
20.196074932938973,0.24120199366718098,0.2115703030004523,1.1400560014638035,-0.23280633503355874,886,1584,0.8235016011644832,0.026011560693641522,0.8,218.34587603051824,41.248057602205975,218.34587603051824,41.248057602205975,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__prs_rc184_en02_ex02,0.184,2.0,2.0,-0.021179387641352854,-0.10402061454098299,28.475794039635957,False
20.191753182972267,0.2411840851335969,0.2115724839805482,1.1399596043678872,-0.23280588268974234,886,1584,0.8235016011644832,0.026011560693641522,0.8,218.3466272468405,41.247404346953545,218.3466272468405,41.247404346953545,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__prs_rc186_en02_ex02,0.186,2.0,2.0,-0.02119729617493693,-0.10411701163689924,28.47654525595823,False
20.18743059158542,0.24116616971824434,0.21157469286437067,1.1398630264010035,-0.23280543321087532,886,1584,0.8235016011644832,0.026011560693641522,0.8,218.34738037369658,41.246751936070964,218.34738037369658,41.246751936070964,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__prs_rc188_en02_ex02,0.188,2.0,2.0,-0.021215211590289496,-0.10421358960378302,28.477298382814297,False
20.174677051474486,0.2411132915862857,0.2100385840256095,1.1479476149814805,-0.22087213611944678,902,1636,0.8235016011644832,0.026011560693641522,0.8,213.9667606707822,39.83497082203986,213.9667606707822,39.83497082203986,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__prs_rc184_en01_ex02,0.184,1.0,2.0,-0.02126808972224814,-0.09612900102330602,24.096678679899924,False
20.170304887074945,0.24109515711044938,0.2100420543600073,1.147842311126979,-0.22090966299689763,902,1636,0.8235016011644832,0.026011560693641522,0.8,213.96915759597874,39.84059203742153,213.96915759597874,39.84059203742153,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__prs_rc186_en01_ex02,0.186,1.0,2.0,-0.021286224198084458,-0.09623430487780738,24.09907560509646,False
20.165930997356025,0.24107701199589782,0.21004556782354092,1.1477367244350825,-0.22094719259326134,902,1636,0.8235016011644832,0.026011560693641522,0.8,213.97155477732176,39.84621407949277,213.97155477732176,39.84621407949277,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__prs_rc188_en01_ex02,0.188,1.0,2.0,-0.021304369312636018,-0.09633989156970402,24.101472786439473,False
20.105776984667255,0.2408271085046354,0.21204100678230395,1.1357572394092867,-0.23451271955783537,885,1578,0.8235016011644832,0.026011560693641522,0.8,218.87561421705308,41.57405023910969,218.87561421705308,41.57405023910969,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__prs_rc184_en02_ex01,0.184,2.0,1.0,-0.021554272803898433,-0.10831937659549973,29.0055322261708,False
20.101280064924566,0.24080839994787095,0.21204266628090418,1.1356601205384735,-0.23451604455043462,885,1578,0.8235016011644832,0.026011560693641522,0.8,218.87863628074496,41.57512635957775,218.87863628074496,41.57512635957775,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__prs_rc186_en02_ex01,0.186,2.0,1.0,-0.02157298136066288,-0.10841649546631293,29.008554289862673,False
20.096782677582212,0.24078968573991144,0.21204434901178543,1.135562852120753,-0.23451937162451086,885,1578,0.8235016011644832,0.026011560693641522,0.8,218.8816598513254,41.57620315342612,218.8816598513254,41.57620315342612,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__prs_rc188_en02_ex01,0.188,2.0,1.0,-0.021591695568622393,-0.10851376388403344,29.01157786044311,False
19.93700815140208,0.2401224263953965,0.2110046269480728,1.1379960234449715,-0.21848733322573244,901,1631,0.8235016011644832,0.026011560693641522,0.8,214.54402283629088,39.32376641879469,214.54402283629088,39.32376641879469,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__prs_rc184_en01_ex01,0.184,1.0,1.0,-0.02225895491313734,-0.10608059255981495,24.673940845408595,False
19.932394006045644,0.24010308633132027,0.21100730623440997,1.1378899177291404,-0.21853890186826763,901,1631,0.8235016011644832,0.026011560693641522,0.8,214.55575352619263,39.33315755215183,214.55575352619263,39.33315755215183,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__prs_rc186_en01_ex01,0.186,1.0,1.0,-0.022278294977213564,-0.10618669827564609,24.685671535310348,False
19.927778803368646,0.24008373787224868,0.21101001971392916,1.1377835905505123,-0.21859047109855345,901,1631,0.8235016011644832,0.026011560693641522,0.8,214.56748530928172,39.342549142150126,214.56748530928172,39.342549142150126,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__prs_rc188_en01_ex01,0.188,1.0,1.0,-0.022297643436285153,-0.10629302545427421,24.697403318399438,False
19.635035157913265,0.23884828403882397,0.21257308964921667,1.1236054593409073,-0.2337004020937603,885,1570,0.8235016011644832,0.026011560693641522,0.8,218.8372356488378,41.30610802476579,218.8372356488378,41.30610802476579,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__prs_rc184_en03_ex01,0.184,3.0,1.0,-0.02353309726970987,-0.1204711566638792,28.96715365795552,False
19.630326776477524,0.23882828068488582,0.21257422967386583,1.1235053329432232,-0.23372264121655506,885,1570,0.8235016011644832,0.026011560693641522,0.8,218.84752636447018,41.31342293141827,218.84752636447018,41.31342293141827,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__prs_rc186_en03_ex01,0.186,3.0,1.0,-0.023553100623648016,-0.12057128306156328,28.9774443735879,False
