strategy,total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown,trade_count,trade_action_count,avg_exposure,latest_momentum,latest_exposure,max_drawdown_integral,max_drawdown_episode_integral,full_history_drawdown_integral,worst_drawdown_episode_integral,latest_holding_code,latest_holding_theme,latest_holding_name,latest_portfolio,total_return_diff_vs_baseline,annualized_return_diff_vs_baseline,sharpe_rf0_diff_vs_baseline,max_drawdown_diff_vs_baseline,max_drawdown_integral_diff_vs_baseline,trade_count_diff_vs_baseline,trade_action_count_diff_vs_baseline
baseline,24.4586549363105,0.2590843690309157,0.2024732495355382,1.2795980191222303,-0.18982759788871428,904,1601,0.8236824838898653,0.1443715295305401,1.0,191.9317145810743,30.24794061604139,191.9317145810743,30.24794061604139,513880,日经ETF,日经225ETF华安,日经ETF / 日经225ETF华安 (513880) 100%,0.0,0.0,0.0,0.0,0.0,0,0
vg60,24.558775954486475,0.2594361370033602,0.20230769811234986,1.2823839103704524,-0.18982759788871406,909,1606,0.8218078500292911,0.1443715295305401,1.0,191.54516659885846,29.886656395258328,191.54516659885846,29.886656395258328,513880,日经ETF,日经225ETF华安,日经ETF / 日经225ETF华安 (513880) 100%,0.10012101817597596,0.00035176797244451663,0.00278589124822215,2.220446049250313e-16,-0.38654798221583064,5,5
vg50,24.582982170417537,0.25952099165101283,0.20227898968164387,1.2829854057480665,-0.18982759788871428,909,1606,0.8213391915641477,0.1443715295305401,1.0,191.45345712203527,29.80126482454714,191.45345712203527,29.80126482454714,513880,日经ETF,日经225ETF华安,日经ETF / 日经225ETF华安 (513880) 100%,0.12432723410703872,0.0004366226200971379,0.003387386625836264,0.0,-0.47825745903901407,5,5
top2_gap05_cap70,24.395272233802466,0.2588610136796021,0.20145568429114974,1.2849526415223336,-0.18982759788871384,943,1650,0.818937316930287,0.1443715295305401,1.0,189.03581503853658,29.71644778397645,189.03581503853658,29.71644778397645,513880,日经ETF,日经225ETF华安,日经ETF / 日经225ETF华安 (513880) 100%,-0.0633827025080329,-0.00022335535131356998,0.005354622400103315,4.440892098500626e-16,-2.8958995425377054,39,49
vg50_top2_gap05_cap70,24.519289938748837,0.2592975588450017,0.20126044474149535,1.288368209550818,-0.18982759788871417,948,1655,0.8165940246045694,0.1443715295305401,1.0,188.56807006146357,29.26812502965747,188.56807006146357,29.26812502965747,513880,日经ETF,日经225ETF华安,日经ETF / 日经225ETF华安 (513880) 100%,0.06063500243833886,0.00021318981408602333,0.008770190428587732,1.1102230246251565e-16,-3.363644519610716,44,54
leader_margin05,19.07473335506908,0.23797249723734448,0.20303653934589527,1.1720673431688664,-0.20733723699641537,867,1520,0.8242231985940246,0.1443715295305401,1.0,207.57137714842787,36.346467519753396,207.57137714842787,36.346467519753396,513880,日经ETF,日经225ETF华安,日经ETF / 日经225ETF华安 (513880) 100%,-5.38392158124142,-0.021111871793571213,-0.10753067595336385,-0.01750963910770109,15.639662567353582,-37,-81
combo_vg60_top2_leader,19.867250849024426,0.24138865026128786,0.20156941322354066,1.1975460284422599,-0.18982759788871406,925,1587,0.817398359695372,0.1443715295305401,1.0,200.63914098199623,33.630958381461554,200.63914098199623,33.630958381461554,513880,日经ETF,日经225ETF华安,日经ETF / 日经225ETF华安 (513880) 100%,-4.591404087286072,-0.017695718769627833,-0.08205199067997038,2.220446049250313e-16,8.707426400921946,21,-14
