date,base_current_baseline,plus_600938_中国海油,hs300_benchmark
2022-04-21,1.0,1.0,1.0
2022-04-22,1.0,1.0,1.0025025025025025
2022-04-25,1.0,1.0,0.9542042042042042
2022-04-26,1.0,1.0,0.9466966966966965
2022-04-27,1.0,1.0,0.973223223223223
2022-04-28,1.0,1.0,0.9797297297297293
2022-04-29,1.0,1.0,1.0047547547547542
2022-05-05,1.0,1.0,1.0010010010010004
2022-05-06,1.0,1.0,0.9767267267267263
2022-05-09,1.0,1.0,0.9687187187187182
2022-05-10,1.0,1.0,0.9799799799799794
2022-05-11,1.0,1.0,0.9937437437437433
2022-05-12,1.0,1.0,0.9887387387387384
2022-05-13,1.0,1.0,0.9964964964964962
2022-05-16,1.0,1.0,0.9887387387387385
2022-05-17,1.0,1.0,1.0010010010010009
2022-05-18,1.0,1.0,0.9974974974974974
2022-05-19,1.0,1.0,0.9997497497497495
2022-05-20,1.0,1.0,1.0207707707707703
2022-05-23,1.0,1.0,1.0127627627627622
2022-05-24,1.0,1.0,0.9922422422422419
2022-05-25,1.0,1.0,0.9964964964964962
2022-05-26,1.0,1.0,0.9989989989989984
2022-05-27,1.0,1.0,1.001501501501501
2022-05-30,1.0,1.0,1.0072572572572567
2022-05-31,0.9995,0.9995,1.0232732732732726
2022-06-01,1.0036244841815682,0.9738323061119672,1.021771771771771
2022-06-02,0.9888863273727649,0.9240369799691835,1.0245245245245236
2022-06-06,1.0330412517577816,0.9532981510015411,1.0450450450450441
2022-06-07,1.0292512874147344,0.9702388289676427,1.0465465465465456
2022-06-08,1.0505141127913267,0.9907729840780692,1.0570570570570559
2022-06-09,1.018849680313574,1.0123338469440168,1.0485485485485475
2022-06-10,1.0458575786034219,1.0426217257318957,1.063063063063062
2022-06-13,1.0356132033900314,1.0066869542886498,1.050050050050049
2022-06-14,1.0356132033900314,1.0472419106317417,1.060060060060059
2022-06-15,1.0523767264664887,0.9948798151001547,1.0723223223223213
2022-06-16,1.0523767264664887,0.9553515665125841,1.0655655655655645
2022-06-17,1.0886976931321464,0.9574049820236268,1.0813313313313302
2022-06-20,1.1129116709092515,0.8769572958397542,1.0865865865865856
2022-06-21,1.1054612162086037,0.8710864520182329,1.086086086086085
2022-06-22,1.0970794546703748,0.8644817527190213,1.0735735735735725
2022-06-23,1.1389882623615182,0.897505249215079,1.0923423423423413
2022-06-24,1.1641335469762042,0.9173193471127137,1.1043543543543533
2022-06-27,1.1604083196258803,0.914383925201953,1.1163663663663652
2022-06-28,1.1650648538137849,0.9180532025904037,1.129379379379378
2022-06-29,1.1361943418487752,0.8953036827820084,1.1156156156156145
2022-06-30,1.1566830922755564,0.9114485032911922,1.1281281281281268
2022-07-01,1.1455074102245848,0.9026422375589102,1.124374374374373
2022-07-04,1.1622709333010421,0.9158516361573332,1.13138138138138
2022-07-05,1.1566830922755564,0.9114485032911922,1.1288788788788775
2022-07-06,1.1501639444124898,0.9063115149473611,1.1141141141141129
2022-07-07,1.1771718427023379,0.9275933238003761,1.118118118118117
2022-07-08,1.1529578649252328,0.9085130813804316,1.117117117117116
2022-07-11,1.1343317281736136,0.8938359718266282,1.0980980980980966
2022-07-12,1.1063925230461846,0.8718203074959231,1.0890890890890879
2022-07-13,1.1287438871481277,0.8894328389604871,1.0908408408408394
2022-07-14,1.1632022401386235,0.9165854916350236,1.0910910910910896
2022-07-15,1.1343317281736134,0.8938359718266281,1.0748248248248233
2022-07-18,1.1548204786003946,0.909980792335812,1.086336336336335
2022-07-19,1.1268812734729656,0.8879651280051069,1.0808308308308294
2022-07-20,1.1306065008232893,0.8909005499158674,1.0838338338338325
2022-07-21,1.1240873529602227,0.8857635615720363,1.0725725725725712
2022-07-22,1.1184233310354226,0.8813003993278201,1.073323323323322
2022-07-25,1.1185136008350733,0.8813715305428725,1.0688188188188175
2022-07-26,1.112982619004871,0.877013201848925,1.0760760760760746
2022-07-27,1.1087460810197005,0.8736748750146289,1.0700700700700685
2022-07-28,1.1211280169498699,0.8834316502685995,1.0708208208208196
2022-07-29,1.141389366653783,0.8993972825023694,1.0560560560560548
2022-08-01,1.1582738247403774,0.912701976030511,1.0605605605605595
2022-08-02,1.1560225636621648,0.9109280168934255,1.0427927927927918
2022-08-03,1.138012475036464,0.8967363437967412,1.0315315315315305
2022-08-04,1.1391381055755705,0.8976233233652842,1.0392892892892882
2022-08-05,1.1571481942012711,0.9118149964619684,1.0555555555555547
2022-08-08,1.1458918888102083,0.9029452007765407,1.052052052052051
2022-08-09,1.133500947835726,0.8931813296860218,1.053803803803803
2022-08-10,1.1169534887432335,0.8801421861869557,1.0425425425425416
2022-08-11,1.1583221364744642,0.9127400449346207,1.0645645645645638
2022-08-12,1.1450841692004705,0.9023087301353679,1.064814814814814
2022-08-15,1.1665958660207107,0.9192596166841539,1.0623123123123115
2022-08-16,1.1814666317483495,0.930994845833313,1.0598098098098092
2022-08-17,1.17508375224551,0.9257791884336867,1.070070070070069
2022-08-18,1.1621074303965562,0.9153478736344339,1.0608108108108099
2022-08-19,1.1604660000782323,0.9140439592845273,1.0533033033033021
2022-08-22,1.143911563557858,0.9010048157854612,1.060060060060059
2022-08-23,1.1207353524293342,0.8827500148867689,1.0565565565565556
2022-08-24,1.1273571270374838,0.8879656722863952,1.037287287287286
2022-08-25,1.1389452326017455,0.8970930727357413,1.0462962962962952
2022-08-26,1.1472224508619324,0.9036126444852742,1.0447947947947935
2022-08-29,1.0965713380736393,0.8636307187740883,1.0385385385385375
2022-08-30,1.0906837067282773,0.8537579669535896,1.0362862862862852
2022-08-31,1.096579294332214,0.8156773527888096,1.0362862862862852
2022-09-01,1.0921881198237826,0.8013217134583498,1.0277777777777768
2022-09-02,1.1095988439901947,0.8108105122040715,1.0220220220220206
2022-09-05,1.12053076983699,0.8648961753938106,1.0215215215215203
2022-09-06,1.1346012321620318,0.860151818973658,1.0287787787787777
2022-09-07,1.1366641434932354,0.8440210071451393,1.0307807807807796
2022-09-08,1.1375813618653523,0.8179270468343002,1.0262762762762752
2022-09-09,1.1517528171094282,0.8231458388964681,1.0407907907907896
2022-09-13,1.145196715419285,0.8264668883905749,1.0442942942942932
2022-09-14,1.135808189213003,0.8444954427871545,1.0327827827827816
2022-09-15,1.1473096668890213,0.8463931853552155,1.0235235235235223
2022-09-16,1.1182892367494863,0.815554868624224,1.0010010010009998
2022-09-19,1.116990410690544,0.8146059973401935,0.998248248248247
2022-09-20,1.1093857841154358,0.8169781755502695,0.9987487487487476
2022-09-21,1.122115397243553,0.8406999576510322,0.9912412412412399
2022-09-22,1.1259342811819881,0.8431247982173723,0.9839839839839829
2022-09-23,1.1157505906794942,0.8427032358182637,0.981981981981981
2022-09-26,1.108112822802624,0.8379054832896012,0.9757257257257246
2022-09-27,1.1106587454282477,0.8394455737815754,0.9882382382382371
2022-09-28,1.1214789165871475,0.8459033588273198,0.9742242242242228
2022-09-29,1.1456651815305707,0.8641464505613937,0.9744744744744732
2022-09-30,1.129116684464018,0.8516643351643958,0.9679679679679668
2022-10-10,1.1322990877460473,0.8540647419715107,0.9481981981981972
2022-10-11,1.1170235519923064,0.8425427892973588,0.9474474474474462
2022-10-12,1.1259342811819886,0.8492639283572808,0.962962962962962
2022-10-13,1.128480203807612,0.8510991353775924,0.9547047047047037
2022-10-14,1.1488475848126,0.8626109400314362,0.9767267267267258
2022-10-17,1.1202059552743358,0.8627264118995849,0.9764764764764756
2022-10-18,1.1055669001770008,0.8619141539110582,0.9747247247247237
2022-10-19,1.104293938864189,0.8609217369232504,0.959959959959959
2022-10-20,1.1093857841154362,0.8648049157339942,0.9569569569569558
2022-10-21,1.1081128228026245,0.864011061537107,0.9514514514514504
2022-10-24,1.1170235519923066,0.8695693176480866,0.9269269269269259
2022-10-25,1.113998995913066,0.8675986208789389,0.922922922922922
2022-10-26,1.113014415248374,0.8668318151367751,0.9299299299299291
2022-10-27,1.11049537023793,0.864869946243705,0.9234234234234228
2022-10-28,1.1020799622473922,0.8582300037898216,0.9019019019019013
2022-10-31,1.0982002714969432,0.8545395473732633,0.8921421421421415
2022-11-01,1.1233301487134746,0.8740937893995276,0.9266766766766759
2022-11-02,1.119900132992212,0.8714248007296054,0.9351851851851846
2022-11-03,1.1180242420370952,0.8699651188762015,0.927677677677677
2022-11-04,1.1168949464652485,0.8690863832285578,0.9594594594594587
2022-11-07,1.1217962956543446,0.8729002565504606,0.9594594594594587
2022-11-08,1.1286506974608523,0.8774434428491772,0.9537037037037029
2022-11-09,1.1286117477069508,0.8686592482044134,0.9436936936936928
2022-11-10,1.1196949240810234,0.8564589778644638,0.9384384384384375
2022-11-11,1.1043143438487164,0.8794911362230342,0.962962962962962
2022-11-14,1.1032100295048677,0.8786116450868112,0.9634634634634627
2022-11-15,1.1361893071467684,0.904876795518529,0.9822322322322313
