date,baseline,plus_161716_defensive
2013-01-04,1.0543434462369576,1.0543434462369576
2013-01-07,1.056010392397016,1.056010392397016
2013-01-08,1.0514262904568557,1.0514262904568557
2013-01-09,1.0505928173768264,1.0505928173768264
2013-01-10,1.0530932366169141,1.0530932366169141
2013-01-11,1.037257248096359,1.037257248096359
2013-01-14,1.0739300636176443,1.0739300636176443
2013-01-15,1.0801811117178635,1.0801811117178635
2013-01-16,1.0722631174575858,1.0722631174575858
2013-01-17,1.0655953328173522,1.0655953328173522
2013-01-18,1.0814313213379072,1.0814313213379072
2013-01-21,1.0851819501980386,1.0851819501980386
2013-01-22,1.0835150040379802,1.0835150040379802
2013-01-23,1.0855986867380532,1.0855986867380532
2013-01-24,1.0785141655578048,1.0785141655578048
2013-01-25,1.0735133270776294,1.0735133270776294
2013-01-28,1.102684884878652,1.102684884878652
2013-01-29,1.111019615678944,1.111019615678944
2013-01-30,1.1172706637791632,1.1172706637791632
2013-01-31,1.1201878195592656,1.1201878195592656
2013-02-01,1.1418581196400253,1.1418581196400253
2013-02-04,1.1439418023400982,1.1439418023400982
2013-02-05,1.1522765331403904,1.1522765331403904
2013-02-06,1.1556104254605073,1.1556104254605073
2013-02-07,1.1501928504403174,1.1501928504403174
2013-02-08,1.1539434793004488,1.1539434793004488
2013-02-18,1.13685728115985,1.13685728115985
2013-02-19,1.1185208733992076,1.1185208733992076
2013-02-20,1.123521711879383,1.123521711879383
2013-02-21,1.0831195210615068,1.0831195210615068
2013-02-22,1.0822196986901633,1.0822196986901633
2013-02-25,1.0826706235646175,1.0826706235646175
2013-02-26,1.0782460728183052,1.0782460728183052
2013-02-27,1.0781005095984748,1.0781005095984748
2013-02-28,1.0879086354584548,1.0879086354584548
2013-03-01,1.08757847210337,1.08757847210337
2013-03-04,1.0737002201825312,1.0737002201825312
2013-03-05,1.0820319648044987,1.0820319648044987
2013-03-06,1.0851625280092143,1.0851625280092143
2013-03-07,1.0816124317418916,1.0816124317418916
2013-03-08,1.0811646964309367,1.0811646964309367
2013-03-11,1.0791476290894186,1.0791476290894186
2013-03-12,1.0749803755855132,1.0749803755855132
2013-03-13,1.0716486828369836,1.0716486828369836
2013-03-14,1.0716486828369836,1.0716486828369836
2013-03-15,1.0716486828369836,1.0716486828369836
2013-03-18,1.0716486828369836,1.0716486828369836
2013-03-19,1.0716486828369836,1.0716486828369836
2013-03-20,1.0715040102648006,1.0715040102648006
2013-03-21,1.0722826117947508,1.0722826117947508
2013-03-22,1.0730596877672554,1.0730596877672554
2013-03-25,1.0726165120644682,1.0726165120644682
2013-03-26,1.0678470453064948,1.0678470453064948
2013-03-27,1.0685206871341413,1.0685206871341413
2013-03-28,1.0595540799693792,1.0595540799693792
2013-03-29,1.0586081986024571,1.0586081986024571
2013-04-01,1.0586081986024571,1.0586081986024571
2013-04-02,1.0586081986024571,1.0586081986024571
2013-04-03,1.0586081986024571,1.0586081986024571
2013-04-08,1.0586081986024571,1.0586081986024571
2013-04-09,1.0586081986024571,1.0586081986024571
2013-04-10,1.0586081986024571,1.0586081986024571
2013-04-11,1.0586081986024571,1.0586081986024571
2013-04-12,1.0586081986024571,1.0586081986024571
2013-04-15,1.0586081986024571,1.0586081986024571
2013-04-16,1.0586081986024571,1.0586081986024571
2013-04-17,1.0586081986024571,1.0586081986024571
2013-04-18,1.0586081986024571,1.0586081986024571
2013-04-19,1.0586081986024571,1.0586081986024571
2013-04-22,1.0586081986024571,1.0586081986024571
2013-04-23,1.0586081986024571,1.0586081986024571
2013-04-24,1.0586081986024571,1.0586081986024571
2013-04-25,1.0586081986024571,1.0586081986024571
2013-04-26,1.0586081986024571,1.0586081986024571
2013-05-02,1.0586081986024571,1.0586081986024571
2013-05-03,1.0586081986024571,1.0586081986024571
2013-05-06,1.0586081986024571,1.0586081986024571
2013-05-07,1.0586081986024571,1.0586081986024571
2013-05-08,1.0586081986024571,1.0586081986024571
2013-05-09,1.0586081986024571,1.0586081986024571
2013-05-10,1.0586081986024571,1.0586081986024571
2013-05-13,1.0586081986024571,1.0586081986024571
2013-05-14,1.0586081986024571,1.0586081986024571
2013-05-15,1.0586081986024571,1.0586081986024571
2013-05-16,1.0586081986024571,1.0586081986024571
2013-05-17,1.0586081986024571,1.0586081986024571
2013-05-20,1.058078894503156,1.058078894503156
2013-05-21,1.058078894503156,1.058078894503156
2013-05-22,1.0592932161112316,1.0592932161112316
2013-05-23,1.0479595477691932,1.0479595477691932
2013-05-24,1.0536263819402125,1.0536263819402125
2013-05-27,1.0511977387240614,1.0511977387240614
2013-05-28,1.0730555276694211,1.0730555276694211
2013-05-29,1.0688778565637722,1.0688778565637722
2013-05-30,1.0688778565637722,1.0688778565637722
2013-05-31,1.0683434176354905,1.0683434176354905
2013-06-03,1.069858783826724,1.069858783826724
2013-06-04,1.069858783826724,1.069858783826724
2013-06-05,1.069858783826724,1.069858783826724
2013-06-06,1.069858783826724,1.069858783826724
2013-06-07,1.069858783826724,1.069858783826724
2013-06-13,1.069858783826724,1.069858783826724
2013-06-14,1.069858783826724,1.069858783826724
2013-06-17,1.069858783826724,1.069858783826724
2013-06-18,1.069858783826724,1.069858783826724
2013-06-19,1.069858783826724,1.069858783826724
2013-06-20,1.069858783826724,1.069858783826724
2013-06-21,1.069858783826724,1.069858783826724
2013-06-24,1.069858783826724,1.069858783826724
2013-06-25,1.069858783826724,1.069858783826724
2013-06-26,1.069858783826724,1.069858783826724
2013-06-27,1.069858783826724,1.069858783826724
2013-06-28,1.069858783826724,1.069858783826724
2013-07-01,1.069858783826724,1.069858783826724
2013-07-02,1.069858783826724,1.069858783826724
2013-07-03,1.069858783826724,1.069858783826724
2013-07-04,1.069858783826724,1.069858783826724
2013-07-05,1.069858783826724,1.069858783826724
2013-07-08,1.069858783826724,1.069858783826724
2013-07-09,1.069858783826724,1.069858783826724
