total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown,trade_count,trade_action_count,avg_exposure,latest_momentum,latest_exposure,max_drawdown_integral,max_drawdown_episode_integral,full_history_drawdown_integral,worst_drawdown_episode_integral,latest_holding_code,latest_holding_theme,latest_holding_name,latest_portfolio,pool,change_kind,risk_codes,defensive_codes,annualized_diff,sharpe_diff,mdd_diff,max_drawdown_integral_diff,trade_diff
25.935359429283825,0.2621984457211799,0.20247688226577226,1.2949549735609658,-0.18982759788871417,939,1641,0.8165120744835612,0.11544153922052303,1.0,189.52622071974838,30.22536807840936,189.52622071974838,30.22536807840936,513880,日经ETF,日经225ETF华安,日经ETF / 日经225ETF华安 (513880) 100%,base_pool,base,"510300,159949,159954,159941,513880","518880,512890,159985",0.0,0.0,0.0,0.0,0
20.809433878797368,0.24349984217417786,0.20134815676432694,1.2093472624097,-0.19696222337020675,960,1670,0.8158353215013092,0.11544153922052303,1.0,199.81641513610163,35.30391844858413,199.81641513610163,35.30391844858413,513880,日经ETF,日经225ETF华安,日经ETF / 日经225ETF华安 (513880) 100%,plus_soymeal_159985,add,"510300,159949,159954,159941,513880,159985","518880,512890,159985",-0.018698603547002035,-0.08560771115126586,-0.007134625481492574,10.290194416353245,21
12.731042900641532,0.20347944841314125,0.2246414783894589,0.9057964266971693,-0.2966430773534806,943,1692,0.8250334594122782,0.11544153922052303,1.0,334.8182752336823,142.3305235900346,334.8182752336823,142.3305235900346,513880,日经ETF,日经225ETF华安,日经ETF / 日经225ETF华安 (513880) 100%,plus_energy_159930,add,"510300,159949,159954,159941,513880,159930","518880,512890,159985",-0.058718997308038645,-0.3891585468637965,-0.10681547946476644,145.29205451393392,4
16.946594049182107,0.22647833186481048,0.22373081778323545,1.0122804453530267,-0.3667907570647264,952,1686,0.8191283095723014,0.11544153922052303,1.0,315.08714718531246,151.00954090438964,315.08714718531246,151.00954090438964,513880,日经ETF,日经225ETF华安,日经ETF / 日经225ETF华安 (513880) 100%,plus_coal_515220,add,"510300,159949,159954,159941,513880,515220","518880,512890,159985",-0.03572011385636942,-0.28267452820793904,-0.17696315917601224,125.56092646556408,13
18.33360034134115,0.2329507996956457,0.21674788311108756,1.0747546705046886,-0.24111201087703316,1029,1835,0.8243241198719813,0.11544153922052303,1.0,240.48985051335842,19.474492043374283,240.48985051335842,19.474492043374283,513880,日经ETF,日经225ETF华安,日经ETF / 日经225ETF华安 (513880) 100%,plus_resource_510410,add,"510300,159949,159954,159941,513880,510410","518880,512890,159985",-0.029247646025534202,-0.22020030305627714,-0.051284412988318984,50.96362979361004,90
7.474469408379392,0.16310797673219213,0.18377649593783874,0.8875344798573284,-0.2321822517180936,939,1605,0.810246726796625,0.11544153922052303,1.0,228.6725421552806,15.564247066148274,228.6725421552806,15.564247066148274,513880,日经ETF,日经225ETF华安,日经ETF / 日经225ETF华安 (513880) 100%,replace_cyb50_soymeal,replace,"510300,159954,159941,513880,159985","518880,512890,159985",-0.09909046898898777,-0.4074204937036374,-0.04235465382937942,39.14632143553223,0
5.3213649832379355,0.13925112854530863,0.21019160443310878,0.6624961492675785,-0.2836830284411844,944,1687,0.8181018329938899,0.11544153922052303,1.0,339.3600109874281,75.27370249125043,339.3600109874281,75.27370249125043,513880,日经ETF,日经225ETF华安,日经ETF / 日经225ETF华安 (513880) 100%,replace_cyb50_energy,replace,"510300,159954,159941,513880,159930","518880,512890,159985",-0.12294731717587126,-0.6324588242933873,-0.09385543055247025,149.83379026767972,5
7.707896998476549,0.16534463184859027,0.2061670718057164,0.8019934046713553,-0.40402958078595597,941,1641,0.8134076229269711,0.11544153922052303,1.0,350.4469677461214,193.75597107302394,350.4469677461214,193.75597107302394,513880,日经ETF,日经225ETF华安,日经ETF / 日经225ETF华安 (513880) 100%,replace_cyb50_coal,replace,"510300,159954,159941,513880,515220","518880,512890,159985",-0.09685381387258962,-0.4929615688896105,-0.2142019828972418,160.92074702637302,2
11.987148075354284,0.19874939130603608,0.20410265155345067,0.9737717261061027,-0.2343536981112011,997,1749,0.8217142857142857,0.11544153922052303,1.0,249.60841950645744,63.956983178627944,249.60841950645744,63.956983178627944,513880,日经ETF,日经225ETF华安,日经ETF / 日经225ETF华安 (513880) 100%,replace_cyb50_resource,replace,"510300,159954,159941,513880,510410","518880,512890,159985",-0.06344905441514381,-0.32118324745486304,-0.04452610022248693,60.08219878670906,58
16.135267632243103,0.22247329910856384,0.19927894548033792,1.1163913908331797,-0.18982759788871417,933,1611,0.8123898748908933,-0.030582524271844602,0.0,200.4626613015995,30.22536807840936,200.4626613015995,30.22536807840936,159985,豆粕,豆粕ETF,空仓,replace_nikkei_soymeal,replace,"510300,159949,159954,159941,159985","518880,512890,159985",-0.03972514661261606,-0.17856358272778605,0.0,10.936440581851116,-6
10.56097895561212,0.1889307471420425,0.22221709439795592,0.8502079808662119,-0.2742357740198187,952,1693,0.8240488798370672,-0.030582524271844602,0.0,337.7406355298566,87.23495833671736,337.7406355298566,87.23495833671736,159985,豆粕,豆粕ETF,空仓,replace_nikkei_energy,replace,"510300,159949,159954,159941,159930","518880,512890,159985",-0.0732676985791374,-0.44474699269475393,-0.08440817613110452,148.21441481010822,13
12.330862724908485,0.20096536702452505,0.22264079417484386,0.9026439551176919,-0.3779443702908942,943,1655,0.8175059645039279,-0.030582524271844602,0.0,347.86106970474316,183.6400810142526,347.86106970474316,183.6400810142526,159985,豆粕,豆粕ETF,空仓,replace_nikkei_coal,replace,"510300,159949,159954,159941,515220","518880,512890,159985",-0.06123307869665484,-0.3923110184432739,-0.18811677240218005,158.33484898499478,4
17.763629298973655,0.23034498201920917,0.2146610899683981,1.0730635070059507,-0.24111201087703293,1024,1805,0.8237340704102415,-0.030582524271844602,0.0,235.09024688600968,19.474492043374262,235.09024688600968,19.474492043374262,159985,豆粕,豆粕ETF,空仓,replace_nikkei_resource,replace,"510300,159949,159954,159941,510410","518880,512890,159985",-0.03185346370197073,-0.22189146655501513,-0.05128441298831876,45.5640261662613,85
