date,hs300_benchmark,resource_abs08_baseline,resource_abs08_plus_ci,resource_abs08_plus_ci_cap70,resource_abs08_ci_exclude_to_second,resource_abs08_ci_reverse_to_defensive
2023-04-04,1.0,1.0,1.0,1.0,1.0,1.0
2023-04-06,0.9970731707317075,1.0,1.0,1.0,1.0,1.0
2023-04-07,1.004146341463415,1.0,1.0,1.0,1.0,1.0
2023-04-10,1.0004878048780492,1.0,1.0,1.0,1.0,1.0
2023-04-11,0.9980487804878049,1.0,1.0,1.0,1.0,1.0
2023-04-12,0.9970731707317075,1.0,1.0,1.0,1.0,1.0
2023-04-13,0.9909756097560978,1.0,1.0,1.0,1.0,1.0
2023-04-14,0.9960975609756101,1.0,1.0,1.0,1.0,1.0
2023-04-17,1.0109756097560978,1.0,1.0,1.0,1.0,1.0
2023-04-18,1.0126829268292685,1.0,1.0,1.0,1.0,1.0
2023-04-19,1.0046341463414634,1.0,1.0,1.0,1.0,1.0
2023-04-20,1.0007317073170732,1.0,1.0,1.0,1.0,1.0
2023-04-21,0.9829268292682927,1.0,1.0,1.0,1.0,1.0
2023-04-24,0.9704878048780489,1.0,1.0,1.0,1.0,1.0
2023-04-25,0.9658536585365854,1.0,1.0,1.0,1.0,1.0
2023-04-26,0.9636585365853658,1.0,1.0,1.0,1.0,1.0
2023-04-27,0.9721951219512198,1.0,1.0,1.0,1.0,1.0
2023-04-28,0.9817073170731712,1.0,1.0,1.0,1.0,1.0
2023-05-04,0.9817073170731712,1.0,1.0,1.0,1.0,1.0
2023-05-05,0.977804878048781,1.0,1.0,1.0,1.0,1.0
2023-05-08,0.9887804878048787,1.0,1.0,1.0,1.0,1.0
2023-05-09,0.9802439024390248,1.0,1.0,1.0,1.0,1.0
2023-05-10,0.9726829268292688,1.0,1.0,1.0,1.0,1.0
2023-05-11,0.9714634146341469,1.0,1.0,1.0,1.0,1.0
2023-05-12,0.9590243902439028,1.0,1.0,1.0,1.0,1.0
2023-05-15,0.9743902439024398,1.0,1.0,1.0,1.0,1.0
2023-05-16,0.9702439024390251,0.9895935766423358,0.9895935766423358,0.9895935766423358,0.9895935766423358,0.9895935766423358
2023-05-17,0.9636585365853664,1.0002097806073358,1.0002097806073358,1.0002097806073358,1.0002097806073358,1.0002097806073358
2023-05-18,0.9634146341463421,1.0179126085826868,1.0179126085826868,1.0179126085826868,1.0179126085826868,1.0179126085826868
2023-05-19,0.9619512195121956,1.0205680327789897,1.0205680327789897,1.0205680327789897,1.0205680327789897,1.0205680327789897
2023-05-22,0.9668292682926835,1.02764916396913,1.02764916396913,1.02764916396913,1.02764916396913,1.02764916396913
2023-05-23,0.9529268292682931,1.011716618791314,1.011716618791314,1.011716618791314,1.011716618791314,1.011716618791314
2023-05-24,0.9400000000000005,0.9958614389897487,0.9958614389897487,0.9958614389897487,0.9958614389897487,0.9958614389897487
2023-05-25,0.9378048780487809,1.0107049021725225,1.0107049021725225,1.0107049021725225,1.0107049021725225,1.0107049021725225
2023-05-26,0.9390243902439027,1.014753119404188,1.014753119404188,1.014753119404188,1.014753119404188,1.014753119404188
2023-05-29,0.9351219512195126,1.051187074489179,1.051187074489179,1.051187074489179,1.051187074489179,1.051187074489179
2023-05-30,0.9360975609756103,1.0525364802330675,1.0525364802330675,1.0525364802330675,1.0525364802330675,1.0525364802330675
2023-05-31,0.9273170731707323,1.0484882630014019,1.0484882630014019,1.0484882630014019,1.0484882630014019,1.0484882630014019
2023-06-01,0.9292682926829274,1.0471388572575135,1.0471388572575135,1.0471388572575135,1.0471388572575135,1.0471388572575135
2023-06-02,0.9421951219512199,1.060632914696399,1.060632914696399,1.060632914696399,1.060632914696399,1.060632914696399
2023-06-05,0.9378048780487808,1.0660305376719532,1.0660305376719532,1.0660305376719532,1.0660305376719532,1.0660305376719532
2023-06-06,0.9287804878048783,1.0673799434158417,1.0673799434158417,1.0673799434158417,1.0673799434158417,1.0673799434158417
2023-06-07,0.9258536585365856,1.0714281606475073,1.0714281606475073,1.0714281606475073,1.0714281606475073,1.0714281606475073
2023-06-08,0.933658536585366,1.0471388572575133,1.0471388572575133,1.0471388572575133,1.0471388572575133,1.0471388572575133
2023-06-09,0.9375609756097564,1.0646811319280645,1.0646811319280645,1.0646811319280645,1.0646811319280645,1.0646811319280645
2023-06-12,0.9385365853658538,1.0768257836230615,1.0768257836230615,1.0768257836230615,1.0768257836230615,1.0768257836230615
2023-06-13,0.9456097560975614,1.1011150870130553,1.1011150870130553,1.1011150870130553,1.1011150870130553,1.1011150870130553
2023-06-14,0.9456097560975614,1.1024644927569438,1.1024644927569438,1.1024644927569438,1.1024644927569438,1.1024644927569438
2023-06-15,0.961463414634147,1.1092115214763867,1.1092115214763867,1.1092115214763867,1.1092115214763867,1.1092115214763867
2023-06-16,0.9704878048780494,1.1200067674274952,1.1200067674274952,1.1200067674274952,1.1200067674274952,1.1200067674274952
2023-06-19,0.9631707317073177,1.1146091444519408,1.1146091444519408,1.1146091444519408,1.1146091444519408,1.1146091444519408
2023-06-20,0.9614634146341471,1.1132597387080523,1.1132597387080523,1.1132597387080523,1.1132597387080523,1.1132597387080523
2023-06-21,0.9480487804878056,1.1173079559397179,1.1173079559397179,1.1173079559397179,1.1173079559397179,1.1173079559397179
2023-06-26,0.9373170731707324,1.1092115214763867,1.1092115214763867,1.1092115214763867,1.1092115214763867,1.1092115214763867
2023-06-27,0.9436585365853665,1.0943680582936128,1.0943680582936128,1.0943680582936128,1.0943680582936128,1.0943680582936128
2023-06-28,0.9456097560975614,1.1092115214763867,1.1092115214763867,1.1092115214763867,1.1092115214763867,1.1092115214763867
2023-06-29,0.9412195121951222,1.117307955939718,1.117307955939718,1.117307955939718,1.117307955939718,1.117307955939718
2023-06-30,0.9468292682926832,1.117307955939718,1.117307955939718,1.117307955939718,1.117307955939718,1.117307955939718
2023-07-03,0.9578048780487807,1.1375490420980465,1.1375490420980465,1.1375490420980465,1.1375490420980465,1.1375490420980465
2023-07-04,0.9595121951219513,1.1294526076347151,1.1294526076347151,1.1294526076347151,1.1294526076347151,1.1294526076347151
2023-07-05,0.9529268292682928,1.1308020133786036,1.1308020133786036,1.1308020133786036,1.1308020133786036,1.1308020133786036
2023-07-06,0.9460975609756098,1.1321514191224922,1.1321514191224922,1.1321514191224922,1.1321514191224922,1.1321514191224922
2023-07-07,0.9434146341463416,1.126753796146938,1.126753796146938,1.126753796146938,1.126753796146938,1.126753796146938
2023-07-10,0.9473170731707319,1.117307955939718,1.117307955939718,1.117307955939718,1.117307955939718,1.117307955939718
2023-07-11,0.9536585365853661,1.1227055789152722,1.1227055789152722,1.1227055789152722,1.1227055789152722,1.1227055789152722
