total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown,trade_count,trade_action_count,avg_exposure,latest_momentum,latest_exposure,max_drawdown_integral,max_drawdown_episode_integral,full_history_drawdown_integral,worst_drawdown_episode_integral,latest_holding_code,latest_holding_theme,latest_holding_name,latest_portfolio,strategy,risk_cap,vg_cap,vm_cap,overheat_cap,overheat_hi_cap,annualized_diff,sharpe_diff,max_drawdown_integral_diff,is_valid_change
25.921843563318635,0.26238138130853383,0.21090451981256783,1.2440766160047865,-0.18982759788871417,901,1602,0.8235016011644832,0.026011560693641522,0.8,189.87008199088228,30.22536807840936,189.87008199088228,30.22536807840936,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2,,,,,,0.0,0.0,0.0,False
21.10694859215101,0.24490279115950297,0.2105570467995138,1.1631184749313672,-0.21283121505316305,901,1602,0.8193624454148473,0.026011560693641522,0.8,212.9920250153371,36.396094005466956,212.9920250153371,36.396094005466956,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__vmrf_rc000_vg283_vm150_oc066_oh028,0.0,0.283,0.15,0.066,0.028,-0.01747859014903086,-0.08095814107341925,23.121943024454822,False
21.10694859215101,0.24490279115950297,0.2105570467995138,1.1631184749313672,-0.21283121505316305,901,1602,0.8193624454148473,0.026011560693641522,0.8,212.9920250153371,36.396094005466956,212.9920250153371,36.396094005466956,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__vmrf_rc000_vg283_vm160_oc066_oh028,0.0,0.283,0.16,0.066,0.028,-0.01747859014903086,-0.08095814107341925,23.121943024454822,False
21.10694859215101,0.24490279115950297,0.2105570467995138,1.1631184749313672,-0.21283121505316305,901,1602,0.8193624454148473,0.026011560693641522,0.8,212.9920250153371,36.396094005466956,212.9920250153371,36.396094005466956,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__vmrf_rc000_vg283_vm170_oc066_oh028,0.0,0.283,0.17,0.066,0.028,-0.01747859014903086,-0.08095814107341925,23.121943024454822,False
21.106747438210494,0.24490198964895082,0.2105571881514851,1.1631138874857903,-0.21283558381987133,901,1602,0.8193671033478893,0.026011560693641522,0.8,212.9928609075859,36.39689096448466,212.9928609075859,36.39689096448466,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__vmrf_rc000_vg284_vm150_oc066_oh028,0.0,0.284,0.15,0.066,0.028,-0.01747939165958301,-0.08096272851899622,23.122778916703624,False
21.106747438210494,0.24490198964895082,0.2105571881514851,1.1631138874857903,-0.21283558381987133,901,1602,0.8193671033478893,0.026011560693641522,0.8,212.9928609075859,36.39689096448466,212.9928609075859,36.39689096448466,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__vmrf_rc000_vg284_vm160_oc066_oh028,0.0,0.284,0.16,0.066,0.028,-0.01747939165958301,-0.08096272851899622,23.122778916703624,False
21.106747438210494,0.24490198964895082,0.2105571881514851,1.1631138874857903,-0.21283558381987133,901,1602,0.8193671033478893,0.026011560693641522,0.8,212.9928609075859,36.39689096448466,212.9928609075859,36.39689096448466,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__vmrf_rc000_vg284_vm170_oc066_oh028,0.0,0.284,0.17,0.066,0.028,-0.01747939165958301,-0.08096272851899622,23.122778916703624,False
21.106546255712725,0.24490118801783178,0.21055732998837423,1.1631092967951,-0.21283995363401842,901,1602,0.8193717612809316,0.026011560693641522,0.8,212.99369699588803,36.39768811963017,212.99369699588803,36.39768811963017,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__vmrf_rc000_vg285_vm150_oc066_oh028,0.0,0.285,0.15,0.066,0.028,-0.01748019329070205,-0.08096731920968647,23.123615005005746,False
21.106546255712725,0.24490118801783178,0.21055732998837423,1.1631092967951,-0.21283995363401842,901,1602,0.8193717612809316,0.026011560693641522,0.8,212.99369699588803,36.39768811963017,212.99369699588803,36.39768811963017,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__vmrf_rc000_vg285_vm160_oc066_oh028,0.0,0.285,0.16,0.066,0.028,-0.01748019329070205,-0.08096731920968647,23.123615005005746,False
21.106546255712725,0.24490118801783178,0.21055732998837423,1.1631092967951,-0.21283995363401842,901,1602,0.8193717612809316,0.026011560693641522,0.8,212.99369699588803,36.39768811963017,212.99369699588803,36.39768811963017,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__vmrf_rc000_vg285_vm170_oc066_oh028,0.0,0.285,0.17,0.066,0.028,-0.01748019329070205,-0.08096731920968647,23.123615005005746,False
21.104953986826764,0.24489484322930588,0.21055764817802775,1.1630774058715068,-0.21283121505316327,901,1602,0.8193708879184861,0.026011560693641522,0.8,212.9961085909089,36.39609400546707,212.9961085909089,36.39609400546707,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__vmrf_rc000_vg283_vm150_oc066_oh029,0.0,0.283,0.15,0.066,0.029,-0.017486538079227953,-0.08099921013327971,23.12602660002662,False
21.104953986826764,0.24489484322930588,0.21055764817802775,1.1630774058715068,-0.21283121505316327,901,1602,0.8193708879184861,0.026011560693641522,0.8,212.9961085909089,36.39609400546707,212.9961085909089,36.39609400546707,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__vmrf_rc000_vg283_vm160_oc066_oh029,0.0,0.283,0.16,0.066,0.029,-0.017486538079227953,-0.08099921013327971,23.12602660002662,False
21.104953986826764,0.24489484322930588,0.21055764817802775,1.1630774058715068,-0.21283121505316327,901,1602,0.8193708879184861,0.026011560693641522,0.8,212.9961085909089,36.39609400546707,212.9961085909089,36.39609400546707,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__vmrf_rc000_vg283_vm170_oc066_oh029,0.0,0.283,0.17,0.066,0.029,-0.017486538079227953,-0.08099921013327971,23.12602660002662,False
