date,current_a_share_amount_nav,blend_etf_ma20_25_nav,blend_etf_ma20_50_nav,blend_etf_ma20_75_nav,blend_etf_pos20_25_nav,blend_etf_pos20_50_nav,blend_etf_pos20_75_nav,pure_etf_ma20_amount_nav,pure_etf_pos20_amount_nav,hs300_benchmark
2012-05-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-05-29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0153609831029187
2012-05-30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.012288786482335
2012-05-31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.009984639016897
2012-06-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.009984639016897
2012-06-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9823348694316433
2012-06-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9834869431643621
2012-06-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9827188940092163
2012-06-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9765745007680489
2012-06-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.973118279569892
2012-06-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9846390168970811
2012-06-12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9784946236559137
2012-06-13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9927035330261134
2012-06-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9884792626728107
2012-06-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9923195084485404
2012-06-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9953917050691242
2012-06-19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9880952380952378
2012-06-20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9869431643625188
2012-06-21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9715821812596002
2012-06-25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.952380952380952
2012-06-26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.952380952380952
2012-06-27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9489247311827954
2012-06-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9435483870967738
2012-06-29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9543010752688166
2012-07-02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9543010752688166
