date,official_signal,official_holding,official_current_momentum,official_effective_momentum,official_exposure,official_target_exposure,official_drawdown,cand_signal,cand_holding,cand_current_momentum,cand_effective_momentum,cand_exposure,cand_target_exposure,cand_drawdown
2026-05-21,159941,159941,0.16666666666666652,0.16666666666666652,1.0,1.0,-0.057081706762874496,159941.0,159949.0,0.1666666666666665,0.1666666666666665,1.0,1.0,-0.0560049680973422
2026-05-22,159941,159941,0.16850625459896995,0.16850625459896995,1.0,1.0,-0.04077242174211693,159941.0,159941.0,0.1685062545989699,0.1685062545989699,1.0,1.0,-0.0406373820943246
2026-05-25,159949,159949,0.1545346062052506,0.1545346062052506,0.7,0.7,-0.007186318467935271,159949.0,159941.0,0.1545346062052506,0.1545346062052506,1.0,0.7,-0.0062018221317154
2026-05-26,159941,159941,0.14305949008498597,0.11705237513046077,0.7,0.7,-0.0010620741592191063,159941.0,159949.0,0.1430594900849859,0.1170523751304607,0.7,0.7,-0.000221599225153
2026-05-27,159941,159941,0.1745014245014247,0.13861940841824694,1.0,1.0,0.0,159941.0,159941.0,0.1745014245014247,0.1386194084182469,0.7,1.0,0.0
2026-05-28,159941,159941,0.17236467236467234,0.13765478225478228,1.0,1.0,-0.0013280776228017377,159941.0,159941.0,0.1723646723646723,0.1376547822547822,1.0,1.0,-0.0021196398925106
2026-05-29,159941,159941,0.20999999999999996,0.20999999999999996,0.7800000000000005,0.7800000000000005,0.0,159941.0,159941.0,0.2099999999999999,0.2099999999999999,1.0,0.7800000000000005,0.0
2026-06-01,159941,159941,0.25373134328358216,0.25373134328358216,0.28507462686567137,0.28507462686567137,0.0,159941.0,159941.0,0.2537313432835821,0.2537313432835821,0.7800000000000005,0.2850746268656713,0.0
2026-06-02,159941,159941,0.2244177840508117,0.2244177840508117,0.6069865913902597,0.6069865913902597,-0.004846802654355886,159941.0,159941.0,0.2244177840508117,0.2244177840508117,0.2850746268656713,0.6069865913902597,-0.0049329039362532
2026-06-03,159941,159941,0.20380818053596617,0.20380818053596617,1.0,1.0,-0.014788712291786132,159941.0,159941.0,0.2038081805359661,0.2038081805359661,0.6069865913902597,1.0,-0.0148389245677361
2026-06-04,159941,159941,0.15379310344827601,0.15379310344827601,1.0,1.0,-0.03441213571421098,159941.0,159941.0,0.153793103448276,0.153793103448276,1.0,1.0,-0.0346510826812237
