total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown,trade_count,trade_action_count,avg_exposure,latest_momentum,latest_exposure,max_drawdown_integral,max_drawdown_episode_integral,full_history_drawdown_integral,worst_drawdown_episode_integral,latest_holding_code,latest_holding_theme,latest_holding_name,latest_portfolio,strategy,method,downvol_scale,drawdown_penalty,slope_penalty,leader_margin,annualized_diff,sharpe_diff,max_drawdown_integral_diff,max_drawdown_diff,is_soft_improvement
25.87667179699164,0.26223139076362556,0.2047804915181855,1.2805486929907977,-0.18982759788871417,888,1564,0.8174666666666667,0.026011560693641522,0.8,189.93712225864112,30.22536807840936,189.93712225864112,30.22536807840936,512890,红利低波ETF,红利低波ETF华泰柏瑞,红利低波ETF / 红利低波ETF华泰柏瑞 (512890) 80%,baseline_raw,raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
21.15592867519931,0.2450977539439032,0.19667259320637565,1.2462222109753407,-0.1890166145032175,906,1582,0.8144011644832605,0.026011560693641522,0.8,194.54827505907434,32.1573109191253,194.54827505907434,32.1573109191253,512890,红利低波ETF,红利低波ETF华泰柏瑞,红利低波ETF / 红利低波ETF华泰柏瑞 (512890) 80%,slope_080,slope,0.0,0.0,0.8,0.0,-0.017133636819722353,-0.03432648201545696,4.611152800433217,0.0008109833854966775,False
18.464292254527077,0.2337388699029197,0.20428476769409162,1.1441815879925734,-0.20392617242444988,897,1572,0.8165082969432315,0.026011560693641522,0.8,207.83340604541348,35.65156163243963,207.83340604541348,35.65156163243963,512890,红利低波ETF,红利低波ETF华泰柏瑞,红利低波ETF / 红利低波ETF华泰柏瑞 (512890) 80%,slope_050,slope,0.0,0.0,0.5,0.0,-0.02849252086070586,-0.13636710499822424,17.896283786772358,-0.014098574535735708,False
17.26847591102014,0.2282162785283166,0.2041088784239643,1.1181104922554015,-0.2272918329712188,900,1585,0.8171720524017467,0.01577287066246047,0.8,212.1530839372045,37.94873062486715,212.1530839372045,37.94873062486715,512890,红利低波ETF,红利低波ETF华泰柏瑞,红利低波ETF / 红利低波ETF华泰柏瑞 (512890) 80%,combo_light,combo,1.0,0.15,0.35,0.0,-0.03401511223530895,-0.16243820073539617,22.21596167856339,-0.03746423508250463,False
18.172225888964242,0.23241974771208396,0.20264811401450192,1.146912957183759,-0.2159588576129331,845,1459,0.8147976710334789,0.01577287066246047,0.8,218.53702628489117,38.884527967196476,218.53702628489117,38.884527967196476,512890,红利低波ETF,红利低波ETF华泰柏瑞,红利低波ETF / 红利低波ETF华泰柏瑞 (512890) 80%,combo_margin,combo,1.0,0.15,0.35,0.015,-0.029811643051541603,-0.13363573580703858,28.599904026250044,-0.026131259724218925,False
17.254906650767033,0.22815170554488584,0.20375771021541386,1.119720600038558,-0.20111110653469289,844,1466,0.8154305676855895,0.026011560693641522,0.8,218.73626423206824,34.69008387377086,218.73626423206824,34.69008387377086,512890,红利低波ETF,红利低波ETF华泰柏瑞,红利低波ETF / 红利低波ETF华泰柏瑞 (512890) 80%,raw_margin,raw,0.0,0.0,0.0,0.015,-0.03407968521873972,-0.16082809295223965,28.799141973427112,-0.011283508645978713,False
18.578402364630335,0.23424925838096788,0.20449251275551883,1.145515086222373,-0.22091259965321042,889,1569,0.8175272197962155,0.026011560693641522,0.8,221.2065245584235,40.42028862524377,221.2065245584235,40.42028862524377,512890,红利低波ETF,红利低波ETF华泰柏瑞,红利低波ETF / 红利低波ETF华泰柏瑞 (512890) 80%,downvol_150,downvol,1.5,0.0,0.0,0.0,-0.027982132382657676,-0.13503360676842457,31.26940229978237,-0.031085001764496245,False
18.707408316677284,0.23482295408547738,0.20445296281177297,1.1485426811919774,-0.22091259965321008,892,1575,0.8174264919941775,0.026011560693641522,0.8,223.12289216233302,40.42028862524374,223.12289216233302,40.42028862524374,512890,红利低波ETF,红利低波ETF华泰柏瑞,红利低波ETF / 红利低波ETF华泰柏瑞 (512890) 80%,downvol_200,downvol,2.0,0.0,0.0,0.0,-0.027408436678148185,-0.1320060117988202,33.18576990369189,-0.031085001764495912,False
15.935704803836995,0.22165055481188278,0.20450090630038556,1.0838609902603884,-0.24584468272052562,894,1573,0.8172727802037846,0.005512679162072764,0.8,241.18758453515645,76.83564572926484,241.18758453515645,76.83564572926484,512890,红利低波ETF,红利低波ETF华泰柏瑞,红利低波ETF / 红利低波ETF华泰柏瑞 (512890) 80%,drawdown_025,drawdown,0.0,0.25,0.0,0.0,-0.04058083595174278,-0.19668770273040925,51.25046227651532,-0.05601708483181145,False
15.51321148239742,0.2194687193164806,0.20435599326645132,1.0739529377556567,-0.24975598761647477,899,1579,0.8168110625909752,0.005512679162072764,0.8,244.6373664262362,82.37134586553073,244.6373664262362,82.37134586553073,512890,红利低波ETF,红利低波ETF华泰柏瑞,红利低波ETF / 红利低波ETF华泰柏瑞 (512890) 80%,drawdown_035,drawdown,0.0,0.35,0.0,0.0,-0.04276267144714496,-0.20659575523514095,54.70024416759509,-0.0599283897277606,False
