name,annualized_return,sharpe_rf0,max_drawdown,max_drawdown_integral,trade_action_count,volume_ratio_cut,volume_short_ratio_cut,annualized_diff,sharpe_diff,max_drawdown_diff,max_drawdown_integral_diff,drawdown_integral_definition,drawdown_integral_recomputed
current_a_share_amount,0.2516770519668061,1.3045019143942478,-0.1896238403889111,31.455994866546153,1568,0.91,0.9,0.0,0.0,0.0,0.0,full_history,False
blend_etf_ma20_25,0.2376036134401091,1.2340085095171245,-0.2036333844296346,35.00453390171222,1536,0.91,0.9,-0.0140734385266969,-0.0704934048771233,-0.0140095440407235,3.548539035166069,full_history,False
blend_etf_ma20_50,0.2461300692352495,1.285902984165512,-0.2192356560221585,36.75062275441944,1532,0.91,0.9,-0.0055469827315566,-0.0185989302287359,-0.0296118156332474,5.294627887873286,full_history,False
blend_etf_ma20_75,0.2417579732270316,1.2677400142158908,-0.2192356560221583,36.75018664328497,1552,0.91,0.9,-0.0099190787397744,-0.036761900178357,-0.0296118156332472,5.294191776738817,full_history,False
blend_etf_pos20_25,0.2399033379263606,1.239856529077133,-0.2177794644447643,37.40866789032468,1542,0.91,0.9,-0.0117737140404454,-0.0646453853171147,-0.0281556240558532,5.952673023778527,full_history,False
blend_etf_pos20_50,0.239362226818796,1.24208399360069,-0.2169107635430899,36.172203717885736,1536,0.91,0.9,-0.01231482514801,-0.0624179207935577,-0.0272869231541788,4.716208851339584,full_history,False
blend_etf_pos20_75,0.2415776387700161,1.2586402243399133,-0.217674753042073,36.311829295956215,1541,0.91,0.9,-0.0100994131967899,-0.0458616900543344,-0.0280509126531619,4.855834429410063,full_history,False
pure_etf_ma20_amount,0.2382931251900701,1.266942777155022,-0.1950983657241779,32.341496589716755,1558,0.96,0.95,-0.0133839267767359,-0.0375591372392258,-0.0054745253352668,0.8855017231706022,full_history,False
pure_etf_pos20_amount,0.2435112417399858,1.2734900255292574,-0.2176747530420734,36.32604967118856,1552,0.96,0.95,-0.0081658102268202,-0.0310118888649904,-0.0280509126531622,4.870054804642404,full_history,False
