date,baseline,leader_margin_005,leader_margin_010,leader_margin_015,cash_tail_soft,cash_tail_mid,cash_tail_strict,hs300_benchmark
2012-09-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8821044546850986
2012-09-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8713517665130556
2012-09-19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8748079877112122
2012-09-20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8559907834101369
2012-09-21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.855606758832564
2012-09-24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8632872503840232
2012-09-25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8621351766513042
2012-09-26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8529185867895531
2012-09-27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8774961597542228
2012-09-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8978494623655899
2012-10-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8844086021505362
2012-10-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9047619047619032
2012-10-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9047619047619032
2012-10-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8986175115207359
2012-10-12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.89784946236559
2012-10-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8947772657450062
2012-10-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8951612903225793
2012-10-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.898617511520736
2012-10-18,0.9995,0.9995,0.9995,0.9995,1.0,1.0,1.0,0.9097542242703521
2012-10-19,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9995,0.9995,0.9995,0.9097542242703521
2012-10-22,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9132104454685087
2012-10-23,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9028417818740386
2012-10-24,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9013056835637467
2012-10-25,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8940092165898603
2012-10-26,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.874039938556066
2012-10-29,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8698156682027637
2012-10-30,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8717357910906285
2012-10-31,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.877880184331796
2012-11-01,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8963133640552984
2012-11-02,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8982334869431632
2012-11-05,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8959293394777255
2012-11-06,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8924731182795687
2012-11-07,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8917050691244228
2012-11-08,0.99900025,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.8755760368663582
