total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown,trade_count,trade_action_count,avg_exposure,latest_momentum,latest_exposure,max_drawdown_integral,max_drawdown_episode_integral,full_history_drawdown_integral,worst_drawdown_episode_integral,latest_holding_code,latest_holding_theme,latest_holding_name,latest_portfolio,strategy,treasury_code,risk_cap,ratio_cut,breadth_cut,vg_cap,overheat_cap,overheat_hi_cap,annualized_diff,sharpe_diff,max_drawdown_integral_diff,is_valid_change
20.289486546437715,0.24158824719752636,0.2106287286261434,1.146986210159084,-0.21718958139964128,900,1630,0.8192046579330422,0.026011560693641522,0.8,214.22909317074917,39.086835436816685,214.22909317074917,39.086835436816685,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__repair_rc17_vg29_oc07_oh03__stressbond_511260_vr90_vb-1,511260,0.17,0.9,-0.03,0.29,0.07,0.03,0.0003888666381139938,0.0021500147045869777,-0.18588567913613474,True
20.288092202893807,0.2415824932269588,0.21063013025105465,1.1469512597224878,-0.21723314866115462,900,1630,0.819257059679767,0.026011560693641522,0.8,214.23765349330824,39.0947928087435,214.23765349330824,39.0947928087435,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__repair_rc17_vg30_oc07_oh03__stressbond_511260_vr90_vb-1,511260,0.17,0.9,-0.03,0.3,0.07,0.03,0.0003831126675464258,0.002115064267990796,-0.1773253565770574,True
20.280085275855193,0.2415494446442239,0.21061848385320917,1.1468577696750115,-0.2166733510487363,900,1630,0.8193967976710336,0.026011560693641522,0.8,214.18063755373277,38.992891679378204,214.18063755373277,38.992891679378204,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__repair_rc15_vg29_oc08_oh04__stressbond_511260_vr90_vb-1,511260,0.15,0.9,-0.03,0.29,0.08,0.04,0.00035006408481152995,0.0020215742205145215,-0.23434129615253596,True
20.27869110743695,0.24154368903445378,0.21061989460832706,1.146822760896511,-0.21671694704101574,900,1630,0.8194491994177584,0.026011560693641522,0.8,214.1892018889239,39.00085321591389,214.1892018889239,39.00085321591389,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__repair_rc15_vg30_oc08_oh04__stressbond_511260_vr90_vb-1,511260,0.15,0.9,-0.03,0.3,0.08,0.04,0.0003443084750414105,0.001986565442013921,-0.22577696096141153,True
20.278530515366768,0.24154302603229838,0.21061298382912982,1.1468572432754767,-0.2166733510487362,900,1630,0.8193531295487627,0.026011560693641522,0.8,214.15500523167105,38.992891679378225,214.15500523167105,38.992891679378225,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__repair_rc15_vg29_oc08_oh03__stressbond_511260_vr90_vb-1,511260,0.15,0.9,-0.03,0.29,0.08,0.03,0.00034364547288601166,0.002021047820979671,-0.25997361821424647,True
20.277136448809188,0.2415372704522849,0.21061439462053383,1.1468222335299785,-0.2167169470410153,900,1630,0.8194055312954878,0.026011560693641522,0.8,214.16356956686175,39.000853215913764,214.16356956686175,39.000853215913764,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__repair_rc15_vg30_oc08_oh03__stressbond_511260_vr90_vb-1,511260,0.15,0.9,-0.03,0.3,0.08,0.03,0.0003378898928725338,0.0019860380754814777,-0.25140928302354837,True
20.27435673131044,0.24152579299114185,0.2106471801211845,1.1465892534245794,-0.21744771879697788,900,1630,0.8192483260553131,0.026011560693641522,0.8,214.29975652475042,39.133824476536624,214.29975652475042,39.133824476536624,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__repair_rc18_vg29_oc07_oh04__stressbond_511260_vr90_vb-1,511260,0.18,0.9,-0.03,0.29,0.07,0.04,0.00032641243172948364,0.0017530579700824056,-0.11522232513488007,True
20.272963599083734,0.2415200402201445,0.21064857708715018,1.1465543397438762,-0.21749127169187243,900,1630,0.8193007278020378,0.026011560693641522,0.8,214.30831500948932,39.14177976575638,214.30831500948932,39.14177976575638,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__repair_rc18_vg30_oc07_oh04__stressbond_511260_vr90_vb-1,511260,0.18,0.9,-0.03,0.3,0.07,0.04,0.0003206596607321366,0.0017181442893792198,-0.10666384039598142,True
20.27280239308247,0.24151937451686534,0.2106416797315571,1.1465887227288492,-0.217447718796978,900,1630,0.8192046579330422,0.026011560693641522,0.8,214.2741259573433,39.13382447653666,214.2741259573433,39.13382447653666,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__repair_rc18_vg29_oc07_oh03__stressbond_511260_vr90_vb-1,511260,0.18,0.9,-0.03,0.29,0.07,0.03,0.00031999395745296866,0.0017525272743521558,-0.14085289254200006,True
20.271409362640334,0.2415136217756093,0.21064307673344615,1.1465538080856446,-0.21749127169187166,900,1630,0.819257059679767,0.026011560693641522,0.8,214.28268444208192,39.14177976575619,214.28268444208192,39.14177976575619,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__repair_rc18_vg30_oc07_oh03__stressbond_511260_vr90_vb-1,511260,0.18,0.9,-0.03,0.3,0.07,0.03,0.0003142412161969421,0.0017176126311475581,-0.13229440780338564,True
