strategy,total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown,trade_count,trade_action_count,avg_exposure,latest_momentum,latest_exposure,max_drawdown_integral,max_drawdown_episode_integral,full_history_drawdown_integral,worst_drawdown_episode_integral,latest_holding_code,latest_holding_theme,latest_holding_name,latest_portfolio,latest_signal,latest_holding,latest_selected_vol_rank,total_return_diff_vs_baseline,annualized_return_diff_vs_baseline,sharpe_rf0_diff_vs_baseline,max_drawdown_diff_vs_baseline,max_drawdown_integral_diff_vs_baseline,trade_count_diff_vs_baseline,trade_action_count_diff_vs_baseline,is_soft_improvement
baseline,24.511442984476904,0.25836805866278745,0.20245408401899842,1.2761810161287832,-0.18982759788871417,952,1661,0.8169786861313869,0.07416383906931645,1.0,188.81969997160687,29.26812502965747,188.81969997160687,29.26812502965747,513880,日经ETF,日经225ETF华安,日经ETF / 日经225ETF华安 (513880) 100%,513880,513880,,0.0,0.0,0.0,0.0,0.0,0,0,True
own_vol_pct_cap,21.924438964749314,0.24885792849809008,0.19592187093460606,1.2701896287074188,-0.18690726180120243,1102,1848,0.8057729258735692,0.07416383906931645,0.8,185.70481722220845,6.1471200686788166,185.70481722220845,6.1471200686788166,513880,日经ETF,日经225ETF华安,日经ETF / 日经225ETF华安 (513880) 80%,513880,513880,0.9861111111111112,-2.5870040197275905,-0.009510130164697372,-0.0059913874213644025,0.0029203360875117435,-3.1148827493984186,150,187,False
own_vol_pct_divisor,19.019134322194095,0.23690798137488245,0.19791094471717705,1.1970433556033688,-0.19134285234250403,965,1673,0.8051813138686131,0.07416383906931645,1.0,190.12618806431578,31.11266801872766,190.12618806431578,31.11266801872766,513880,日经ETF,日经225ETF华安,日经ETF / 日经225ETF华安 (513880) 100%,513880,513880,,-5.4923086622828095,-0.021460077287905,-0.07913766052541438,-0.0015152544537898605,1.3064880927089177,13,12,False
own_vol_pct_penalty,16.026756681979663,0.22278095790341879,0.19831979016822787,1.1233420412276625,-0.22191942699558131,963,1665,0.8053004379562045,0.07416383906931645,1.0,196.6292383570015,10.0282921705077,196.6292383570015,10.0282921705077,513880,日经ETF,日经225ETF华安,日经ETF / 日经225ETF华安 (513880) 100%,513880,513880,,-8.484686302497241,-0.03558710075936866,-0.15283897490112075,-0.03209182910686714,7.809538385394632,11,4,False
