variant,reason
germany_risk,"missing histories: 513030; fetch failed: HTTPSConnectionPool(host='finance.sina.com.cn', port=443): Max retries exceeded with url: /realstock/company/sh513030/hisdata_klc2/klc_kl.js (Caused by NameResolutionError(""HTTPSConnection(host='finance.sina.com.cn', port=443): Failed to resolve 'finance.sina.com.cn' ([Errno 8] nodename nor servname provided, or not known)""))"
germany_defensive,"missing histories: 513030; fetch failed: HTTPSConnectionPool(host='finance.sina.com.cn', port=443): Max retries exceeded with url: /realstock/company/sh513030/hisdata_klc2/klc_kl.js (Caused by NameResolutionError(""HTTPSConnection(host='finance.sina.com.cn', port=443): Failed to resolve 'finance.sina.com.cn' ([Errno 8] nodename nor servname provided, or not known)""))"
china_internet_plus_germany_risk,"missing histories: 513030; fetch failed: HTTPSConnectionPool(host='finance.sina.com.cn', port=443): Max retries exceeded with url: /realstock/company/sh513030/hisdata_klc2/klc_kl.js (Caused by NameResolutionError(""HTTPSConnection(host='finance.sina.com.cn', port=443): Failed to resolve 'finance.sina.com.cn' ([Errno 8] nodename nor servname provided, or not known)""))"
china_internet_plus_germany_defensive,"missing histories: 513030; fetch failed: HTTPSConnectionPool(host='finance.sina.com.cn', port=443): Max retries exceeded with url: /realstock/company/sh513030/hisdata_klc2/klc_kl.js (Caused by NameResolutionError(""HTTPSConnection(host='finance.sina.com.cn', port=443): Failed to resolve 'finance.sina.com.cn' ([Errno 8] nodename nor servname provided, or not known)""))"
