total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown,trade_count,trade_action_count,avg_exposure,latest_momentum,latest_exposure,strategy,lookback,return_diff_vs_first,annualized_diff_vs_first,sharpe_diff_vs_first,mdd_diff_vs_first,trade_diff_vs_first
15.801035886980724,0.22096064375144442,0.23844512920227942,0.9266729183803019,-0.25350949628406283,677,1163,0.835574963609898,0.026011560693641522,0.8,k_25,25,6.458067565639274,0.041200513767784,0.16697030050171946,0.02464355034301513,-95
13.342336381558109,0.20736750941137982,0.23775527722716092,0.8721888819033556,-0.25350949628406283,619,1057,0.8426200873362446,0.058649581074420976,1.0,k_29,29,3.999368060216659,0.027607379427719403,0.11248626402477324,0.02464355034301513,-153
12.62747899830505,0.20300756676662712,0.23567888187296168,0.8613735993369765,-0.26243553956100707,753,1292,0.8255021834061136,0.001097694840834329,0.8,k_22,22,3.284510676963599,0.0232474367829667,0.10167098145839415,0.01571750706607089,-19
10.39394694819319,0.1878663511814498,0.23720661225060108,0.7919945797420482,-0.31946031361857585,718,1226,0.8305094614264921,0.00750938673341639,0.8,k_23,23,1.0509786268517392,0.008106221197789365,0.032291961863465835,-0.04130726699149789,-54
10.277144596583291,0.1870005972205877,0.23784337093020017,0.7862342199794449,-0.25350949628406283,754,1273,0.8228820960698691,0.018994413407821265,0.8,k_21,21,0.9341762752418408,0.007240467236927284,0.026531602100862473,0.02464355034301513,-18
10.047402766695043,0.18527313048818694,0.2382236604186007,0.7777276621584506,-0.28318311153083975,613,1040,0.8398835516739447,0.06918865107018424,1.0,k_28,28,0.7044344453535931,0.005513000504526522,0.018025044279868174,-0.005030064903761788,-159
9.34296832134145,0.17976012998366042,0.23661907403403226,0.7597026178785824,-0.27815304662707796,772,1294,0.8194468704512373,0.03050847457627115,0.8,k_20,20,0.0,0.0,0.0,0.0,0
9.450775061780488,0.1806260392609358,0.23907990590330055,0.755504895229433,-0.2755135681998303,638,1101,0.8394177583697234,0.031976744186046346,0.8,k_27,27,0.10780674043903815,0.0008659092772753674,-0.004197722649149416,0.0026394784272476546,-134
9.243165998843391,0.17895100387952834,0.23784241957401625,0.75239313575785,-0.2570072857441553,679,1174,0.8302765647743814,0.021582733812949506,0.8,k_24,24,-0.09980232249805887,-0.0008091261041320852,-0.007309482120732347,0.021145760882922637,-93
8.784386244458736,0.17513466912763298,0.2381930161833647,0.7352636611008426,-0.2654153074238387,677,1147,0.8366229985443959,0.08484848484848495,1.0,k_26,26,-0.5585820768827148,-0.004625460856027441,-0.024438956777739773,0.012737739203239284,-95
5.687763057406109,0.14391769316249525,0.24043402266673938,0.5985745759533233,-0.31252210176030604,637,1088,0.8446579330422126,0.04576436222005853,1.0,k_30,30,-3.6552052639353416,-0.03584243682116517,-0.1611280419252591,-0.03436905513322808,-135
