variant,transition_mode,absolute_threshold,transition_start_cut,transition_end_cut,annualized_return,sharpe_rf0,max_drawdown,max_drawdown_integral,trade_count,baseline_zone_days,baseline_zone_total_return,baseline_zone_avg_daily_return,baseline_zone_win_rate,baseline_zone_max_drawdown,own_zone_days,own_zone_total_return,own_zone_avg_daily_return,own_zone_win_rate,own_zone_max_drawdown,annualized_return_diff_vs_base,sharpe_rf0_diff_vs_base,max_drawdown_diff_vs_base,max_drawdown_integral_diff_vs_base,trade_count_diff_vs_base,baseline_zone_total_return_diff_vs_base,baseline_zone_max_drawdown_diff_vs_base,own_zone_total_return_diff_vs_base,own_zone_max_drawdown_diff_vs_base
step_07,step,0.07,0.0,0.07,0.21609744616725757,1.0771745233302423,-0.22129469466129126,202.69928556979116,868,1108,-0.2502080547803418,-0.00021235484574655555,0.48014440433212996,-0.26923348473544395,1591,-0.6339238395139417,-0.0005850927303617554,0.46951602765556255,-0.6401347596918736,-0.04765668145737201,-0.2231245596352458,-0.02880090371059385,13.005487986166457,-72.0,0.38351023629500447,0.3644848063399023,-0.0002055484385954376,-0.006416468616527338
step_06,step,0.06,0.0,0.06,0.23358978706526212,1.1509158687936434,-0.21415532774834123,206.19563754621785,890,1108,-0.4168354056340583,-0.0004368857745059925,0.4684115523465704,-0.41808977312797246,1369,-0.6256244709943151,-0.0006690052754247694,0.46530314097881664,-0.6260720657637654,-0.030164340559367453,-0.14938321417184475,-0.02166153679764382,16.501839962593152,-50.0,0.21688288544128798,0.2156285179473738,0.008093820081031211,0.007646225311580879
baseline_step_05,step,0.05,0.0,0.05,0.2637541276246296,1.3002990829654881,-0.1924937909506974,189.6937975836247,940,1108,-0.6337182910753463,-0.0008530796262609141,0.44855595667870035,-0.6337182910753463,1108,-0.6337182910753463,-0.0008530796262609141,0.44855595667870035,-0.6337182910753463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
continuous_01_06,continuous,0.06,0.01,0.06,0.22168755818349983,1.0812059310741327,-0.2314736927228489,203.84531968381265,1621,1108,-0.7070591550050427,-0.0010606435401744041,0.427797833935018,-0.7070591550050427,1382,-0.8210274857462527,-0.001202300576146624,0.4399421128798842,-0.8230089466444741,-0.04206656944112974,-0.21909315189135548,-0.03897990177215149,14.151522100187947,681.0,-0.07334086392969641,-0.07334086392969641,-0.18730919467090645,-0.18929065556912783
continuous_02_06,continuous,0.06,0.02,0.06,0.2107615092903905,1.0233123988257515,-0.234962298793446,216.4972101403196,1483,1108,-0.7122959575519154,-0.0010738015836349339,0.40342960288808666,-0.7122959575519154,1316,-0.8338554455456929,-0.0013198992322642766,0.425531914893617,-0.8349571732121196,-0.05299261833423907,-0.2769866841397366,-0.04246850784274858,26.803412556694894,543.0,-0.07857766647656916,-0.07857766647656916,-0.20013715447034663,-0.20123888213677332
step_04,step,0.04,0.0,0.04,0.2542095248446785,1.241459869759511,-0.19613001778031436,203.62848786847866,940,1108,-0.7283929609838433,-0.0011232328176762933,0.4314079422382672,-0.728844135467259,885,-0.5457306335641285,-0.0008385742708852359,0.4463276836158192,-0.5457306335641285,-0.009544602779951061,-0.05883921320597718,-0.003636226829616951,13.934690284853957,0.0,-0.09467466990849704,-0.09512584439191274,0.08798765751121773,0.08798765751121773
continuous_00_06,continuous,0.06,0.0,0.06,0.218489165731927,1.071242008089569,-0.21688168393974094,223.33895539674168,1761,1108,-0.7409894116064732,-0.0011750484916055487,0.43772563176895307,-0.7409894116064732,1485,-0.8231276019932642,-0.0011240661161099257,0.44646464646464645,-0.826253742891161,-0.04526496189270257,-0.2290570748759191,-0.024387892989043536,33.64515781311698,821.0,-0.10727112053112697,-0.10727112053112697,-0.1894093109179179,-0.19253545181581477
continuous_01_05,continuous,0.05,0.01,0.05,0.22001439503100584,1.0613127123544994,-0.2405887944866263,216.72110860965648,1481,1108,-0.7480922588135526,-0.0011953596719900153,0.42057761732851984,-0.7480922588135526,1105,-0.8085666707897413,-0.0014517183917337937,0.4153846153846154,-0.8090943665548407,-0.04373973259362374,-0.2389863706109887,-0.04809500353592888,27.027311026031782,541.0,-0.1143739677382063,-0.1143739677382063,-0.17484837971439504,-0.1753760754794944
continuous_00_05,continuous,0.05,0.0,0.05,0.21653878602655574,1.0503270841946941,-0.23150056914322648,239.5584993341842,1621,1108,-0.7750497306559907,-0.0013007865899334443,0.4268953068592058,-0.7750497306559907,1210,-0.8274398182906462,-0.0014077237339805626,0.41735537190082644,-0.8287113690838277,-0.047215341598073834,-0.249971998770794,-0.03900677819252907,49.864701750559504,681.0,-0.14133143958064442,-0.14133143958064442,-0.1937215272152999,-0.19499307800848142
