date,base_pool,plus_resource_510410,plus_resource_510410__cash_tail,plus_energy_159930,plus_energy_159930__cash_tail
2018-10-10,1.815333452869731,1.8436004320169277,1.8361188377536215,1.5116751951580196,1.5057899569021789
2018-10-11,1.8240497230515247,1.8508302376326804,1.8433193037840279,1.4552694042939145,1.4496037644804558
2018-10-12,1.8493742407824465,1.8763389147291911,1.8687244630200979,1.470108707229738,1.4643852951953635
2018-10-15,1.8671698478366079,1.8943939894083026,1.8867062676235482,1.4814256062343194,1.4756581353656313
2018-10-16,1.8664854014114476,1.8936995634591058,1.8860146597541845,1.480991170572667,1.4752253910444095
2018-10-17,1.8610098300101672,1.889066311860509,1.8814002105533192,1.4930057114439377,1.4871931570292574
2018-10-18,1.8630631692856474,1.890961492105266,1.8832876998855546,1.4072007854988837,1.4017222859356218
2018-10-19,1.8712765263875681,1.8992978396090365,1.8915902172987167,1.4108927799300695,1.4053999067322223
2018-10-22,1.868538740686928,1.8965190571077797,1.8888227114943295,1.4092414057911609,1.4037549617060543
2018-10-23,1.8760169201946557,1.9041092181464878,1.8963820705738392,1.4150229089944066,1.4095139564207457
2018-10-24,1.876512929770312,1.9046126551864897,1.8968834645943207,1.4154354521165626,1.4099248934342796
2018-10-25,1.8860834875177743,1.9143265266519216,1.9065579157798653,1.4212106350177303,1.4156775924530278
2018-10-26,1.8847162649824227,1.9129388307282886,1.9051758513247876,1.420386446175386,1.4148566123341715
2018-10-29,1.881981819911719,1.9101634388810222,1.902411722414632,1.418737829335429,1.4132144138722673
2018-10-30,1.8778801523056636,1.9060003511101227,1.8982655290493984,1.416264185462995,1.4107504003646076
2018-10-31,1.8621570931491183,1.8900418479883416,1.8823717878160036,1.4042656901481902,1.398798617467831
2018-11-01,1.8662587607551735,1.894204935759241,1.886517981181237,1.4073587863819967,1.4018796716913284
2018-11-02,1.8669423720228493,1.8948987837210576,1.8872090134087758,1.4078743024209646,1.402393180728578
2018-11-05,1.8676259832905255,1.8955926316828746,1.887900045636315,1.4083898184599326,1.402906689765828
2018-11-06,1.8689932058258771,1.8969803276065076,1.8892821100913928,1.409420850537868,1.4039337078403271
2018-11-07,1.8696768170935527,1.897674175568324,1.8899731423189314,1.4099363665768356,1.4044472168775766
2018-11-08,1.862157093149118,1.8900418479883418,1.8823717878160036,1.4042656901481902,1.3987986174678313
2018-11-09,1.8580554255430626,1.8858787602174423,1.8782255944507698,1.4011725939143835,1.3957175632443337
2018-11-12,1.8443832001895448,1.8720018009811108,1.8644049498999915,1.3908622731350282,1.3854473824993423
2018-11-13,1.8392772529423722,1.866819395046466,1.8592435749099252,1.3870118425986948,1.3816119424194024
2018-11-14,1.8387300525696113,1.8662640006559725,1.8586904343893125,1.386599194969807,1.3812009013060014
2018-11-15,1.8469386688757254,1.8745955363731865,1.866988159542836,1.3927893699473508,1.3873669767582602
2018-11-16,1.8416078824751811,1.8691849244453405,1.8615995046521314,1.3887693866326598,1.3833626440010878
2018-11-19,1.834270799278069,1.86173797255512,1.8541827735578997,1.383236440869183,1.3778512390449082
2018-11-20,1.7755741337011706,1.802162357433356,1.794848924804047,1.3389728747613692,1.3337599993954712
2018-11-21,1.786579758496839,1.813332785268687,1.8059740214453943,1.3472722934065844,1.3420271068297407
2018-11-22,1.7719055921026146,1.798438881488246,1.7911405592569312,1.336206401879631,1.3310042969173814
2018-11-23,1.698534760131492,1.7239693625860413,1.7169732483146154,1.2808769442448638,1.275890247355585
2018-11-26,1.695017642577761,1.7203995781756378,1.7134179505999745,1.2782246612945731,1.2732482902458813
2018-11-27,1.6943396355207299,1.7197114183443676,1.7127325834197347,1.2777133714300553,1.272738990929783
2018-11-28,1.6876886615192777,1.712960849749014,1.7060094095973481,1.2726978254105126,1.2677429713821986
2018-11-29,1.6981510856940096,1.723579942839709,1.7165854088893169,1.2805876126676699,1.2756020422010992
2018-11-30,1.698648530171694,1.7240848362685894,1.7170882533884426,1.280962739028027,1.2759757081233847
2018-12-03,1.7619778259784071,1.7883624526515889,1.7811050220098346,1.3287198039984265,1.3235468457817197
2018-12-04,1.745991881702712,1.7721371278538953,1.7649455419010542,1.316664691594877,1.3115386662172637
2018-12-05,1.729989919446781,1.7558955452157232,1.7487698699284377,1.3045974999203822,1.2995184544087552
2018-12-06,1.6750281041825497,1.7001107076888695,1.6932114152517788,1.2631504105594618,1.2582327264280317
2018-12-07,1.6749891161426549,1.7000711358250116,1.6931720039762048,1.2631210094058472,1.2582034397386848
2018-12-10,1.6925607797218003,1.717905925180615,1.7109344172054997,1.2763719238285889,1.2714027658382632
2018-12-11,1.690113998688592,1.7154225049779688,1.7084610750772662,1.274526789135667,1.2695648146046696
2018-12-12,1.6821619603306652,1.7073513893193681,1.7004227131605074,1.2685301013836716,1.263591473095491
2018-12-13,1.680938569814061,1.706109679218045,1.6991860420963907,1.2676075340372108,1.2626724974786943
