date,baseline,leader_margin_005,leader_margin_010,leader_margin_015,cash_tail_soft,cash_tail_mid,cash_tail_strict
2023-10-20,5.736592235585475,5.102536524060327,5.111631992960469,4.532335621074623,5.509088425813244,5.472914518871361,5.736592235585475
2023-10-23,5.736592235585475,5.102536524060327,5.111631992960469,4.532335621074623,5.509088425813244,5.472914518871361,5.736592235585475
2023-10-24,5.737486225517202,5.103331702816538,5.112428589153598,4.532335621074623,5.5099469615751415,5.473767417295399,5.737486225517202
2023-10-25,5.714912509220086,5.0832530207070965,5.092314116015945,4.51224622918567,5.488268481726322,5.452231283194565,5.714912509220086
2023-10-26,5.756297655764799,5.12006393790774,5.129190650101643,4.544922139996099,5.528012361449158,5.491714195712761,5.756297655764799
2023-10-27,5.7675845139133575,5.130103278962461,5.13924788667047,4.553833752035307,5.538851601373568,5.502482262763178,5.7675845139133575
2023-10-30,5.7801254674117555,5.141258102356595,5.150422593969165,4.563735543189982,5.5508952012895785,5.514446781708085,5.7801254674117555
2023-10-31,5.793920516259993,5.153528408090143,5.162714771997731,4.574627513460125,5.56414316119719,5.527607752547484,5.793920516259993
2023-11-01,5.772600895312715,5.134565208320113,5.143717769589947,4.557794468497176,5.543669041339971,5.50726807034114,5.772600895312715
2023-11-02,5.785141848811114,5.145720031714249,5.1548924768886435,4.567696259651852,5.555712641255983,5.519232589286048,5.785141848811114
2023-11-03,5.781379562761594,5.142373584696008,5.151540064699034,4.5647257223054485,5.55209956128118,5.515643233602575,5.781379562761594
2023-11-06,5.7577283779037085,5.121336524779835,5.130465505409106,4.546051775938187,5.529386343501975,5.49307915589207,5.7577283779037085
2023-11-07,5.739653102420427,5.105259078528074,5.114359400486959,4.5317803249738295,5.512027903705501,5.475834695494241,5.739653102420427
2023-11-08,5.721563585091722,5.089168964557664,5.098240605265463,4.517497629268068,5.494655786871761,5.458576647865631,5.721563585091722
2023-11-09,5.691390540476868,5.0623308948698185,5.071354695679356,4.493674306239628,5.4656793555632746,5.429790482286906,5.691390540476868
2023-11-10,5.724624937793522,5.091891951190227,5.10096844572712,4.519914740144677,5.4975957313621855,5.461497288022889,5.724624937793522
2023-11-13,5.708534643721551,5.077580089755173,5.086631072844971,4.507210544124947,5.482143551880096,5.446146571007804,5.708534643721551
2023-11-14,5.728661694029956,5.095482531675861,5.1045654265614795,4.52310198720692,5.501472396487871,5.46534849809818,5.728661694029956
2023-11-15,5.747765611921412,5.112474926252753,5.1215881107395695,4.538185609454737,5.5198186844270145,5.483574320206801,5.747765611921412
2023-11-16,5.72968218941504,5.096390233454406,5.105474746353585,4.523907725955469,5.502452420704981,5.466322087257057,5.72968218941504
2023-11-17,5.742752751987953,5.108016129139408,5.117121365647745,4.534227673389103,5.515004626270967,5.4787918722334705,5.742752751987953
2023-11-20,5.692509945758837,5.0633265742038045,5.0723521498503015,4.49455813993863,5.466754367073496,5.430858435031078,5.692509945758837
2023-11-21,5.686467476112742,5.05795196837537,5.066967963578899,4.489787268848027,5.46095153183202,5.425093702503844,5.686467476112742
2023-11-22,5.669342596202393,5.04271987210214,5.051708715504348,4.476266208870982,5.444505796483721,5.408755953532618,5.669342596202393
2023-11-23,5.665310167594292,5.0391331409194935,5.048115590834508,4.47308237871575,5.44063328735975,5.404908872169804,5.665310167594292
2023-11-24,5.631332758910583,5.0089111970054585,5.017839775135396,4.446255295367892,5.408003366802141,5.372493206969622,5.631332758910583
2023-11-27,5.5934809139744015,4.975243051640021,4.984111614997373,4.4424550771667235,5.371652663759307,5.336381190774322,5.5934809139744015
2023-11-28,5.612813221280764,4.99243859214108,5.001337807215106,4.457655949971399,5.390218283564926,5.35482490456732,5.612813221280764
2023-11-29,5.619257323716219,4.998170438974767,5.007079871287684,4.450055513569061,5.396406823500133,5.360972809164987,5.619257323716219
2023-11-30,5.612813221280765,4.99243859214108,5.001337807215107,4.440507286658639,5.390218283564926,5.35482490456732,5.612813221280765
2023-12-01,5.5805927091034935,4.963779357972647,4.972627486852218,4.415016429674376,5.359275583888893,5.324085381578989,5.5805927091034935
2023-12-04,5.5870368115389475,4.9695112048063335,4.978369550924795,4.420114601071228,5.3654641238241,5.330233286176655,5.5870368115389475
2023-12-05,5.522595787184404,4.912192736469467,4.920948910199019,4.369132887102702,5.303578724472034,5.268754240199992,5.522595787184404
2023-12-06,5.599925016409856,4.980974898473707,4.989853679069951,4.430310943864933,5.377841203694513,5.342529095371987,5.599925016409856
2023-12-07,5.548372196926221,4.935120123804213,4.943917166489329,4.389525572690112,5.32833288421286,5.293345858590656,5.548372196926221
2023-12-08,5.550150677766377,4.936702032204106,4.94550189470219,4.390932595660332,5.330040833428992,5.29504259303018,5.550150677766377
2023-12-11,5.5895675430661065,4.971762218913597,4.980624577551853,4.422116757805095,5.36789449070265,5.332647694722626,5.5895675430661065
2023-12-12,5.646668687092888,5.022552071320206,5.031504964836719,4.467291616851912,5.422731097304607,5.387124231899134,5.646668687092888
2023-12-13,5.710114402678202,5.078985240660883,5.08803872848657,4.517485904681709,5.48366066019567,5.44765371765081,5.710114402678202
2023-12-14,5.774508228959402,5.136261727646589,5.150225868501407,4.572699621294486,5.545500733272327,5.509087734974527,5.774508228959402
2023-12-15,5.699648797363341,5.06967638077117,5.08803872848657,4.517485904681709,5.473610103568763,5.437669155226942,5.699648797363341
2023-12-18,5.73764645601243,5.103474223309645,5.12195898667648,4.547602477379587,5.510100837592555,5.473920282928455,5.73764645601243
2023-12-19,5.745510943688843,5.110469462637096,5.150225868501405,4.572699621294485,5.517653432626992,5.481423285934443,5.745510943688843
2023-12-20,5.75924340859421,5.122684101723756,5.167185997596361,4.587757907643425,5.53084129056794,5.4945245494501345,5.75924340859421
2023-12-21,5.755059926205802,5.118963012476346,5.163432582419237,4.584425385809001,5.526823718208064,5.490533357369071,5.755059926205802
2023-12-22,5.777055377823874,5.138527344511001,5.183166874156605,4.601946751018608,5.5479468664036045,5.511517806248484,5.777055377823874
2023-12-25,5.784047275406717,5.144746439632951,5.189439995940758,4.607516429385953,5.55466147683193,5.518188327042734,5.784047275406717
2023-12-26,5.817027811049549,5.174081693175413,5.219030091353736,4.633788406876595,5.586334058693328,5.549652939646733,5.817027811049549
2023-12-27,5.824799295112483,5.1809942084194445,5.22600265715476,4.63997909633602,5.593797338484581,5.557067213873402,5.824799295112483
2023-12-28,5.800538815695422,5.159415198227841,5.20423618530331,4.620653431766477,5.570498989765959,5.533921847324115,5.800538815695422
2023-12-29,5.7813956440807885,5.142387888574543,5.187060955624858,4.605404165374757,5.552115004841715,5.515658575757231,5.7813956440807885
2024-01-02,5.799307024733707,5.158319555010747,5.203131023989961,4.619672198933577,5.569316049607146,5.532746674615,5.799307024733707
2024-01-03,5.796324097845718,5.155666325921158,5.2004547457092976,4.617296028064001,5.566451420691789,5.529900855493895,5.796324097845718
2024-01-04,5.784390855010779,5.145052043972017,5.189748255132671,4.607790121594044,5.554991430634177,5.518516114294508,5.784390855010779
2024-01-05,5.797325205664855,5.156556783008204,5.201352938395061,4.618093500924204,5.56741282622192,5.530855948220258,5.797325205664855
2024-01-08,5.783403670008028,5.144173970836316,5.188862553980391,4.607003739515467,5.554043395764441,5.517574304433794,5.783403670008028
2024-01-09,5.782408675828242,5.143288951658537,5.187969846444222,4.606211136721572,5.553087861416782,5.516625044338408,5.782408675828242
2024-01-10,5.770862900437098,5.133019311040462,5.1776109911745385,4.597013883090731,5.541999972481637,5.505609960962281,5.770862900437098
2024-01-11,5.978099454184601,5.317350363552355,5.245887180069148,4.657633846384234,5.741017865469332,5.703321057945945,5.978099454184601
2024-01-12,5.987360646212773,5.325587931892482,5.223128450437611,4.6374271919530665,5.749911773858905,5.712156566943537,5.987360646212773
2024-01-15,6.075341970480401,5.403844831123694,5.257266544884915,4.667737173599819,5.834403903559848,5.796093902420665,6.075341970480401
2024-01-16,6.067466496521795,5.3968398198089975,5.2504515431996,4.661686379630537,5.826840757941094,5.788580418107857,6.067466496521795
2024-01-17,5.975826337836681,5.31532849085993,5.1711511938918395,4.591278462287364,5.7388348971758605,5.7011524235105995,5.975826337836681
2024-01-18,5.966318260926837,5.306871325401123,5.1629234274735545,4.583973325513637,5.729703894952828,5.692081377490694,5.966318260926837
2024-01-19,6.032874799295742,5.366071483612769,5.220517792401547,4.635109282929726,5.793620910514055,5.755578699630033,6.032874799295742
2024-01-22,6.208774222127849,5.522529044600692,5.372731471139812,4.770254313243674,5.962544451640155,5.9233930509982855,6.208774222127849
