total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown,trade_count,trade_action_count,avg_exposure,latest_momentum,latest_exposure,max_drawdown_integral,max_drawdown_episode_integral,full_history_drawdown_integral,worst_drawdown_episode_integral,latest_holding_code,latest_holding_theme,latest_holding_name,latest_portfolio,strategy,risk_cap,vg_cap,overheat_cap,overheat_hi_cap,annualized_diff,sharpe_diff,max_drawdown_integral_diff,is_valid_change
25.921843563318635,0.26238138130853383,0.21090451981256783,1.2440766160047865,-0.18982759788871417,901,1602,0.8235016011644832,0.026011560693641522,0.8,189.87008199088228,30.22536807840936,189.87008199088228,30.22536807840936,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2,,,,,0.0,0.0,0.0,False
20.662204632578863,0.24311390665854127,0.21066358029908666,1.154038616040721,-0.21762816446315847,901,1631,0.8193694323144105,0.026011560693641522,0.8,213.90648477026812,39.16666113240443,213.90648477026812,39.16666113240443,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__dual_rc188_vg284_oc067_oh027__stressbond_511260_vr90_vb-1,0.188,0.284,0.067,0.027,-0.019267474649992566,-0.09003799996406547,24.03640277938584,False
20.662007523172782,0.24311310629060734,0.21066371800887485,1.1540340623835637,-0.2176325076720801,901,1631,0.8193740902474528,0.026011560693641522,0.8,213.90731721262836,39.16745444512793,213.90731721262836,39.16745444512793,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__dual_rc188_vg285_oc067_oh027__stressbond_511260_vr90_vb-1,0.188,0.285,0.067,0.027,-0.019268275017926495,-0.09004255362122282,24.037235221746073,False
20.661810385782694,0.24311230580227483,0.21066385620333639,1.1540295055057694,-0.21763685192206805,901,1631,0.8193787481804948,0.026011560693641522,0.8,213.9081498501116,39.16824795304811,213.9081498501116,39.16824795304811,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__dual_rc188_vg286_oc067_oh027__stressbond_511260_vr90_vb-1,0.188,0.286,0.067,0.027,-0.019269075506259004,-0.09004711049901704,24.03806785922933,False
20.66025149268774,0.24310597558385738,0.21066415968855168,1.1539977941348356,-0.2176281644631577,901,1631,0.8193778748180495,0.026011560693641522,0.8,213.91055451078967,39.16666113240424,213.91055451078967,39.16666113240424,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__dual_rc188_vg284_oc067_oh028__stressbond_511260_vr90_vb-1,0.188,0.284,0.067,0.028,-0.019275405724676453,-0.09007882186995086,24.040472519907382,False
20.660054401053795,0.24310517522103003,0.21066429739788292,1.1539932405436306,-0.2176325076720813,901,1631,0.8193825327510916,0.026011560693641522,0.8,213.9113869544172,39.167454445128094,213.9113869544172,39.167454445128094,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__dual_rc188_vg285_oc067_oh028__stressbond_511260_vr90_vb-1,0.188,0.285,0.067,0.028,-0.0192762060875038,-0.09008337546115586,24.041304963534913,False
20.659857281438263,0.24310437473780433,0.21066443559188616,1.1539886837319,-0.2176368519220686,901,1631,0.819387190684134,0.026011560693641522,0.8,213.91221959316726,39.16824795304818,213.91221959316726,39.16824795304818,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__dual_rc188_vg286_oc067_oh028__stressbond_511260_vr90_vb-1,0.188,0.286,0.067,0.028,-0.019277006570729505,-0.09008793227288647,24.04213760228498,False
20.65984371430895,0.24310431964278756,0.21066394218417417,1.1539911250224881,-0.2176281644631579,901,1631,0.8193802037845705,0.026011560693641522,0.8,213.90648191315833,39.16666113240427,213.90648191315833,39.16666113240427,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__dual_rc188_vg284_oc068_oh027__stressbond_511260_vr90_vb-1,0.188,0.284,0.068,0.027,-0.019277061665746276,-0.09008549098229834,24.036399922276047,False
20.659815607858622,0.24310420550466016,0.21066495710971933,1.1539850236128533,-0.21765398105262446,901,1631,0.8193694323144105,0.026011560693641522,0.8,213.91159398031562,39.17136170366139,213.91159398031562,39.17136170366139,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__dual_rc189_vg284_oc067_oh027__stressbond_511260_vr90_vb-1,0.189,0.284,0.067,0.027,-0.01927717580387367,-0.0900915923919332,24.04151198943333,False
20.65964662638529,0.2431035192810258,0.21066407989363037,1.153986571435315,-0.21763250767208153,901,1631,0.8193848617176128,0.026011560693641522,0.8,213.90731435552777,39.16745444512814,213.90731435552777,39.16745444512814,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline_cf60top2__dual_rc188_vg285_oc068_oh027__stressbond_511260_vr90_vb-1,0.188,0.285,0.068,0.027,-0.01927786202750803,-0.09009004456947145,24.03723236464549,False
