date,base_pool,hs300_benchmark
2019-12-05,2.6140636452309853,1.0
2019-12-06,2.610960468459135,1.0060882800608826
2019-12-09,2.6254532238781625,1.002790461694571
2019-12-10,2.623644126049478,1.0035514967021815
2019-12-11,2.623644126049478,1.0050735667174024
2019-12-12,2.6290723552757873,1.0022387438369174
2019-12-13,2.641160979164636,1.0225979263422187
2019-12-16,2.6699586845449357,1.0256904603936567
2019-12-17,2.702870347836707,1.0416685529927536
2019-12-18,2.690528474102293,1.0378028854284562
2019-12-19,2.690528474102293,1.0359989072317837
2019-12-20,2.657616810810522,1.0349680625479711
2019-12-23,2.608249315872865,1.0215670816584057
2019-12-24,2.6675557217288453,1.0269790162484227
2019-12-25,2.6597250643536614,1.028782994445095
2019-12-26,2.6759429001119153,1.036256618402737
2019-12-27,2.6313438517767165,1.0352257737189245
2019-12-30,2.675942900111915,1.0501730216342091
2019-12-31,2.679997359051478,1.0555849562242257
2020-01-02,2.727886844083669,1.0692436482847443
2020-01-03,2.7194474538486357,1.0666665365752124
2020-01-06,2.747817248449143,1.0625431578399616
2020-01-07,2.780239870849723,1.0707899153104632
2020-01-08,2.739711592848998,1.0602237573013826
2020-01-09,2.8207681488504477,1.0715630488233225
2020-01-10,2.8167153210503755,1.0713053376523691
2020-01-13,2.860495263851655,1.0829023403452622
2020-01-14,2.845395427461889,1.078263539268105
2020-01-15,2.8363836833517726,1.0700167817976032
2020-01-16,2.8431794846753156,1.068470514771884
2020-01-17,2.8431794846753156,1.06975907062665
2020-01-20,2.923951629126319,1.0774904057552455
2020-01-21,2.8956813785684674,1.057904356762804
2020-01-22,2.96029909412927,1.0615123131561481
2020-01-23,2.8714497352331665,1.0298138391289071
2020-02-03,2.6348370268605645,0.9429651745176855
2020-02-04,2.6157136192502493,0.9715711144934885
2020-02-05,2.6975709444614946,0.981106427818756
2020-02-06,2.786869844691944,1.0043004332045422
2020-02-07,2.7831490571823423,1.0019810326659637
2020-02-10,2.821253642068177,1.005331277888355
2020-02-11,2.8875492589869673,1.0161551470683885
2020-02-12,2.9834174282760433,1.0233710598550776
2020-02-13,2.952739614103539,1.0179591252650606
2020-02-14,2.9489048873319756,1.0249173268807965
2020-02-17,3.070786807663106,1.0473381987537234
2020-02-18,3.081645759723896,1.0408954194798938
