date,hs300_benchmark,baseline_fixed_05_nav,weak_step_06_relaxed_nav,weak_step_06_strict_nav,weak_tiered_065_nav,weak_tiered_060_nav,asym_045_06_nav
2012-05-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-05-29,1.0153609831029187,1.0,1.0,1.0,1.0,1.0,1.0
2012-05-30,1.012288786482335,1.0,1.0,1.0,1.0,1.0,1.0
2012-05-31,1.009984639016897,1.0,1.0,1.0,1.0,1.0,1.0
2012-06-01,1.009984639016897,1.0,1.0,1.0,1.0,1.0,1.0
2012-06-04,0.9823348694316433,1.0,1.0,1.0,1.0,1.0,1.0
2012-06-05,0.9834869431643621,1.0,1.0,1.0,1.0,1.0,1.0
2012-06-06,0.9827188940092163,1.0,1.0,1.0,1.0,1.0,1.0
2012-06-07,0.9765745007680489,1.0,1.0,1.0,1.0,1.0,1.0
2012-06-08,0.973118279569892,1.0,1.0,1.0,1.0,1.0,1.0
2012-06-11,0.9846390168970811,1.0,1.0,1.0,1.0,1.0,1.0
2012-06-12,0.9784946236559137,1.0,1.0,1.0,1.0,1.0,1.0
2012-06-13,0.9927035330261134,1.0,1.0,1.0,1.0,1.0,1.0
2012-06-14,0.9884792626728107,1.0,1.0,1.0,1.0,1.0,1.0
2012-06-15,0.9923195084485404,1.0,1.0,1.0,1.0,1.0,1.0
2012-06-18,0.9953917050691242,1.0,1.0,1.0,1.0,1.0,1.0
2012-06-19,0.9880952380952378,1.0,1.0,1.0,1.0,1.0,1.0
2012-06-20,0.9869431643625188,1.0,1.0,1.0,1.0,1.0,1.0
2012-06-21,0.9715821812596002,1.0,1.0,1.0,1.0,1.0,1.0
2012-06-25,0.952380952380952,1.0,1.0,1.0,1.0,1.0,1.0
2012-06-26,0.952380952380952,1.0,1.0,1.0,1.0,1.0,1.0
2012-06-27,0.9489247311827954,1.0,1.0,1.0,1.0,1.0,1.0
2012-06-28,0.9435483870967738,1.0,1.0,1.0,1.0,1.0,1.0
2012-06-29,0.9543010752688166,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-02,0.9543010752688166,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-03,0.9558371735791084,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-04,0.9558371735791084,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-05,0.9450844854070652,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-06,0.9604454685099839,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-09,0.9412442396313357,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-10,0.937403993855606,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-11,0.9416282642089089,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-12,0.9500768049155144,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-13,0.9516129032258063,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-16,0.9362519201228873,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-17,0.938172043010752,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-18,0.938172043010752,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-19,0.9412442396313355,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-20,0.934331797235022,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-23,0.9228110599078332,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-24,0.9247311827956979,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-25,0.9189708141321034,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-26,0.9147465437788008,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-27,0.9158986175115197,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-30,0.9128264208909359,1.0,1.0,1.0,1.0,1.0,1.0
2012-07-31,0.9105222734254982,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-01,0.9174347158218115,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-02,0.9105222734254982,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-03,0.9158986175115196,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-06,0.9278033794162818,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-07,0.9289554531490006,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-08,0.9297235023041465,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-09,0.9389400921658977,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-10,0.936251920122887,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-13,0.9185867895545305,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-14,0.9170506912442387,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-15,0.9086021505376335,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-16,0.9059139784946227,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-17,0.9020737327188931,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-20,0.8970814132104444,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-21,0.9005376344086012,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-22,0.8940092165898608,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-23,0.8982334869431634,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-24,0.8894009216589852,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-27,0.8709677419354829,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-28,0.8709677419354829,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-29,0.8652073732718885,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-30,0.8613671274961587,1.0,1.0,1.0,1.0,1.0,1.0
2012-08-31,0.8613671274961587,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-03,0.8667434715821803,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-04,0.857526881720429,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-05,0.8571428571428563,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-06,0.8655913978494612,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-07,0.9051459293394766,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-10,0.9082181259600604,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-11,0.9013056835637469,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-12,0.9059139784946224,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-13,0.8970814132104441,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-14,0.9032258064516115,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-17,0.8821044546850986,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-18,0.8713517665130556,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-19,0.8748079877112122,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-20,0.8559907834101369,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-21,0.855606758832564,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-24,0.8632872503840232,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-25,0.8621351766513042,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-26,0.8529185867895531,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-27,0.8774961597542228,1.0,1.0,1.0,1.0,1.0,1.0
2012-09-28,0.8978494623655899,1.0,1.0,1.0,1.0,1.0,1.0
2012-10-08,0.8844086021505362,1.0,1.0,1.0,1.0,1.0,1.0
2012-10-09,0.9047619047619032,1.0,1.0,1.0,1.0,1.0,1.0
2012-10-10,0.9047619047619032,1.0,1.0,1.0,1.0,1.0,1.0
2012-10-11,0.8986175115207359,1.0,1.0,1.0,1.0,1.0,1.0
2012-10-12,0.89784946236559,1.0,1.0,1.0,1.0,1.0,1.0
2012-10-15,0.8947772657450062,1.0,1.0,1.0,1.0,1.0,1.0
2012-10-16,0.8951612903225793,1.0,1.0,1.0,1.0,1.0,1.0
2012-10-17,0.898617511520736,1.0,1.0,1.0,1.0,1.0,1.0
2012-10-18,0.9097542242703521,0.9995,0.9995,0.9995,1.0,1.0,0.9995
2012-10-19,0.9097542242703521,0.99900025,0.9990002500000001,0.9990002500000001,1.0,1.0,0.9990002500000001
2012-10-22,0.9132104454685087,0.99900025,0.9990002500000001,0.9990002500000001,1.0,1.0,0.9990002500000001
2012-10-23,0.9028417818740386,0.99900025,0.9990002500000001,0.9990002500000001,1.0,1.0,0.9990002500000001
2012-10-24,0.9013056835637467,0.99900025,0.9990002500000001,0.9990002500000001,1.0,1.0,0.9990002500000001
2012-10-25,0.8940092165898603,0.99900025,0.9990002500000001,0.9990002500000001,1.0,1.0,0.9990002500000001
2012-10-26,0.874039938556066,0.99900025,0.9990002500000001,0.9990002500000001,1.0,1.0,0.9990002500000001
2012-10-29,0.8698156682027637,0.99900025,0.9990002500000001,0.9990002500000001,1.0,1.0,0.9990002500000001
2012-10-30,0.8717357910906285,0.99900025,0.9990002500000001,0.9990002500000001,1.0,1.0,0.9990002500000001
2012-10-31,0.877880184331796,0.99900025,0.9990002500000001,0.9990002500000001,1.0,1.0,0.9990002500000001
2012-11-01,0.8963133640552984,0.99900025,0.9990002500000001,0.9990002500000001,1.0,1.0,0.9990002500000001
2012-11-02,0.8982334869431632,0.99900025,0.9990002500000001,0.9990002500000001,1.0,1.0,0.9990002500000001
2012-11-05,0.8959293394777255,0.99900025,0.9990002500000001,0.9990002500000001,1.0,1.0,0.9990002500000001
2012-11-06,0.8924731182795687,0.99900025,0.9990002500000001,0.9990002500000001,1.0,1.0,0.9990002500000001
2012-11-07,0.8917050691244228,0.99900025,0.9990002500000001,0.9990002500000001,1.0,1.0,0.9990002500000001
2012-11-08,0.8755760368663582,0.99900025,0.9990002500000001,0.9990002500000001,1.0,1.0,0.9990002500000001
2012-11-09,0.8732718894009205,0.99900025,0.9990002500000001,0.9990002500000001,1.0,1.0,0.9990002500000001
2012-11-12,0.8763440860215043,0.99900025,0.9990002500000001,0.9990002500000001,1.0,1.0,0.9990002500000001
2012-11-13,0.8629032258064506,0.99900025,0.9990002500000001,0.9990002500000001,1.0,1.0,0.9990002500000001
2012-11-14,0.8652073732718882,0.99900025,0.9990002500000001,0.9990002500000001,1.0,1.0,0.9990002500000001
2012-11-15,0.8548387096774182,0.99900025,0.9990002500000001,0.9990002500000001,1.0,1.0,0.9990002500000001
2012-11-16,0.8467741935483859,0.99900025,0.9990002500000001,0.9990002500000001,1.0,1.0,0.9990002500000001
2012-11-19,0.8467741935483859,0.99900025,0.9990002500000001,0.9990002500000001,1.0,1.0,0.9990002500000001
2012-11-20,0.8444700460829482,0.99900025,0.9990002500000001,0.9990002500000001,1.0,1.0,0.9990002500000001
2012-11-21,0.8548387096774182,0.99900025,0.9990002500000001,0.9990002500000001,1.0,1.0,0.9990002500000001
2012-11-22,0.8498463901689699,0.99900025,0.9990002500000001,0.9990002500000001,1.0,1.0,0.9990002500000001
2012-11-23,0.8544546850998456,0.99900025,0.9990002500000001,0.9990002500000001,1.0,1.0,0.9990002500000001
2012-11-26,0.8490783410138241,0.99900025,0.9990002500000001,0.9990002500000001,1.0,1.0,0.9990002500000001
2012-11-27,0.8398617511520728,0.99900025,0.9990002500000001,0.9990002500000001,1.0,1.0,0.9990002500000001
2012-11-28,0.8306451612903217,0.99900025,0.9990002500000001,0.9990002500000001,1.0,1.0,0.9990002500000001
2012-11-29,0.827572964669738,0.99900025,0.9990002500000001,0.9990002500000001,1.0,1.0,0.9990002500000001
2012-11-30,0.8314132104454677,0.99900025,0.9990002500000001,0.9990002500000001,1.0,1.0,0.9990002500000001
2012-12-03,0.8237327188940085,0.99900025,0.9990002500000001,0.9990002500000001,1.0,1.0,0.9990002500000001
2012-12-04,0.8302611367127488,0.99900025,0.9990002500000001,0.9990002500000001,1.0,1.0,0.9990002500000001
2012-12-05,0.8594470046082944,0.99900025,0.9990002500000001,0.9990002500000001,1.0,1.0,0.9990002500000001
2012-12-06,0.8582949308755755,0.99900025,0.9990002500000001,0.9990002500000001,1.0,1.0,0.9990002500000001
2012-12-07,0.8755760368663588,0.99900025,0.9990002500000001,0.9990002500000001,1.0,1.0,0.9990002500000001
2012-12-10,0.8836405529953911,0.99900025,0.9990002500000001,0.9990002500000001,1.0,1.0,0.9990002500000001
2012-12-11,0.8809523809523804,0.99900025,0.9990002500000001,0.9990002500000001,1.0,1.0,0.9990002500000001
2012-12-12,0.8828725038402454,0.99900025,0.9990002500000001,0.9990002500000001,1.0,1.0,0.9990002500000001
2012-12-13,0.8759600614439321,0.99900025,0.9990002500000001,0.9990002500000001,1.0,1.0,0.9990002500000001
2012-12-14,0.9201228878648231,0.998500749875,0.9985007498750001,0.9985007498750001,1.0,1.0,0.9985007498750001
2012-12-17,0.922811059907834,1.0014179056551025,1.0014179056551025,1.0014179056551025,1.0,1.0,1.0014179056551025
