total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown,trade_count,trade_action_count,avg_exposure,latest_momentum,latest_exposure,max_drawdown_integral,max_drawdown_episode_integral,full_history_drawdown_integral,worst_drawdown_episode_integral,latest_holding_code,latest_holding_theme,latest_holding_name,latest_portfolio,strategy,trigger_days,avg_moved_weight,max_moved_weight,avg_weighted_vol20,scope,cap,vol20_cut,breadth_cut,annualized_return_diff,sharpe_rf0_diff,max_drawdown_diff,max_drawdown_integral_diff,is_integral_valid_change,is_strict_drawdown_safe
25.92184356331864,0.26238138130853383,0.2067710912485516,1.2689461555006993,-0.18982759788871417,945,1627,0.8146852983988355,0.07132169576059866,0.8,189.8711295861442,30.22536807840936,189.8711295861442,30.22536807840936,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,baseline,0,0.0,0.0,0.0,baseline,,,,0.0,0.0,0.0,0.0,False,False
15.22776934201762,0.21796508438485263,0.2058119052554837,1.0590499325793745,-0.20760615320542908,947,1632,0.814452401746725,0.07132169576059866,0.8,223.5949861347226,9.159891653960033,223.5949861347226,9.159891653960033,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,soymeal_only_cap80_vol024_br010,7,0.19999999999999996,0.19999999999999996,0.025800519935790765,soymeal_only,0.8,0.024,-0.01,-0.04441629692368121,-0.20989622292132482,-0.017778555316714906,33.7238565485784,False,False
15.22776934201762,0.21796508438485263,0.2058119052554837,1.0590499325793745,-0.20760615320542908,947,1632,0.814452401746725,0.07132169576059866,0.8,223.5949861347226,9.159891653960033,223.5949861347226,9.159891653960033,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,soymeal_only_cap80_vol024_br015,7,0.19999999999999996,0.19999999999999996,0.025800519935790765,soymeal_only,0.8,0.024,-0.015,-0.04441629692368121,-0.20989622292132482,-0.017778555316714906,33.7238565485784,False,False
15.22776934201762,0.21796508438485263,0.2058119052554837,1.0590499325793745,-0.20760615320542908,947,1632,0.814452401746725,0.07132169576059866,0.8,223.5949861347226,9.159891653960033,223.5949861347226,9.159891653960033,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,soymeal_only_cap80_vol024_br020,7,0.19999999999999996,0.19999999999999996,0.025800519935790765,soymeal_only,0.8,0.024,-0.02,-0.04441629692368121,-0.20989622292132482,-0.017778555316714906,33.7238565485784,False,False
15.196429378745112,0.21779849906660287,0.20583572150347282,1.0581180830798032,-0.2172581671252053,945,1628,0.814452401746725,0.07132169576059866,0.8,224.4581317999426,10.043802290381684,224.4581317999426,10.043802290381684,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,gold_only_cap80_vol018_br010,2,0.19999999999999996,0.19999999999999996,0.037611122572646996,gold_only,0.8,0.018,-0.01,-0.044582882241930966,-0.21082807242089618,-0.02743056923649112,34.5870022137984,False,False
15.196429378745112,0.21779849906660287,0.20583572150347282,1.0581180830798032,-0.2172581671252053,945,1628,0.814452401746725,0.07132169576059866,0.8,224.4581317999426,10.043802290381684,224.4581317999426,10.043802290381684,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,gold_only_cap80_vol018_br015,2,0.19999999999999996,0.19999999999999996,0.037611122572646996,gold_only,0.8,0.018,-0.015,-0.044582882241930966,-0.21082807242089618,-0.02743056923649112,34.5870022137984,False,False
15.196429378745112,0.21779849906660287,0.20583572150347282,1.0581180830798032,-0.2172581671252053,945,1628,0.814452401746725,0.07132169576059866,0.8,224.4581317999426,10.043802290381684,224.4581317999426,10.043802290381684,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,gold_only_cap80_vol018_br020,2,0.19999999999999996,0.19999999999999996,0.037611122572646996,gold_only,0.8,0.018,-0.02,-0.044582882241930966,-0.21082807242089618,-0.02743056923649112,34.5870022137984,False,False
15.196429378745112,0.21779849906660287,0.20583572150347282,1.0581180830798032,-0.2172581671252053,945,1628,0.814452401746725,0.07132169576059866,0.8,224.4581317999426,10.043802290381684,224.4581317999426,10.043802290381684,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,gold_only_cap80_vol020_br010,2,0.19999999999999996,0.19999999999999996,0.037611122572646996,gold_only,0.8,0.02,-0.01,-0.044582882241930966,-0.21082807242089618,-0.02743056923649112,34.5870022137984,False,False
15.196429378745112,0.21779849906660287,0.20583572150347282,1.0581180830798032,-0.2172581671252053,945,1628,0.814452401746725,0.07132169576059866,0.8,224.4581317999426,10.043802290381684,224.4581317999426,10.043802290381684,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,gold_only_cap80_vol020_br015,2,0.19999999999999996,0.19999999999999996,0.037611122572646996,gold_only,0.8,0.02,-0.015,-0.044582882241930966,-0.21082807242089618,-0.02743056923649112,34.5870022137984,False,False
15.196429378745112,0.21779849906660287,0.20583572150347282,1.0581180830798032,-0.2172581671252053,945,1628,0.814452401746725,0.07132169576059866,0.8,224.4581317999426,10.043802290381684,224.4581317999426,10.043802290381684,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,gold_only_cap80_vol020_br020,2,0.19999999999999996,0.19999999999999996,0.037611122572646996,gold_only,0.8,0.02,-0.02,-0.044582882241930966,-0.21082807242089618,-0.02743056923649112,34.5870022137984,False,False
