date,nav,drawdown,entry_risk_level
2013-03-04,1.0746885472876495,-0.0708804658328831,低
2013-03-11,1.080140970463673,-0.06616658580301338,低
2013-03-12,1.0759698810570506,-0.069772691642916,低
2013-03-20,1.0724903157872188,-0.07278094186645256,低
2013-03-21,1.0732696340097632,-0.07210718407334504,低
2013-03-22,1.074047425270606,-0.07143474641149639,低
2013-03-25,1.0736038416303413,-0.07181824563668793,低
2013-03-26,1.0688299846401734,-0.07594547281713904,低
2013-03-27,1.0695042465463716,-0.07536254122288832,低
2013-03-28,1.0605293857361922,-0.08312173668115785,低
2013-09-17,1.0783718928766102,-0.06769603779889233,低
2013-09-18,1.0717586501452856,-0.0734135017296006,低
2013-09-25,1.066305190268234,-0.07812827803698141,低
2013-09-26,1.067278614557562,-0.07728670628623557,低
2013-09-27,1.0640346066105786,-0.08009130596317693,低
2013-09-30,1.0728001090906656,-0.07251311077202705,低
2013-10-09,1.0660019198030206,-0.07839046982647868,低
2013-10-10,1.0594795371197134,-0.08402938090975831,低
2013-10-16,1.0299690413032412,-0.10954261280865796,低
2013-10-17,1.0241504637454668,-0.11457305077474489,低
2013-10-18,1.0481053066746375,-0.09386294591732303,低
2013-10-22,1.0355894889061528,-0.10468346764347725,低
2013-10-29,1.0439077841118691,-0.09749190448212619,低
2013-10-31,1.0397027454523209,-0.10112736107126985,低
2013-11-01,1.0353258873581854,-0.10491136376098142,低
2013-11-20,1.0272386141838314,-0.1119031973516551,低
2013-11-21,1.0124935623055946,-0.12465099834660742,低
2013-11-28,1.010040718931854,-0.1267715984949448,低
2013-11-29,1.0110342016062133,-0.1259126853131366,低
2013-12-02,1.013351758515339,-0.12390904676944192,低
2013-12-03,1.0004470340803682,-0.13506579686772502,低
2013-12-04,0.9994511515080776,-0.13592678487582,低
2013-12-05,1.0064240665185988,-0.1298983670958841,低
2013-12-06,1.0027779027535253,-0.13305064966877678,低
2013-12-09,1.0051002998814904,-0.13104282652491617,低
2013-12-10,1.011731889488956,-0.12530950084425574,低
2013-12-11,1.0173595188129028,-0.12044414673852233,低
2013-12-12,1.013392560494217,-0.12387377151159729,低
2013-12-13,1.000156412765313,-0.13531705286328255,低
2013-12-16,1.0004884148940318,-0.13503002117958562,低
2013-12-17,1.0094517287728004,-0.12728080859455004,低
2013-12-18,1.0031581823095737,-0.13272187984531425,低
2013-12-19,0.99685474933268,-0.13817149845893617,低
2014-01-09,0.9767025956935992,-0.1555939969575596,低
2014-01-13,0.9821986157960988,-0.1508424253042695,低
2014-01-14,0.985007190269372,-0.14841427864460033,低
2014-01-20,0.9756051295280698,-0.15654280882966376,低
2014-01-21,0.9724311396800728,-0.15928687451870926,低
2014-01-23,0.9639282621005174,-0.16663801795066946,低
2014-01-24,0.9774375617342428,-0.1549585837422287,低
2014-01-27,0.983794879208937,-0.14946237940884477,低
2014-01-28,0.978629558760748,-0.15392804542971916,低
2014-01-29,0.9754509000234008,-0.15667614759641113,低
2014-01-30,0.977834894076411,-0.15461507097139227,低
