date,nav,drawdown,entry_risk_level
2013-03-04,1.0746885472876495,-0.0708804658328831,低
2013-03-11,1.080140970463673,-0.06616658580301338,低
2013-03-20,1.0724903157872188,-0.07278094186645256,低
2013-09-17,1.0783718928766102,-0.06769603779889233,低
2013-09-25,1.066305190268234,-0.07812827803698141,低
2013-10-09,1.0660019198030206,-0.07839046982647868,低
2013-10-16,1.0299690413032412,-0.10954261280865796,低
2013-10-29,1.0439077841118691,-0.09749190448212619,低
2013-11-20,1.0272386141838314,-0.1119031973516551,低
2013-11-28,1.010040718931854,-0.1267715984949448,低
2014-01-09,0.9767025956935992,-0.1555939969575596,低
2014-01-20,0.9756051295280698,-0.15654280882966376,低
2014-02-07,0.9853842085776106,-0.1480883283254989,低
2014-03-24,1.0479028831033497,-0.09403795075452359,低
2014-04-30,1.0451002304384216,-0.09646097772828477,低
2014-05-05,1.0499016097513083,-0.09230995618645488,低
2014-05-23,1.0362539937395154,-0.10410897150430842,低
2014-06-05,1.0177805060942848,-0.12008018314390212,低
2014-06-10,1.023449099160804,-0.11517941392789077,低
2014-07-14,1.0347629743094662,-0.10539802895428108,低
2014-08-28,1.0561343362325486,-0.08692146671249845,低
2014-09-09,1.057694411879654,-0.08557270686746021,低
2014-10-13,1.0287568811657952,-0.11059058309277625,低
2015-02-17,1.230259698208546,-0.07926956673558427,低
2015-02-26,1.223200659965907,-0.0845525743388077,低
2015-03-03,1.221884990598435,-0.08553722565146082,低
2015-03-09,1.218916145930581,-0.08775911883491494,低
2015-06-19,1.5067573689659104,-0.12218820111807005,低
2015-08-07,1.4407394149007846,-0.16064916385169503,低
2015-08-17,1.472871816280927,-0.1419293608901493,低
2015-09-07,1.4692812515468612,-0.1440211642243353,低
2015-09-30,1.468409332597151,-0.1445291297120035,低
2015-10-13,1.5521521309695083,-0.09574196729507367,低
2015-10-21,1.541684616146887,-0.1018401674469499,低
2015-11-02,1.5136734370970977,-0.11815901477893576,低
2015-11-24,1.570837325040655,-0.0848562838015805,低
2015-12-16,1.4852441916121235,-0.13472142066724946,低
2016-01-12,1.5406395833362485,-0.10244898619261611,低
2016-05-27,1.6420311831703145,-0.07112410842984718,低
2016-10-10,1.705350005807931,-0.062322276859227976,低
2016-11-14,1.6874461776832597,-0.07216660250162998,低
2016-11-28,1.711223674347698,-0.059092671133661345,低
2016-12-05,1.655859672156187,-0.08953427628339261,低
2016-12-13,1.6328511272148838,-0.10218540359442341,低
2018-02-26,1.8930560934801433,-0.0781058604713517,低
2018-03-23,1.66364199187813,-0.18982759788871384,低
2018-04-03,1.7660727847861564,-0.13994510998230214,低
2018-04-09,1.7221764796289951,-0.16132204995292565,低
2018-05-03,1.6999530344418312,-0.17214458392259724,低
2018-06-19,1.7834527201035717,-0.13148130345818754,低
2018-06-26,1.7576737526089727,-0.14403533138066738,低
2018-07-23,1.8634056836364776,-0.09254523137200299,低
2018-07-30,1.8218016480650272,-0.11280586533111181,低
2018-08-13,1.892219881938104,-0.07851308481228236,低
2018-09-05,1.8743754147701408,-0.08720311241464151,低
2018-09-11,1.8742532228833573,-0.08726261830287774,低
2018-09-25,1.86785838735131,-0.09037682153253812,低
2018-10-08,1.8716529121546777,-0.08852893641673576,低
2018-11-23,1.7471942111172312,-0.1491387342430851,低
2018-12-06,1.732538252713575,-0.15627599880066478,低
2019-01-02,1.7966119290038751,-0.12507293679234777,低
2020-03-12,2.9460379273620263,-0.10080512217370063,低
2020-04-01,2.887925481714491,-0.11854230504527796,低
2020-05-22,2.9188190538066214,-0.10911291463417916,低
2020-05-29,2.971892342709703,-0.09291379204726147,低
2020-06-15,2.8975417778690895,-0.11560720221935539,低
2021-08-04,4.5709171568860905,-0.10301426701910565,低
2021-10-14,4.605908293189325,-0.09614769101969001,低
2021-10-20,4.692433172624324,-0.07916825784747328,低
2022-04-12,5.376301666995531,-0.094250369910156,低
2022-04-18,5.249413470320984,-0.11562732089232897,低
2022-04-25,5.068105044285446,-0.14617248929721738,低
2022-05-05,5.244387321594465,-0.11647407999027315,低
2022-05-19,5.262135375004298,-0.11348405193633138,低
2022-05-24,5.24168678849554,-0.11692904085499045,低
2023-10-10,7.776029028563095,-0.06905984194187176,低
2023-10-23,7.622086263786166,-0.08748975022113936,低
2023-11-01,7.673767076160917,-0.08130256348816822,低
2023-11-20,7.519390287688502,-0.09978443274728721,低
2023-12-07,7.327292673571685,-0.1227822099664323,低
2023-12-18,7.577252092780514,-0.09285726236507486,低
2024-01-04,7.640629957291476,-0.08526971363184632,低
2024-04-23,7.225295798742701,-0.14074569420479766,低
2024-07-25,8.455583194412771,-0.06969161854243,低
2024-08-06,8.399484275186532,-0.07586378828482776,低
2024-11-22,9.285027047638192,-0.0689592530750609,低
2025-12-01,20.12978392035491,-0.08773624857212459,低
2026-02-02,20.52971658804636,-0.13534285120580747,低
2026-03-27,20.482333298023907,-0.1373385095616153,低
