date,entry_risk_score,entry_risk_level
2014-01-28,23.932674079171846,低
2014-01-29,22.704757967653606,低
2014-01-30,22.9148945220167,低
2014-02-07,25.95214302091151,低
2014-02-10,27.774289833163934,低
2014-02-11,34.109795360441275,低
2014-02-12,35.77874766075211,低
2014-02-13,30.24500793115905,低
2014-02-14,35.48502877879325,低
2014-02-17,45.1675760462466,中
2014-02-18,37.51539303737937,低
2014-02-19,44.181224892192574,中
2014-02-20,42.01959255389237,中
2014-02-21,43.117772582187186,中
2014-02-24,43.71352282990226,中
2014-02-25,45.70479525637497,中
2014-02-26,57.336463624118636,中
2014-02-27,45.97621577804307,中
2014-02-28,50.67801595988062,中
2014-03-03,54.15431040457608,中
2014-03-04,53.58132530704116,中
2014-03-05,51.8559348331347,中
2014-03-06,52.42637104319756,中
2014-03-07,53.746203911698686,中
2014-03-10,41.59195907470939,中
2014-03-11,51.26867473675999,中
2014-03-12,58.37434000254201,中
2014-03-13,63.3263263609539,中
2014-03-14,60.32892554257483,中
2014-03-17,64.19003705742729,中
2014-03-18,54.55207207850612,中
2014-03-19,52.21385572988564,中
2014-03-20,44.00550173705109,中
2014-03-21,41.415359494245926,中
2014-03-24,37.20629586246969,低
2014-03-25,33.63756189509988,低
2014-03-26,34.32344612331018,低
2014-03-27,28.72489320987362,低
2014-03-28,28.790910641510937,低
2014-03-31,,
2014-04-01,23.228737824529805,低
2014-04-02,22.830656192586936,低
2014-04-03,26.008571545012384,低
2014-04-04,23.96446021960946,低
2014-04-08,27.844408379928637,低
2014-04-09,28.8033691511426,低
2014-04-10,40.95129412348382,中
2014-04-11,30.6880778687388,低
2014-04-14,33.27364995271883,低
2014-04-15,44.56823346933905,中
2014-04-16,42.85635784909426,中
2014-04-17,41.1249671469142,中
2014-04-18,24.21586971931414,低
2014-04-21,22.872730177958996,低
2014-04-22,23.6847918856856,低
2014-04-23,23.956478003284275,低
2014-04-24,23.870878266845242,低
2014-04-25,26.422207173830177,低
2014-04-28,,
2014-04-29,,
2014-04-30,33.11027681053187,低
2014-05-05,34.759555866153526,低
2014-05-06,38.08604007528047,低
2014-05-07,37.30106459327737,低
2014-05-08,31.46802671050396,低
2014-05-09,33.19081231490203,低
2014-05-12,33.561748956565715,低
2014-05-13,32.91825604700949,低
2014-05-14,34.15983496594868,低
2014-05-15,32.77169198872311,低
2014-05-16,,
2014-05-19,,
2014-05-20,,
2014-05-21,,
2014-05-22,,
2014-05-23,31.132547209130916,低
2014-05-26,30.92200985122833,低
2014-05-27,30.556228379765354,低
2014-05-28,,
2014-05-29,,
2014-05-30,,
2014-06-03,,
2014-06-04,,
2014-06-05,21.131302026169827,低
2014-06-06,,
2014-06-09,,
2014-06-10,22.893609288003336,低
2014-06-11,23.715105118975558,低
2014-06-12,23.72999099393421,低
2014-06-13,26.431145116949846,低
2014-06-16,27.845417200593413,低
2014-06-17,25.172504446234573,低
2014-06-18,24.876016181568414,低
2014-06-19,,
2014-06-20,31.443407382981576,低
2014-06-23,34.43905687555992,低
2014-06-24,34.23444959914011,低
2014-06-25,33.23190929656191,低
2014-06-26,33.464032942304854,低
2014-06-27,33.68565251156517,低
2014-06-30,32.755675062151255,低
2014-07-01,34.55196846497049,低
2014-07-02,35.8434518071035,低
2014-07-03,37.32095577318834,低
2014-07-04,38.66247821389388,低
2014-07-07,35.561769565673615,低
2014-07-08,38.36954142905878,低
2014-07-09,39.14639453547866,低
2014-07-10,42.28050362116915,中
2014-07-11,44.72133538744344,中
2014-07-14,38.21688345965833,低
2014-07-15,35.4789096523918,低
2014-07-16,32.088075916026625,低
2014-07-17,33.860415151268505,低
2014-07-18,35.33284081115243,低
2014-07-21,34.57366118826126,低
2014-07-22,34.0584918882551,低
2014-07-23,33.74712975919556,低
2014-07-24,43.25798479706938,中
2014-07-25,48.83974063639285,中
2014-07-28,63.70050261431894,中
2014-07-29,62.98931260202409,中
2014-07-30,62.061945706960664,中
2014-07-31,67.64703353200449,中
2014-08-01,61.14813038986387,中
2014-08-04,70.23450718082562,高
2014-08-05,68.8536764304767,中
2014-08-06,64.56565741556395,中
2014-08-07,57.21248245616106,中
2014-08-08,57.44376884897358,中
2014-08-11,65.62699718525525,中
2014-08-12,62.8080135085364,中
2014-08-13,67.71679662408546,中
2014-08-14,61.79844260533221,中
2014-08-15,67.51639264309709,中
2014-08-18,65.8387314203968,中
2014-08-19,66.6287934551121,中
2014-08-20,64.63653116955169,中
2014-08-21,63.76070950589008,中
2014-08-22,65.0922163486507,中
2014-08-25,60.07145747504359,中
2014-08-26,52.50854596922767,中
2014-08-27,51.3841070788962,中
2014-08-28,32.956590665381164,低
2014-08-29,33.95985986276086,低
2014-09-01,32.677176988308794,低
2014-09-02,32.17127882873575,低
2014-09-03,32.43014815595065,低
2014-09-04,33.167716682775854,低
2014-09-05,48.37298707744095,中
2014-09-09,31.784358866557323,低
2014-09-10,30.787557171600987,低
