date,horizon,bucket,risk_leader,risk_leader_momentum,ret,mdd
2012-10-18,20,>5%,510300,0.051020408163265474,-0.000500000000000056,-0.000500000000000056
2012-10-19,20,0-5%,510300,0.005091217649554558,0.0,0.0
2012-10-22,20,0-5%,510300,0.0054968287526426796,0.0,0.0
2012-10-23,20,0-5%,510300,0.001704303365999138,0.0,0.0
2012-10-24,20,<=0%,510300,-0.005086901229334528,0.0,0.0
2012-10-25,20,<=0%,510300,-0.003424657534246589,0.0,0.0
2012-10-26,20,<=0%,510300,-0.03231292517006823,0.0,0.0
2012-10-29,20,<=0%,510300,-0.013931214627775357,0.0,0.0
2012-10-30,20,0-5%,510300,0.00044072278536799736,0.0,0.0
2012-10-31,20,0-5%,510300,0.003511852502195101,0.0,0.0
2012-11-01,20,0-5%,510300,0.04710632570659512,0.0,0.0
2012-11-02,20,0-5%,510300,0.049820466786355544,0.0,0.0
2012-11-05,20,0-5%,510300,0.03781138790035632,0.0,0.0
2012-11-06,20,0-5%,510300,0.035189309576837635,0.0,0.0
2012-11-07,20,0-5%,510300,0.045475011256191245,0.0,0.0
2012-11-08,20,<=0%,510300,-0.00218818380743957,0.0,0.0
2012-11-09,20,<=0%,510300,-0.027373823781009055,0.0,0.0
2012-11-12,20,<=0%,510300,-0.009118541033434235,0.0,0.0
2012-11-13,20,<=0%,510300,-0.04626485568760563,0.0,0.0
2012-11-14,20,<=0%,510300,-0.04371816638370074,0.0,0.0
2012-11-15,20,<=0%,510300,-0.048717948717948545,0.0,0.0
2012-11-16,20,<=0%,510300,-0.05688622754491002,-0.0004999999999999449,-0.0004999999999999449
2012-11-19,20,<=0%,510300,-0.05364806866952754,0.0024200751252088093,-0.0004999999999999449
2012-11-20,20,<=0%,510300,-0.05662805662805637,-0.013014607679465606,-0.015397419891801878
2012-11-21,20,<=0%,510300,-0.048717948717948545,-0.010511686143572896,-0.015397419891801878
2012-11-22,20,<=0%,510300,-0.06585056986070048,-0.003837228714524188,-0.015397419891801878
2012-11-23,20,<=0%,510300,-0.06078514140987734,-0.008008764607679408,-0.015397419891801878
2012-11-26,20,<=0%,510300,-0.07022708158116042,-0.00717445742904832,-0.015397419891801878
2012-11-27,20,<=0%,510300,-0.06975754997873218,0.020357679465776712,-0.015397419891801878
2012-11-28,20,<=0%,510300,-0.07839795483596057,0.023277754590985245,-0.015397419891801878
2012-11-29,20,<=0%,510300,-0.07431271477663204,0.02119198664440769,-0.015397419891801878
2012-11-30,20,<=0%,510300,-0.04876977152899764,0.036209515859766395,-0.015397419891801878
2012-12-03,20,<=0%,510300,-0.05298013245033084,0.05289565943238772,-0.015397419891801878
2012-12-04,20,<=0%,510300,-0.04757709251101294,0.05539136642379705,-0.015397419891801878
2012-12-05,20,<=0%,510300,-0.020997375328083656,0.05702163395298809,-0.015397419891801878
2012-12-06,20,<=0%,510300,-0.04241645244215908,0.052629845307100576,-0.015397419891801878
2012-12-07,20,<=0%,510300,-0.025224454895254267,0.05182341338128871,-0.015397419891801878
2012-12-10,20,<=0%,510300,-0.013716245177882391,0.05424009868529378,-0.015397419891801878
2012-12-11,20,<=0%,510300,-0.012908777969018681,0.03924955982191114,-0.016813349471963
2012-12-12,20,<=0%,510300,-0.009905254091300275,0.07590079866990407,-0.016813349471963
2012-12-13,20,0-5%,510300,0.00043859649122857114,0.08213591403139575,-0.016813349471963
2012-12-14,20,>5%,510300,0.05364995602462663,0.07488496541193745,-0.016813349471963
2012-12-17,20,>5%,510300,0.053023663453111824,0.0650891807435523,-0.016813349471963
2012-12-18,20,>5%,510300,0.05295950155763274,0.09782126219456466,-0.016813349471963
2012-12-19,20,>5%,510300,0.052818464269862586,0.09884215282039577,-0.016813349471963
2012-12-20,20,>5%,510300,0.07277628032345063,0.08980310617249443,-0.016813349471963
2012-12-21,20,>5%,510300,0.07845804988662186,0.09649055034797871,-0.016813349471963
2012-12-24,20,>5%,510300,0.07936507936507975,0.08841954230661031,-0.016813349471963
2012-12-25,20,>5%,510300,0.11232378353797245,0.0541403122810904,-0.016813349471963
2012-12-26,20,>5%,510300,0.10197663971248949,0.07969554034472992,-0.016813349471963
2012-12-27,20,>5%,510300,0.10619069136918258,0.09007843350323896,-0.016813349471963
2012-12-28,20,>5%,510300,0.11640449438202283,0.08032453251958938,-0.016813349471963
2012-12-31,20,>5%,510300,0.1415649027589332,0.06597968876436888,-0.016813349471963
2013-01-04,20,>5%,510300,0.15683584819387342,0.08403180979944502,-0.016813349471963
2013-01-07,20,>5%,510300,0.17152103559870602,0.0843349931638766,-0.016813349471963
2013-01-08,20,>5%,510300,0.17076566125290094,0.09678939418414645,-0.014219283521919479
2013-01-09,20,>5%,510300,0.1644341801385687,0.10078524336859984,-0.014219283521919479
2013-01-10,20,>5%,510300,0.1780885780885786,0.093113139082599,-0.014219283521919479
2013-01-11,20,>5%,510300,0.1512488436632755,0.1124965421998676,-0.013370905879552142
2013-01-14,20,>5%,510300,0.1514745308310994,0.05868729037841325,-0.016227912008655032
