horizon,bucket,sample,win_rate,avg_ret,median_ret,avg_mdd,p25_ret,p75_ret
20,<=0%,726,0.4765840220385675,0.013467793617169892,0.0,-0.02660314614958421,-0.010457399193314204,0.03778492490335422
20,0-2%,325,0.6092307692307692,0.01423450762216741,0.011424833356600717,-0.032724632938188274,-0.015812684407253474,0.03830529816896133
20,2-5%,673,0.600297176820208,0.020007724507688358,0.008349988167544842,-0.03381647942999501,-0.011280003410210293,0.042557464541332024
20,>5%,1639,0.6436851738865161,0.025235516865423267,0.017987843225810707,-0.04673956040348168,-0.014373445952264419,0.05899929486987876
60,<=0%,719,0.7107093184979137,0.0574543918397408,0.040491683001384615,-0.05615516184205115,-0.000999749999999966,0.09001766308323056
60,0-2%,315,0.7047619047619048,0.05644314844195874,0.03688770858395074,-0.06457045989969389,-0.005990483710544947,0.10000335331420951
60,2-5%,671,0.736214605067064,0.059819662897390415,0.041269154759753235,-0.06534631772557606,-0.002371202617770407,0.1069551205134337
60,>5%,1618,0.7212608158220025,0.06648488161311696,0.04778055149870575,-0.07678878680963047,-0.007430669139947582,0.11614216752063683
