strategy,year,start_date,end_date,strategy_return,hs300_return,excess_return
baseline_step,2012,2012-05-28,2012-12-31,0.05184302699687038,-0.030721966205837004,0.08256499320270738
baseline_step,2013,2012-12-31,2013-12-31,-0.07182678247337204,-0.05863708399365919,-0.013189698479712852
baseline_step,2014,2013-12-31,2014-12-31,0.3938201851155403,0.5372985893150872,-0.14347840419954694
baseline_step,2015,2014-12-31,2015-12-31,0.07911541425479474,0.0680185133646376,0.011096900890157135
baseline_step,2016,2015-12-31,2016-12-30,0.1988956908986934,-0.09686562903164342,0.29576131993033683
baseline_step,2017,2016-12-30,2017-12-29,0.08452800837688312,0.23368087754307587,-0.14915286916619275
baseline_step,2018,2017-12-29,2018-12-28,-0.09593273053504026,-0.2416418271617753,0.14570909662673504
baseline_step,2019,2018-12-28,2019-12-31,0.5052646157245142,0.3859357093623652,0.11932890636214899
baseline_step,2020,2019-12-31,2020-12-31,0.5466688834452329,0.2907714843749991,0.2558973990702338
baseline_step,2021,2020-12-31,2021-12-31,0.18105383735821978,-0.0404000983832733,0.22145393574149308
baseline_step,2022,2021-12-31,2022-12-30,0.41382568741826486,-0.20132014717873803,0.6151458345970029
baseline_step,2023,2022-12-30,2023-12-29,0.14965508701135732,-0.09775224647250746,0.2474073334838648
baseline_step,2024,2023-12-29,2024-12-31,0.2584903502498346,0.17374101990322166,0.08474933034661292
baseline_step,2025,2024-12-31,2025-12-31,1.1919646703236833,0.20838818873246168,0.9835764815912216
baseline_step,2026,2025-12-31,2026-06-11,0.11731231291638178,0.025528610176842825,0.09178370273953895
continuous_transition,2012,2012-05-28,2012-12-31,0.040194024364754055,-0.030721966205837004,0.07091599057059106
continuous_transition,2013,2012-12-31,2013-12-31,-0.06680204852939486,-0.05863708399365919,-0.008164964535735675
continuous_transition,2014,2013-12-31,2014-12-31,0.4154290671066043,0.5372985893150872,-0.1218695222084829
continuous_transition,2015,2014-12-31,2015-12-31,0.07766382660895532,0.0680185133646376,0.009645313244317721
continuous_transition,2016,2015-12-31,2016-12-30,0.1944868605764689,-0.09686562903164342,0.29135248960811233
continuous_transition,2017,2016-12-30,2017-12-29,0.021724126679864897,0.23368087754307587,-0.21195675086321097
continuous_transition,2018,2017-12-29,2018-12-28,-0.05446915113379702,-0.2416418271617753,0.18717267602797827
continuous_transition,2019,2018-12-28,2019-12-31,0.5383536066177095,0.3859357093623652,0.15241789725534427
continuous_transition,2020,2019-12-31,2020-12-31,0.589987165403272,0.2907714843749991,0.2992156810282729
continuous_transition,2021,2020-12-31,2021-12-31,0.17089935284605673,-0.0404000983832733,0.21129945122933003
continuous_transition,2022,2021-12-31,2022-12-30,0.4529333081304945,-0.20132014717873803,0.6542534553092325
continuous_transition,2023,2022-12-30,2023-12-29,0.16984409317522475,-0.09775224647250746,0.2675963396477322
continuous_transition,2024,2023-12-29,2024-12-31,0.3220006462609908,0.17374101990322166,0.14825962635776913
continuous_transition,2025,2024-12-31,2025-12-31,1.1468926605277634,0.20838818873246168,0.9385044717953017
continuous_transition,2026,2025-12-31,2026-06-11,0.03591571065875576,0.025528610176842825,0.010387100481912936
