total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown,trade_count,trade_action_count,avg_exposure,latest_momentum,latest_exposure,max_drawdown_integral,max_drawdown_episode_integral,full_history_drawdown_integral,worst_drawdown_episode_integral,latest_holding_code,latest_holding_theme,latest_holding_name,latest_portfolio,strategy,treasury_code,mode,risk_cap,drawdown_cut,ratio_cut,breadth_cut,annualized_diff,sharpe_diff,max_drawdown_integral_diff,is_valid_change
19.111627678167864,0.23659820685751343,0.2107781067379628,1.1224989659464486,-0.2204601412474615,901,1612,0.8194491994177584,0.026011560693641522,0.8,215.71476967981687,40.34478784529008,215.71476967981687,40.34478784529008,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__stressbond_511260_vr90_vb00_cap30,511260,market_stress_only,0.3,,0.9,-0.02,0.0008003167041328307,0.006106195608497567,-2.273829012554444,True
19.070658901874836,0.2364197973486557,0.21101683298875137,1.120383592152852,-0.22421762903999354,903,1621,0.8194491994177584,0.026011560693641522,0.8,217.07344001677563,40.156373522324245,217.07344001677563,40.156373522324245,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__stressbond_511260_vr90_vb01_cap50,511260,market_stress_only,0.5,,0.9,-0.01,0.0006219071952751065,0.003990821814900958,-0.9151586755956771,True
19.19608009979206,0.23696491441454604,0.21196795163206325,1.1179280291667528,-0.23378323828669356,887,1576,0.8194491994177584,0.026011560693641522,0.8,218.3228076643628,41.45449014827562,218.3228076643628,41.45449014827562,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__stressbond_511260_vr88_vb-1_cap60,511260,market_stress_only,0.6,,0.88,-0.03,0.0011670242611654391,0.0015352588288017888,0.3342089719915009,False
19.00839115916283,0.23614798669109027,0.21180271344560017,1.1149431603091478,-0.23378323828669412,887,1576,0.8194491994177584,0.026011560693641522,0.8,218.437955497773,41.45449014827569,218.437955497773,41.45449014827569,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__stressbond_511260_vr88_vb-1_cap50,511260,market_stress_only,0.5,,0.88,-0.03,0.0003500965377096765,-0.0014496100288032832,0.4493568054016919,False
18.92845379773817,0.2357978901533806,0.2112140963453217,1.116392770337951,-0.2150636140231268,904,1609,0.8194783114992723,0.07132169576059866,0.8,217.9885986923713,39.50349124037609,217.9885986923713,39.50349124037609,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1,,,,,,,0.0,0.0,0.0,False
18.889651755974015,0.23562748063575367,0.21078998838437513,1.1178305119790009,-0.22374393227666434,903,1621,0.8194491994177584,0.026011560693641522,0.8,217.89840150311488,41.0942675396355,217.89840150311488,41.0942675396355,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__stressbond_511260_vr90_vb01_cap40,511260,market_stress_only,0.4,,0.9,-0.01,-0.0001704095176269238,0.0014377416410498167,-0.09019718925642906,False
18.8206831901212,0.23532382280131414,0.21166873024482755,1.1117552532635586,-0.23378323828669456,887,1576,0.8194491994177584,0.026011560693641522,0.8,218.60323717947895,41.45449014827581,218.60323717947895,41.45449014827581,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__stressbond_511260_vr88_vb-1_cap40,511260,market_stress_only,0.4,,0.88,-0.03,-0.000474067352066454,-0.0046375170743924166,0.6146384871076407,False
18.70721567103567,0.2348220999857875,0.21061626850636453,1.114928593365956,-0.2235185379044281,903,1618,0.8194491994177584,0.026011560693641522,0.8,218.8751814532706,41.44455355740381,218.8751814532706,41.44455355740381,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__stressbond_511260_vr90_vb01_cap30,511260,market_stress_only,0.3,,0.9,-0.01,-0.0009757901675930825,-0.0014641769719949682,0.8865827608993015,False
18.6958027604648,0.23477148668657932,0.21190293809866292,1.107919922173371,-0.23378323828669434,892,1587,0.8194491994177584,0.026011560693641522,0.8,218.64066944291073,41.454490148275816,218.64066944291073,41.454490148275816,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__stressbond_511260_vr88_vb00_cap60,511260,market_stress_only,0.6,,0.88,-0.02,-0.0010264034668012734,-0.008472848164579938,0.6520707505394228,False
18.676742464593932,0.23468689842153778,0.21042724819303082,1.1152875895913104,-0.22302624262744142,906,1642,0.8194491994177584,0.026011560693641522,0.8,219.74709453337096,41.69821205592345,219.74709453337096,41.69821205592345,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__stressbond_511260_vr90_vb01_cap20,511260,market_stress_only,0.2,,0.9,-0.01,-0.0011109917318428142,-0.0011051807466406771,1.7584958409996432,False
