date,nav,strategy_return,current_momentum,signal,holding,exposure,target_exposure,trade_cost_rate,turnover,drawdown
2019-12-11,1.6433361128699973,-0.00952380952380949,0.03482587064676612,159949,159949,1.0,1.0,0.0,0.0,-0.2530702470944439
2019-12-12,1.64596966433293,0.0016025641025640969,0.03399122807017574,159941,159949,1.0,1.0,0.0,0.0,-0.25187324428530034
2019-12-13,1.658273418483389,0.007475079533403983,0.05592105263157898,159949,159941,1.0,1.0,0.001,2.0,-0.24628093728526546
2019-12-16,1.674677927020442,0.009892523364485983,0.09259259259259278,159949,159949,1.0,1.0,0.001,2.0,-0.23882475384710145
2019-12-17,1.6953211063981979,0.012326656394453073,0.11167512690355341,159949,159949,1.0,1.0,0.0,0.0,-0.22944200813181148
2019-12-18,1.6875799141315393,-0.004566210045662156,0.09731543624161088,159949,159949,1.0,1.0,0.0,0.0,-0.23296053777504533
2019-12-19,1.6875799141315393,0.0,0.08818635607321146,159949,159949,1.0,1.0,0.0,0.0,-0.23296053777504533
2019-12-20,1.6669367347537836,-0.012232415902140636,0.08207705192629833,159949,159949,1.0,1.0,0.0,0.0,-0.24234328349033518
2019-12-23,1.6359719656871499,-0.018575851393188847,0.05666666666666664,159949,159949,1.0,1.0,0.0,0.0,-0.25641740206327013
2019-12-24,1.6746779270204422,0.023659305993690927,0.043408360128617485,159949,159949,1.0,1.0,0.0,0.0,-0.23882475384710145
2019-12-25,1.6927407089759785,0.01078582434514641,0.06148867313915862,159949,159949,1.0,1.0,0.0,0.0,-0.23061485134622273
2019-12-26,1.7030622986648565,0.0060975609756097615,0.07317073170731714,159949,159949,1.0,1.0,0.0,0.0,-0.22592347848857763
2019-12-27,1.6746779270204422,-0.01666666666666672,0.07628524046434504,159949,159949,1.0,1.0,0.0,0.0,-0.23882475384710145
2019-12-30,1.7030622986648563,0.016949152542372836,0.10183639398998334,159949,159949,1.0,1.0,0.0,0.0,-0.22592347848857774
2019-12-31,1.7056426960870756,0.0015151515151514694,0.09800664451827257,159949,159949,1.0,1.0,0.0,0.0,-0.2247506352741666
2020-01-02,1.7366074651537093,0.018154311649016597,0.1160862354892207,159949,159949,1.0,1.0,0.0,0.0,-0.21067651670123166
2020-01-03,1.7314466703092704,-0.002971768202080227,0.11276948590381441,159949,159949,1.0,1.0,0.0,0.0,-0.21302220313005416
2020-01-06,1.7495094522648065,0.010432190760059523,0.13567839195979903,159949,159949,1.0,1.0,0.0,0.0,-0.20481230062917555
2020-01-07,1.7701526316425622,0.01179941002949847,0.14524207011686152,159949,159949,1.0,1.0,0.0,0.0,-0.19542955491388558
2020-01-08,1.7443486574203673,-0.014577259475218707,0.12106135986733002,159949,159949,1.0,1.0,0.0,0.0,-0.20715798705799815
2020-01-09,1.7959566058647567,0.029585798816567976,0.15231788079470188,159949,159949,1.0,1.0,0.0,0.0,-0.18370112276977324
2020-01-10,1.7933762084425373,-0.001436781609195359,0.12459546925566345,159949,159949,1.0,1.0,0.0,0.0,-0.18487396598418449
2020-01-13,1.8217605800869516,0.015827338129496438,0.12959999999999994,159949,159949,1.0,1.0,0.0,0.0,-0.17197269062566078
2020-01-14,1.8114389903980737,-0.005665722379603388,0.13043478260869557,159949,159949,1.0,1.0,0.0,0.0,-0.17666406348330577
2020-01-15,1.808858592975854,-0.0014245014245014564,0.11269841269841252,159949,159949,1.0,1.0,0.0,0.0,-0.17783690669771712
2020-01-16,1.8165997852425124,0.004279600570613384,0.1282051282051282,159949,159949,1.0,1.0,0.0,0.0,-0.1743183770544834
