date,single_momentum_nav,threshold_dual_momentum_nav,breadth_dual_momentum_nav,hs300_benchmark
2012-05-28,1.0,1.0,1.0,1.0
2012-05-29,1.0,1.0,1.0,1.0153609831029187
2012-05-30,1.0,1.0,1.0,1.012288786482335
2012-05-31,1.0,1.0,1.0,1.009984639016897
2012-06-01,1.0,1.0,1.0,1.009984639016897
2012-06-04,1.0,1.0,1.0,0.9823348694316433
2012-06-05,1.0,1.0,1.0,0.9834869431643621
2012-06-06,1.0,1.0,1.0,0.9827188940092163
2012-06-07,1.0,1.0,1.0,0.9765745007680489
2012-06-08,1.0,1.0,1.0,0.973118279569892
2012-06-11,1.0,1.0,1.0,0.9846390168970811
2012-06-12,1.0,1.0,1.0,0.9784946236559137
2012-06-13,1.0,1.0,1.0,0.9927035330261134
2012-06-14,1.0,1.0,1.0,0.9884792626728107
2012-06-15,1.0,1.0,1.0,0.9923195084485404
2012-06-18,1.0,1.0,1.0,0.9953917050691242
2012-06-19,1.0,1.0,1.0,0.9880952380952378
2012-06-20,1.0,1.0,1.0,0.9869431643625188
2012-06-21,1.0,1.0,1.0,0.9715821812596002
2012-06-25,1.0,1.0,1.0,0.952380952380952
2012-06-26,1.0,1.0,1.0,0.952380952380952
2012-06-27,1.0,1.0,1.0,0.9489247311827954
2012-06-28,1.0,1.0,1.0,0.9435483870967738
2012-06-29,1.0,1.0,1.0,0.9543010752688166
2012-07-02,1.0,1.0,1.0,0.9543010752688166
2012-07-03,0.9995,1.0,1.0,0.9558371735791084
2012-07-04,0.9995,1.0,0.9995,0.9558371735791084
2012-07-05,0.9882561269586179,1.0,0.9882561269586179,0.9450844854070652
2012-07-06,1.004318802732021,1.0,1.004318802732021,0.9604454685099839
2012-07-09,0.9842404580152673,1.0,0.9842404580152673,0.9412442396313357
2012-07-10,0.9802247890719165,1.0,0.9802247890719165,0.937403993855606
2012-07-11,0.9846420249096026,1.0,0.9846420249096026,0.9416282642089089
2012-07-12,0.9934764965849745,1.0,0.9934764965849745,0.9500768049155144
2012-07-13,0.9950827641623149,1.0,0.9950827641623149,0.9516129032258063
2012-07-16,0.9790200883889115,1.0,0.9790200883889115,0.9362519201228873
2012-07-17,0.9810279228605867,1.0,0.9810279228605867,0.938172043010752
2012-07-18,0.9810279228605867,1.0,0.9810279228605867,0.938172043010752
2012-07-19,0.984240458015267,1.0,0.984240458015267,0.9412442396313355
2012-07-20,0.9770122539172356,1.0,0.9770122539172356,0.934331797235022
2012-07-23,0.9649652470871833,1.0,0.9649652470871833,0.9228110599078332
2012-07-24,0.9669730815588585,1.0,0.9669730815588585,0.9247311827956979
2012-07-25,0.9609495781438324,1.0,0.9609495781438324,0.9189708141321034
2012-07-26,0.9565323423061467,1.0,0.9565323423061467,0.9147465437788008
2012-07-27,0.9577370429891519,1.0,0.9577370429891519,0.9158986175115197
2012-07-30,0.9545245078344712,1.0,0.9545245078344712,0.9128264208909359
2012-07-31,0.9521151064684609,1.0,0.9521151064684609,0.9105222734254982
2012-08-01,0.9593433105664921,1.0,0.9593433105664921,0.9174347158218115
2012-08-02,0.9521151064684609,1.0,0.9521151064684609,0.9105222734254982
2012-08-03,0.9577370429891517,1.0,0.9577370429891517,0.9158986175115196
2012-08-06,0.9701856167135393,1.0,0.9701856167135393,0.9278033794162818
2012-08-07,0.9713903173965445,1.0,0.9713903173965445,0.9289554531490006
2012-08-08,0.9721934511852145,1.0,0.9721934511852145,0.9297235023041465
2012-08-09,0.9818310566492564,1.0,0.9818310566492564,0.9389400921658977
2012-08-10,0.979020088388911,1.0,0.979020088388911,0.936251920122887
2012-08-13,0.9605480112494974,1.0,0.9605480112494974,0.9185867895545305
2012-08-14,0.9589417436721571,1.0,0.9589417436721571,0.9170506912442387
2012-08-15,0.9501072719967856,1.0,0.9501072719967856,0.9086021505376335
2012-08-16,0.94729630373644,1.0,0.94729630373644,0.9059139784946227
2012-08-17,0.9432806347930893,1.0,0.9432806347930893,0.9020737327188931
2012-08-20,0.9380602651667332,1.0,0.9380602651667332,0.8970814132104444
2012-08-21,0.941674367215749,1.0,0.941674367215749,0.9005376344086012
2012-08-22,0.9348477300120527,1.0,0.9348477300120527,0.8940092165898608
2012-08-23,0.9392649658497385,1.0,0.9392649658497385,0.8982334869431634
2012-08-24,0.9300289272800317,1.0,0.9300289272800317,0.8894009216589852
2012-08-27,0.9107537163519481,1.0,0.9107537163519481,0.8709677419354829
2012-08-28,0.9107537163519481,1.0,0.9107537163519481,0.8709677419354829
