total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown,max_drawdown_integral,trade_count,avg_exposure,latest_holding_code,latest_holding_theme,latest_holding_name,latest_momentum,latest_exposure,strategy,method,downvol_scale,drawdown_penalty,slope_penalty,leader_margin,annualized_diff,sharpe_diff,max_drawdown_integral_diff,max_drawdown_diff,is_soft_improvement,drawdown_integral_definition,drawdown_integral_recomputed
21.835130933956084,0.2505198082493207,0.1930471288758939,1.297713204584228,-0.1890166145032179,30.06588380087514,1600,0.80948337746396,159949,创业板50,创业板50ETF华安,0.1170523751304607,1.0,slope_085,slope,0.0,0.0,0.85,0.0,0.0142337885226659,0.1252852473438164,-6.818894535119767,0.0275058762908592,True,full_history,False
22.207393613551005,0.251965766362572,0.1927802498410958,1.3070102698293078,-0.1890166145032178,30.41116167580549,1603,0.8088684907325684,159949,创业板50,创业板50ETF华安,0.1057118498496672,1.0,slope_095,slope,0.0,0.0,0.95,0.0,0.0156797466359173,0.134582312588896,-6.473616660189418,0.0275058762908593,True,full_history,False
21.999450355527937,0.251160742788975,0.1930358169026326,1.3011095392502248,-0.1890166145032175,30.41116167580552,1598,0.8093227419829363,159949,创业板50,创业板50ETF华安,0.1170523751304607,1.0,slope_090,slope,0.0,0.0,0.9,0.0,0.0148747230623202,0.128681582009813,-6.473616660189389,0.0275058762908596,True,full_history,False
22.68673941492707,0.2537962659449566,0.1928834323215131,1.315801273807225,-0.1890166145032177,30.4111616758057,1608,0.8086378346572523,159949,创业板50,创业板50ETF华安,0.1057118498496672,1.0,slope_100,slope,0.0,0.0,1.0,0.0,0.0175102462183018,0.1433733165668131,-6.473616660189208,0.0275058762908594,True,full_history,False
19.933039423086942,0.2427715760407889,0.1932795099162932,1.2560647331211154,-0.1890166145032177,32.45995013395208,1584,0.8094086496028244,159941,纳指ETF,纳指ETF广发,0.1170523751304607,1.0,slope_080,slope,0.0,0.0,0.8,0.0,0.0064855563141341,0.0836367758807037,-4.424828202042832,0.0275058762908594,True,full_history,False
17.15586417689235,0.2301944651151402,0.201552636770656,1.1421059471282198,-0.2066790352301861,35.962439902181316,1579,0.8114563106796118,159941,纳指ETF,纳指ETF广发,0.1170523751304607,1.0,slope_065,slope,0.0,0.0,0.65,0.0,-0.0060915546115145,-0.0303220101121919,-0.9223384338135928,0.0098434555638909,True,full_history,False
17.065448363607832,0.2297556397236742,0.2016112671580326,1.139597220742533,-0.206679035230187,35.9624399021815,1577,0.8114563106796118,159941,纳指ETF,纳指ETF广发,0.1170523751304607,1.0,slope_060,slope,0.0,0.0,0.6,0.0,-0.0065303800029805,-0.032830736497879,-0.9223384338134082,0.0098434555638901,True,full_history,False
16.332773866599837,0.2261224967133068,0.1940851313507339,1.1650686229264915,-0.1890166145032177,33.085034073675175,1577,0.810020594292439,159941,纳指ETF,纳指ETF广发,0.1170523751304607,1.0,slope_075,slope,0.0,0.0,0.75,0.0,-0.0101635230133478,-0.0073593343139199,-3.7997442623197344,0.0275058762908594,False,full_history,False
14.96319855830846,0.2189311403320368,0.1945916846776853,1.125079628631956,-0.2066790352301875,36.10368927631511,1570,0.8112015298617241,159941,纳指ETF,纳指ETF广发,0.1170523751304607,1.0,slope_070,slope,0.0,0.0,0.7,0.0,-0.0173548793946178,-0.0473483286084557,-0.7810890596798004,0.0098434555638896,False,full_history,False
18.455163912554585,0.2362860197266547,0.2015356408617294,1.1724279572404115,-0.2165224907940771,36.88477833599491,1569,0.8127819947043249,159941,纳指ETF,纳指ETF广发,0.1170523751304607,1.0,baseline_raw,raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,full_history,False
