date,conservative_nav
2021-06-07,1.0
2021-06-08,0.9995
2021-06-09,0.9995
2021-06-10,0.9995
2021-06-11,0.9995
2021-06-15,0.9995
2021-06-16,0.9995
2021-06-17,0.9995
2021-06-18,0.9995
2021-06-21,0.9995
2021-06-22,0.9995
2021-06-23,0.9995
2021-06-24,0.9995
2021-06-25,0.9995
2021-06-28,0.9995
2021-06-29,0.9995
2021-06-30,0.9995
2021-07-01,0.9995
2021-07-02,0.9995
2021-07-05,0.9995
2021-07-06,0.9995
2021-07-07,0.9995
2021-07-08,0.9995
2021-07-09,0.9995
2021-07-12,0.9995
2021-07-13,0.9995
2021-07-14,0.9995
2021-07-15,0.9995
2021-07-16,0.9995
2021-07-19,0.9917652521079259
2021-07-20,0.9910917273187185
2021-07-21,0.9961431632377742
2021-07-22,1.0062460350758853
2021-07-23,1.0143283325463743
2021-07-26,0.9778972040665487
2021-07-27,0.9378893372335108
2021-07-28,0.9529742706295743
2021-07-29,1.011346404205646
2021-07-30,1.002164270834129
2021-08-02,0.9984892862940565
2021-08-03,0.9963485741948043
2021-08-04,0.9899205188774184
2021-08-05,0.9834745248010074
2021-08-06,0.9872452800212929
2021-08-09,0.9686437920398204
2021-08-10,0.9656032061455251
2021-08-11,0.9648420324469869
2021-08-12,0.9709334815808123
2021-08-13,0.9730218021976202
2021-08-16,0.9790899624899478
2021-08-17,0.979607608240509
2021-08-18,0.9728797371197628
2021-08-19,0.9624983984614727
2021-08-20,0.9593695336986722
2021-08-23,0.964576783362501
2021-08-24,0.966831972902761
2021-08-25,0.971337847610031
2021-08-26,0.9798820231214154
2021-08-27,0.9834661768310691
2021-08-30,0.9874920617654654
2021-08-31,1.0107121593418629
2021-09-01,1.005405920505318
2021-09-02,1.018701590738701
2021-09-03,1.0169386955260507
2021-09-06,1.022231313272283
2021-09-07,1.0367537876490294
2021-09-08,1.051189599882117
2021-09-09,1.0738038442294628
2021-09-10,1.0673388554884025
2021-09-13,1.0713369395147807
2021-09-14,1.0755581252496695
2021-09-15,1.0747138881026916
2021-09-16,1.0679599909268696
2021-09-17,1.0747138881026916
2021-09-22,1.0544521965752256
2021-09-23,1.0637388051919807
2021-09-24,1.0595176194570919
2021-09-27,1.0552964337222033
2021-09-28,1.0476982993994035
2021-09-29,1.0358789793417147
2021-09-30,1.0291250821658926
2021-10-08,1.021151038676406
2021-10-11,1.0299003005770442
2021-10-12,1.023750714946337
2021-10-13,1.0075273429608487
2021-10-14,1.0002417620506867
2021-10-15,1.0052897111301948
2021-10-18,1.0186019269018343
2021-10-19,1.0186019269018343
2021-10-20,1.0047316027908304
2021-10-21,1.0160683139940498
2021-10-22,1.0160683139940498
2021-10-25,1.0135875642332033
2021-10-26,1.016538942332052
2021-10-27,1.0112330638426636
2021-10-28,1.0181265557915076
2021-10-29,1.014198814876357
2021-11-01,1.0024132181498637
2021-11-02,1.0030864305193399
2021-11-03,0.9970275191940554
2021-11-04,1.0071257047361963
2021-11-05,1.0071257047361963
2021-11-08,1.0131147678260497
2021-11-09,1.0152461841408749
2021-11-10,1.0148590022673263
2021-11-11,1.024927377214868
2021-11-12,1.0251201880625032
2021-11-15,1.033713994623418
2021-11-16,1.0289045312489293
2021-11-17,1.0372409344313762
2021-11-18,1.0394853506728041
2021-11-19,1.055516895254433
2021-11-22,1.0567994188209633
2021-11-23,1.0401266124560697
2021-11-24,1.0420503978058653
2021-11-25,1.0478217538552517
2021-11-26,1.0365996726481117
2021-11-29,1.0327657967584956
2021-11-30,1.0309654579318275
2021-12-01,1.0281628333859933
2021-12-02,1.0249560877068167
2021-12-03,1.0231498713844243
2021-12-06,1.0196667712430165
2021-12-07,1.0298238658595382
2021-12-08,1.0307433514540556
2021-12-09,1.0325816198515534
2021-12-10,1.0298263194682138
2021-12-13,1.0285041273478155
2021-12-14,1.0170763037106174
2021-12-15,1.0291637979822206
2021-12-16,1.038184014909444
2021-12-17,1.0417787163625516
2021-12-20,1.0369928584366859
2021-12-21,1.0345951870876993
2021-12-22,1.0411953386540416
2021-12-23,1.057351818046949
2021-12-24,1.0615132830336398
2021-12-27,1.0537978110882675
2021-12-28,1.0597514710379188
2021-12-29,1.0508424314495295
2021-12-30,1.0544190426424696
2021-12-31,1.0431095480721915
2022-01-04,1.0552288277905633
2022-01-05,1.0579679879121455
