total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown,trade_count,trade_action_count,avg_exposure,latest_momentum,latest_exposure,max_drawdown_integral,max_drawdown_episode_integral,full_history_drawdown_integral,worst_drawdown_episode_integral,latest_holding_code,latest_holding_theme,latest_holding_name,latest_portfolio,strategy,weak_ratio_cut,weak_breadth_cut,weak_cap,extreme_ratio_cut,extreme_breadth_cut,extreme_cap,extreme_short_ratio_cut,annualized_diff,sharpe_diff,max_drawdown_integral_diff,is_valid_change
20.132310487542327,0.24093742061602086,0.21073098744307694,1.143341202636861,-0.2217293448732871,907,1646,0.8194491994177584,0.026011560693641522,0.8,215.37402477009567,40.07246924867874,215.37402477009567,40.07246924867874,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__twotier_511260_wvr900_wvb-10_wcap30_evr890_evb-15_ecap15_evs95,0.9,-0.03,0.3,0.89,-0.035,0.15,0.95,-0.00026195994339150985,-0.0014949928176359872,0.9590459202103716,False
20.132310487542327,0.24093742061602086,0.21073098744307694,1.143341202636861,-0.2217293448732871,907,1646,0.8194491994177584,0.026011560693641522,0.8,215.37402477009567,40.07246924867874,215.37402477009567,40.07246924867874,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__twotier_511260_wvr900_wvb-10_wcap30_evr895_evb-15_ecap15_evs95,0.9,-0.03,0.3,0.895,-0.035,0.15,0.95,-0.00026195994339150985,-0.0014949928176359872,0.9590459202103716,False
20.13174538047673,0.24093507254485358,0.21073089665370498,1.143330552713318,-0.2217293448732871,908,1648,0.8194491994177584,0.026011560693641522,0.8,215.37390157902487,40.07246924867874,215.37390157902487,40.07246924867874,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__twotier_511260_wvr900_wvb-10_wcap30_evr885_evb-15_ecap15_evs95,0.9,-0.03,0.3,0.885,-0.035,0.15,0.95,-0.0002643080145587895,-0.0015056427411790363,0.958922729139573,False
20.067056316346214,0.24066589720962672,0.21064524662397488,1.1425175790424649,-0.22097611919277005,910,1659,0.8194491994177584,0.026011560693641522,0.8,215.36618285240408,40.0091894586296,215.36618285240408,40.0091894586296,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__twotier_511260_wvr900_wvb-05_wcap25_evr890_evb-15_ecap10_evs95,0.9,-0.025,0.25,0.89,-0.035,0.1,0.95,-0.0005334833497856462,-0.002318616412032126,0.9512040025187787,False
20.067056316346214,0.24066589720962672,0.21064524662397488,1.1425175790424649,-0.22097611919277005,910,1659,0.8194491994177584,0.026011560693641522,0.8,215.36618285240408,40.0091894586296,215.36618285240408,40.0091894586296,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__twotier_511260_wvr900_wvb-05_wcap25_evr895_evb-15_ecap10_evs95,0.9,-0.025,0.25,0.895,-0.035,0.1,0.95,-0.0005334833497856462,-0.002318616412032126,0.9512040025187787,False
20.066493117579956,0.24066355033277076,0.21064516627418306,1.142506873476103,-0.22097611919277005,911,1661,0.8194491994177584,0.026011560693641522,0.8,215.3660596586482,40.0091894586296,215.3660596586482,40.0091894586296,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__twotier_511260_wvr900_wvb-05_wcap25_evr885_evb-15_ecap10_evs95,0.9,-0.025,0.25,0.885,-0.035,0.1,0.95,-0.0005358302266416093,-0.0023293219783939723,0.9510808087628959,False
20.03503882433338,0.24053238610742045,0.21067229942243673,1.1417371280744828,-0.22041702717827305,910,1659,0.8194491994177584,0.026011560693641522,0.8,215.13913655204652,39.8298276741105,215.13913655204652,39.8298276741105,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__twotier_511260_wvr900_wvb-05_wcap25_evr890_evb-15_ecap15_evs95,0.9,-0.025,0.25,0.89,-0.035,0.15,0.95,-0.0006669944519919202,-0.0030990673800141977,0.7241577021612216,False
20.03503882433338,0.24053238610742045,0.21067229942243673,1.1417371280744828,-0.22041702717827305,910,1659,0.8194491994177584,0.026011560693641522,0.8,215.13913655204652,39.8298276741105,215.13913655204652,39.8298276741105,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__twotier_511260_wvr900_wvb-05_wcap25_evr895_evb-15_ecap15_evs95,0.9,-0.025,0.25,0.895,-0.035,0.15,0.95,-0.0006669944519919202,-0.0030990673800141977,0.7241577021612216,False
20.034663925684395,0.24053082168336637,0.21067223740977728,1.1417300382845954,-0.22041702717827305,911,1661,0.8194491994177584,0.026011560693641522,0.8,215.13905442377097,39.8298276741105,215.13905442377097,39.8298276741105,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__twotier_511260_wvr900_wvb-05_wcap25_evr885_evb-15_ecap15_evs95,0.9,-0.025,0.25,0.885,-0.035,0.15,0.95,-0.0006685588760459993,-0.003106157169901591,0.7240755738856706,False
20.031344803155037,0.24051697010278272,0.21069292846745116,1.141552171932239,-0.22228749729128505,907,1647,0.8194491994177584,0.026011560693641522,0.8,215.64023498719428,40.251657595077795,215.64023498719428,40.251657595077795,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb01_vg30_cap08_hi04_dd02_rm06_vm16_oh25_ohh32__proxy_hybrid_breadth_blend_vr91_vs90_vb-1__twotier_511260_wvr900_wvb-05_wcap30_evr890_evb-15_ecap10_evs95,0.9,-0.025,0.3,0.89,-0.035,0.1,0.95,-0.0006824104566296452,-0.003284023522257984,1.2252561373089748,False
