total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown,trade_count,trade_action_count,avg_exposure,latest_momentum,latest_exposure,max_drawdown_integral,max_drawdown_episode_integral,full_history_drawdown_integral,worst_drawdown_episode_integral,latest_holding_code,latest_holding_theme,latest_holding_name,latest_portfolio,variant,leader_gap,mom_threshold,release_ratio,trigger_days,annualized_return_diff_vs_base,sharpe_rf0_diff_vs_base,max_drawdown_diff_vs_base,max_drawdown_integral_diff_vs_base,trade_count_diff_vs_base,trigger_days_diff_vs_base
23.175771837773326,0.2551263175497469,0.19765919497626486,1.290738422669296,-0.18964247329603012,1182,1966,0.8021672425603653,0.15379310344827601,1.0,183.2274288120551,31.848627664836112,183.2274288120551,31.848627664836112,159941,纳指ETF,纳指ETF广发,纳指ETF / 纳指ETF广发 (159941) 100%,rc_r90_g005_m10,0.005,0.1,0.9,207,0.008236681016519976,0.01761628490888345,0.00018512459268382742,1.8315410401287977,22,207
23.165840369228867,0.2550895280673475,0.19765510872658143,1.2905789772437188,-0.18964247329603012,1182,1965,0.8021672425603653,0.15379310344827601,1.0,183.22742881205517,31.848627664836112,183.22742881205517,31.848627664836112,159941,纳指ETF,纳指ETF广发,纳指ETF / 纳指ETF广发 (159941) 100%,rc_r90_g010_m10,0.01,0.1,0.9,206,0.008199891534120596,0.01745683948330634,0.00018512459268382742,1.8315410401288545,22,206
23.06590747246352,0.2547185597052197,0.19759136874625366,1.2891178461966557,-0.18964247329603012,1183,1966,0.8021672425603653,0.15379310344827601,1.0,183.14475489303334,31.848627664836112,183.14475489303334,31.848627664836112,159941,纳指ETF,纳指ETF广发,纳指ETF / 纳指ETF广发 (159941) 100%,rc_r90_g015_m10,0.015,0.1,0.9,203,0.007828923171992797,0.015995708436243206,0.00018512459268382742,1.7488671211070255,23,203
22.696029490066724,0.25333294685730934,0.19658004876601087,1.2887012107665687,-0.1890548045403999,1182,1966,0.8021672425603653,0.15379310344827601,1.0,182.56679506973518,31.61717390514054,182.56679506973518,31.61717390514054,159941,纳指ETF,纳指ETF广发,纳指ETF / 纳指ETF广发 (159941) 100%,rc_r70_g005_m10,0.005,0.1,0.7,207,0.0064433103240824074,0.015579073006156241,0.0007727933483140381,1.170907297808867,22,207
22.688013827034425,0.25330269731458777,0.19657679684043547,1.2885686479070957,-0.1890548045403999,1182,1965,0.8021672425603653,0.15379310344827601,1.0,182.56679506973518,31.61717390514054,182.56679506973518,31.61717390514054,159941,纳指ETF,纳指ETF广发,纳指ETF / 纳指ETF广发 (159941) 100%,rc_r70_g010_m10,0.01,0.1,0.7,206,0.006413060781360835,0.01544651014668319,0.0007727933483140381,1.170907297808867,22,206
22.666640599860976,0.2532219924505872,0.1966757582572426,1.287509933580044,-0.1890166145032176,1173,1944,0.8021672425603653,0.15379310344827601,1.0,182.64865209839073,28.851345912013496,182.64865209839073,28.851345912013496,159941,纳指ETF,纳指ETF广发,纳指ETF / 纳指ETF广发 (159941) 100%,rc_r90_g005_m15,0.005,0.15,0.9,143,0.006332355917360255,0.014387795819631455,0.0008109833854963444,1.2527643264644155,13,143
22.666640599860976,0.2532219924505872,0.1966757582572426,1.287509933580044,-0.1890166145032176,1173,1944,0.8021672425603653,0.15379310344827601,1.0,182.64865209839073,28.851345912013496,182.64865209839073,28.851345912013496,159941,纳指ETF,纳指ETF广发,纳指ETF / 纳指ETF广发 (159941) 100%,rc_r90_g010_m15,0.01,0.15,0.9,143,0.006332355917360255,0.014387795819631455,0.0008109833854963444,1.2527643264644155,13,143
22.612036203908847,0.2530154996226106,0.19652769192529446,1.2874292530682583,-0.1890548045403999,1183,1966,0.8021672425603653,0.15379310344827601,1.0,182.53647825143193,31.61717390514054,182.53647825143193,31.61717390514054,159941,纳指ETF,纳指ETF广发,纳指ETF / 纳指ETF广发 (159941) 100%,rc_r70_g015_m10,0.015,0.1,0.7,203,0.006125863089383676,0.014307115307845786,0.0007727933483140381,1.1405904795056188,23,203
22.59646172027428,0.25295652163205506,0.19666748706395812,1.286214236061252,-0.1890166145032176,1173,1944,0.8021672425603653,0.15379310344827601,1.0,182.67476881596042,28.851345912013496,182.67476881596042,28.851345912013496,159941,纳指ETF,纳指ETF广发,纳指ETF / 纳指ETF广发 (159941) 100%,rc_r90_g015_m15,0.015,0.15,0.9,142,0.006066885098828134,0.013092098300839572,0.0008109833854963444,1.278881044034108,13,142
22.306121432951226,0.25185038041750496,0.19704415403885409,1.278141854276194,-0.1890166145032175,1180,1959,0.8021672425603653,0.15379310344827601,1.0,183.35899936705442,28.851345912013493,183.35899936705442,28.851345912013493,159941,纳指ETF,纳指ETF广发,纳指ETF / 纳指ETF广发 (159941) 100%,rc_r90_g005_m12,0.005,0.12,0.9,170,0.004960743884278029,0.0050197165157814805,0.0008109833854964554,1.9631115951281117,20,170
22.306121432951226,0.25185038041750496,0.19704415403885409,1.278141854276194,-0.1890166145032175,1180,1959,0.8021672425603653,0.15379310344827601,1.0,183.35899936705442,28.851345912013493,183.35899936705442,28.851345912013493,159941,纳指ETF,纳指ETF广发,纳指ETF / 纳指ETF广发 (159941) 100%,rc_r90_g010_m12,0.01,0.12,0.9,170,0.004960743884278029,0.0050197165157814805,0.0008109833854964554,1.9631115951281117,20,170
22.305081805729984,0.2518463966927691,0.19583660621259305,1.2860026609089308,-0.1890166145032176,1173,1944,0.8021672425603653,0.15379310344827601,1.0,182.2906326755044,28.851345912013496,182.2906326755044,28.851345912013496,159941,纳指ETF,纳指ETF广发,纳指ETF / 纳指ETF广发 (159941) 100%,rc_r70_g005_m15,0.005,0.15,0.7,143,0.004956760159542162,0.012880523148518286,0.0008109833854963444,0.8947449035781005,13,143
22.305081805729984,0.2518463966927691,0.19583660621259305,1.2860026609089308,-0.1890166145032176,1173,1944,0.8021672425603653,0.15379310344827601,1.0,182.2906326755044,28.851345912013496,182.2906326755044,28.851345912013496,159941,纳指ETF,纳指ETF广发,纳指ETF / 纳指ETF广发 (159941) 100%,rc_r70_g010_m15,0.01,0.15,0.7,143,0.004956760159542162,0.012880523148518286,0.0008109833854963444,0.8947449035781005,13,143
22.300588443938288,0.25182917677999606,0.19702093098299908,1.278184888902623,-0.1890166145032175,1180,1959,0.8021672425603653,0.15379310344827601,1.0,183.2724792377062,28.851345912013493,183.2724792377062,28.851345912013493,159941,纳指ETF,纳指ETF广发,纳指ETF / 纳指ETF广发 (159941) 100%,rc_r90_g015_m12,0.015,0.12,0.9,168,0.004939540246769125,0.005062751142210553,0.0008109833854964554,1.8765914657798817,20,168
22.25155308855531,0.2516410578420487,0.19583022734810612,1.2849959949989422,-0.1890166145032176,1173,1944,0.8021672425603653,0.15379310344827601,1.0,182.30946412458752,28.851345912013496,182.30946412458752,28.851345912013496,159941,纳指ETF,纳指ETF广发,纳指ETF / 纳指ETF广发 (159941) 100%,rc_r70_g015_m15,0.015,0.15,0.7,142,0.004751421308821779,0.01187385723852974,0.0008109833854963444,0.9135763526612095,13,142
22.21969613109843,0.25151864447649275,0.19554877615146968,1.2862194764219312,-0.18901661450321716,1182,1966,0.8021672425603653,0.15379310344827601,1.0,182.09781078841394,28.851345912013418,182.09781078841394,28.851345912013418,159941,纳指ETF,纳指ETF广发,纳指ETF / 纳指ETF广发 (159941) 100%,rc_r50_g005_m10,0.005,0.1,0.5,207,0.004629007943265817,0.013097338661518743,0.0008109833854967885,0.7019230164876262,22,207
22.21352683383662,0.2514949203442174,0.19554636113853222,1.2861140390439132,-0.18901661450321716,1182,1965,0.8021672425603653,0.15379310344827601,1.0,182.0978107884138,28.851345912013418,182.0978107884138,28.851345912013418,159941,纳指ETF,纳指ETF广发,纳指ETF / 纳指ETF广发 (159941) 100%,rc_r50_g010_m10,0.01,0.1,0.5,206,0.004605283810990457,0.012991901283500695,0.0008109833854967885,0.7019230164874841,22,206
