date,price_date,code,theme,name,price,mom_25,mom_25_percentile
2026-09-18,2026-09-18,159985,豆粕,豆粕ETF,2.299,0.07480130902290805,0.871031746031746
2026-09-18,2026-09-18,512890,红利低波ETF,红利低波ETF华泰柏瑞,1.1840000000000077,0.025108225108224858,0.703042328042328
2026-09-18,2026-09-18,518880,黄金ETF,黄金ETF华安,9.009,0.007042253521126751,0.37367724867724866
2026-09-18,2026-09-18,511260,十年国债ETF,十年国债ETF,138.83620988344745,0.0019277800695387537,0.3445767195767196
2026-09-18,2026-09-18,159941,纳指ETF,纳指ETF广发,1.6780000000000115,-0.012360211889346662,0.28505291005291006
2026-09-18,2026-09-18,159954,H股,H股ETF,0.898,-0.014270032930845278,0.3948412698412698
2026-09-18,2026-09-18,510300,沪深300,沪深300ETF华泰柏瑞,5.719931018444323,-0.030469741853576426,0.23082010582010581
2026-09-18,2026-09-18,513880,日经ETF,日经225ETF华安,2.125,-0.04236142406489407,0.15013227513227514
2026-09-18,2026-09-18,159949,创业板50,创业板50ETF华安,1.577,-0.07885514018691586,0.1474867724867725
