date,nav,benchmark_nav
2012-05-28,1.0,1.0
2012-05-29,1.0,1.0153609831029187
2012-05-30,1.0,1.012288786482335
2012-05-31,1.0,1.009984639016897
2012-06-01,1.0,1.009984639016897
2012-06-04,1.0,0.9823348694316433
2012-06-05,1.0,0.9834869431643621
2012-06-06,1.0,0.9827188940092163
2012-06-07,1.0,0.9765745007680489
2012-06-08,1.0,0.973118279569892
2012-06-11,1.0,0.9846390168970811
2012-06-12,1.0,0.9784946236559137
2012-06-13,1.0,0.9927035330261134
2012-06-14,1.0,0.9884792626728107
2012-06-15,1.0,0.9923195084485404
2012-06-18,1.0,0.9953917050691242
2012-06-19,1.0,0.9880952380952378
2012-06-20,1.0,0.9869431643625188
2012-06-21,1.0,0.9715821812596002
2012-06-25,1.0,0.952380952380952
2012-06-26,1.0,0.952380952380952
2012-06-27,1.0,0.9489247311827954
2012-06-28,1.0,0.9435483870967738
2012-06-29,1.0,0.9543010752688168
2012-07-02,1.0,0.9543010752688168
2012-07-03,1.0,0.9558371735791085
2012-07-04,1.0,0.9558371735791085
2012-07-05,1.0,0.9450844854070654
2012-07-06,1.0,0.960445468509984
2012-07-09,1.0,0.9412442396313359
2012-07-10,1.0,0.9374039938556061
2012-07-11,1.0,0.941628264208909
2012-07-12,1.0,0.9500768049155143
2012-07-13,1.0,0.9516129032258062
2012-07-16,1.0,0.9362519201228874
2012-07-17,1.0,0.9381720430107521
2012-07-18,1.0,0.9381720430107521
2012-07-19,1.0,0.9412442396313356
2012-07-20,1.0,0.9343317972350221
2012-07-23,1.0,0.9228110599078333
2012-07-24,1.0,0.924731182795698
2012-07-25,1.0,0.9189708141321035
2012-07-26,1.0,0.9147465437788009
2012-07-27,1.0,0.9158986175115198
2012-07-30,1.0,0.912826420890936
2012-07-31,1.0,0.9105222734254983
2012-08-01,1.0,0.9174347158218116
2012-08-02,1.0,0.9105222734254983
2012-08-03,1.0,0.9158986175115197
2012-08-06,1.0,0.9278033794162819
2012-08-07,1.0,0.9289554531490007
2012-08-08,1.0,0.9297235023041466
2012-08-09,1.0,0.9389400921658978
2012-08-10,1.0,0.9362519201228872
2012-08-13,1.0,0.9185867895545307
2012-08-14,1.0,0.9170506912442388
2012-08-15,1.0,0.9086021505376336
2012-08-16,1.0,0.9059139784946229
2012-08-17,1.0,0.9020737327188932
2012-08-20,1.0,0.8970814132104445
2012-08-21,1.0,0.9005376344086014
2012-08-22,1.0,0.8940092165898609
2012-08-23,1.0,0.8982334869431635
2012-08-24,1.0,0.8894009216589853
2012-08-27,1.0,0.870967741935483
2012-08-28,1.0,0.870967741935483
2012-08-29,1.0,0.8652073732718886
2012-08-30,1.0,0.8613671274961588
2012-08-31,1.0,0.8613671274961588
2012-09-03,1.0,0.8667434715821805
2012-09-04,1.0,0.8575268817204291
2012-09-05,1.0,0.8571428571428564
2012-09-06,1.0,0.8655913978494614
2012-09-07,1.0,0.9051459293394768
2012-09-10,1.0,0.9082181259600606
2012-09-11,1.0,0.9013056835637471
2012-09-12,1.0,0.9059139784946226
2012-09-13,1.0,0.8970814132104443
2012-09-14,1.0,0.9032258064516118
2012-09-17,1.0,0.8821044546850988
2012-09-18,1.0,0.8713517665130558
2012-09-19,1.0,0.8748079877112124
2012-09-20,1.0,0.8559907834101371
2012-09-21,1.0,0.8556067588325642
2012-09-24,1.0,0.8632872503840234
2012-09-25,1.0,0.8621351766513045
2012-09-26,1.0,0.8529185867895533
2012-09-27,1.0,0.877496159754223
2012-09-28,1.0,0.8978494623655902
2012-10-08,1.0,0.8844086021505364
2012-10-09,1.0,0.9047619047619034
2012-10-10,1.0,0.9047619047619034
2012-10-11,1.0,0.8986175115207361
2012-10-12,1.0,0.8978494623655903
2012-10-15,1.0,0.8947772657450064
2012-10-16,1.0,0.8951612903225795
2012-10-17,1.0,0.8986175115207362
2012-10-18,0.9995,0.9097542242703524
2012-10-19,0.99900025,0.9097542242703524
2012-10-22,0.99900025,0.9132104454685089
2012-10-23,0.99900025,0.9028417818740389
2012-10-24,0.99900025,0.901305683563747
2012-10-25,0.99900025,0.8940092165898605
2012-10-26,0.99900025,0.8740399385560662
2012-10-29,0.99900025,0.8698156682027639
2012-10-30,0.99900025,0.8717357910906287
2012-10-31,0.99900025,0.8778801843317963
2012-11-01,0.99900025,0.8963133640552986
2012-11-02,0.99900025,0.8982334869431634
2012-11-05,0.99900025,0.8959293394777257
2012-11-06,0.99900025,0.8924731182795689
2012-11-07,0.99900025,0.891705069124423
2012-11-08,0.99900025,0.8755760368663584
2012-11-09,0.99900025,0.8732718894009207
2012-11-12,0.99900025,0.8763440860215045
2012-11-13,0.99900025,0.8629032258064508
2012-11-14,0.99900025,0.8652073732718885
2012-11-15,0.99900025,0.8548387096774184
2012-11-16,0.99900025,0.8467741935483861
2012-11-19,0.99900025,0.8467741935483861
2012-11-20,0.99900025,0.8444700460829484
2012-11-21,0.99900025,0.8548387096774184
2012-11-22,0.99900025,0.8498463901689701
2012-11-23,0.99900025,0.8544546850998458
2012-11-26,0.99900025,0.8490783410138242
2012-11-27,0.99900025,0.839861751152073
2012-11-28,0.99900025,0.8306451612903218
2012-11-29,0.99900025,0.8275729646697381
2012-11-30,0.99900025,0.8314132104454678
2012-12-03,0.99900025,0.8237327188940086
2012-12-04,0.99900025,0.8302611367127489
2012-12-05,0.99900025,0.8594470046082945
2012-12-06,0.99900025,0.8582949308755756
2012-12-07,0.99900025,0.8755760368663589
2012-12-10,0.99900025,0.8836405529953912
2012-12-11,0.99900025,0.8809523809523805
2012-12-12,0.99900025,0.8828725038402455
2012-12-13,0.99900025,0.8759600614439322
2012-12-14,0.998500749875,0.9201228878648232
2012-12-17,1.0014179056551025,0.9228110599078341
2012-12-18,0.985998653674562,0.9086021505376344
2012-12-19,0.9884990729146492,0.9109062980030719
2012-12-20,0.9951668575548832,0.9170506912442394
2012-12-21,0.9909994921547371,0.9132104454685099
2012-12-24,0.9918329652347664,0.9139784946236559
2012-12-25,1.019337576875731,0.9393241167434716
2012-12-26,1.0222547326558329,0.9420122887864822
2012-12-27,1.02017104995576,0.9400921658986175
2012-12-28,1.0351735653962857,0.9539170506912442
2012-12-31,1.0518430269968702,0.9692780337941629
2013-01-04,1.0543434462369576,0.9715821812596006
2013-01-07,1.056010392397016,0.9731182795698925
2013-01-08,1.0514262904568557,0.96889400921659
2013-01-09,1.0505928173768264,0.9681259600614441
2013-01-10,1.053093236616914,0.970430107526882
2013-01-11,1.037257248096359,0.9558371735791095
2013-01-14,1.0739300636176443,0.9896313364055302
2013-01-15,1.0801811117178637,0.9953917050691248
2013-01-16,1.0722631174575858,0.9880952380952384
2013-01-17,1.0655953328173522,0.9819508448540709
2013-01-18,1.0814313213379072,0.9965437788018436
2013-01-21,1.0851819501980386,1.0000000000000002
2013-01-22,1.0835150040379802,0.9984639016897083
2013-01-23,1.0855986867380532,1.0003840245775732
2013-01-24,1.0785141655578048,0.9938556067588329
2013-01-25,1.0735133270776294,0.9892473118279573
2013-01-28,1.102684884878652,1.016129032258065
2013-01-29,1.111019615678944,1.0238095238095242
2013-01-30,1.1172706637791632,1.0295698924731187
2013-01-31,1.1201878195592656,1.0322580645161297
2013-02-01,1.1418581196400253,1.0522273425499238
2013-02-04,1.1439418023400982,1.0541474654377885
2013-02-05,1.1522765331403904,1.0618279569892477
2013-02-06,1.1556104254605073,1.0649001536098315
2013-02-07,1.1501928504403174,1.0599078341013828
2013-02-08,1.1539434793004488,1.0633640552995396
2013-02-18,1.13685728115985,1.0476190476190481
2013-02-19,1.1185208733992076,1.0307219662058378
2013-02-20,1.123521711879383,1.0353302611367134
2013-02-21,1.0831195210615068,0.9984639016897088
2013-02-22,1.082219698690163,0.995391705069125
2013-02-25,1.0826706235646175,0.9969278033794168
2013-02-26,1.0782460728183052,0.9823348694316439
2013-02-27,1.0781005095984748,0.9915514592933952
2013-02-28,1.0879086354584548,1.0249615975422435
2013-03-01,1.08757847210337,1.0238095238095246
2013-03-04,1.0737002201825312,0.9754224270353311
2013-03-05,1.0820319648044987,1.0034562211981577
2013-03-06,1.0851625280092143,1.0142089093702007
2013-03-07,1.0816124317418916,1.0019201228878658
2013-03-08,1.0811646964309367,1.000384024577574
2013-03-11,1.0791476290894186,0.9934715821812606
2013-03-12,1.0749803755855132,0.9792626728110608
2013-03-13,1.0716486828369836,0.9685099846390178
2013-03-14,1.0716486828369836,0.9704301075268829
2013-03-15,1.0716486828369836,0.9711981566820287
2013-03-18,1.0716486828369836,0.9608294930875586
2013-03-19,1.0716486828369836,0.9692780337941639
2013-03-20,1.0715040102648006,0.9988479262672822
2013-03-21,1.0722826117947508,1.001536098310293
2013-03-22,1.0730596877672554,1.0042242703533037
2013-03-25,1.0726165120644682,1.0026881720430119
2013-03-26,1.0678470453064948,0.9861751152073743
2013-03-27,1.0685206871341413,0.988479262672812
2013-03-28,1.0595540799693792,0.957757296466975
2013-03-29,1.0586081986024571,0.9550691244239641
2013-04-01,1.0586081986024571,0.9535330261136722
2013-04-02,1.0586081986024571,0.955069124423964
