strategy,total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown_integral,max_drawdown,trade_count,avg_exposure,latest_holding_code,latest_holding_theme,latest_holding_name,latest_portfolio,latest_momentum,latest_exposure,drawdown_integral_definition,drawdown_integral_recomputed
regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb-1_vg31_cap08_hi06_dd02_vm16_gb02_gs05__stressbond_default,22.082941723394946,0.2514298589997314,0.1930181979471845,1.302622559291171,29.600110971005385,-0.1890166145032172,900,0.8100711764705882,159941,纳指ETF,纳指ETF广发,纳指ETF / 纳指ETF广发 (159941) 73%；沪深300 / 沪深300ETF华泰柏瑞 (510300) 27%,0.1745014245014249,1.0,full_history,False
regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb-1_vg31_cap08_hi06_dd02_vm16_gb04_gs03__stressbond_default,22.082941723394946,0.2514298589997314,0.1930181979471845,1.302622559291171,29.600110971005385,-0.1890166145032172,900,0.8100711764705882,159941,纳指ETF,纳指ETF广发,纳指ETF / 纳指ETF广发 (159941) 73%；沪深300 / 沪深300ETF华泰柏瑞 (510300) 27%,0.1745014245014249,1.0,full_history,False
regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb-1_vg31_cap08_hi06_dd02_vm16_gb04__stressbond_default,22.082941723394946,0.2514298589997314,0.1930181979471845,1.302622559291171,29.600110971005385,-0.1890166145032172,900,0.8100711764705882,159941,纳指ETF,纳指ETF广发,纳指ETF / 纳指ETF广发 (159941) 73%；沪深300 / 沪深300ETF华泰柏瑞 (510300) 27%,0.1745014245014249,1.0,full_history,False
regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb-1_vg31_cap08_hi06_dd02_vm16_gb04_gs05__stressbond_default,22.082941723394946,0.2514298589997314,0.1930181979471845,1.302622559291171,29.600110971005385,-0.1890166145032172,900,0.8100711764705882,159941,纳指ETF,纳指ETF广发,纳指ETF / 纳指ETF广发 (159941) 73%；沪深300 / 沪深300ETF华泰柏瑞 (510300) 27%,0.1745014245014249,1.0,full_history,False
regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb-1_vg31_cap08_hi06_dd02_vm16_gb06_gs03__stressbond_default,22.082941723394946,0.2514298589997314,0.1930181979471845,1.302622559291171,29.600110971005385,-0.1890166145032172,900,0.8100711764705882,159941,纳指ETF,纳指ETF广发,纳指ETF / 纳指ETF广发 (159941) 73%；沪深300 / 沪深300ETF华泰柏瑞 (510300) 27%,0.1745014245014249,1.0,full_history,False
regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb-1_vg31_cap08_hi06_dd02_vm16_gb06__stressbond_default,22.082941723394946,0.2514298589997314,0.1930181979471845,1.302622559291171,29.600110971005385,-0.1890166145032172,900,0.8100711764705882,159941,纳指ETF,纳指ETF广发,纳指ETF / 纳指ETF广发 (159941) 73%；沪深300 / 沪深300ETF华泰柏瑞 (510300) 27%,0.1745014245014249,1.0,full_history,False
regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb-1_vg31_cap08_hi06_dd02_vm16_gb06_gs05__stressbond_default,22.082941723394946,0.2514298589997314,0.1930181979471845,1.302622559291171,29.600110971005385,-0.1890166145032172,900,0.8100711764705882,159941,纳指ETF,纳指ETF广发,纳指ETF / 纳指ETF广发 (159941) 73%；沪深300 / 沪深300ETF华泰柏瑞 (510300) 27%,0.1745014245014249,1.0,full_history,False
regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb-1_vg30_cap08_hi04_dd02_vm16_gb02_gs03__stressbond_default,22.08176420119476,0.2514252976420703,0.1929987087132295,1.3027304654957816,29.59205329121253,-0.1890166145032176,900,0.8099299999999999,159941,纳指ETF,纳指ETF广发,纳指ETF / 纳指ETF广发 (159941) 73%；沪深300 / 沪深300ETF华泰柏瑞 (510300) 27%,0.1745014245014249,1.0,full_history,False
regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb-1_vg30_cap08_hi04_dd02_vm16_gb02__stressbond_default,22.08176420119476,0.2514252976420703,0.1929987087132295,1.3027304654957816,29.59205329121253,-0.1890166145032176,900,0.8099299999999999,159941,纳指ETF,纳指ETF广发,纳指ETF / 纳指ETF广发 (159941) 73%；沪深300 / 沪深300ETF华泰柏瑞 (510300) 27%,0.1745014245014249,1.0,full_history,False
regime_mix_rm511580_rm513650_volume_guard_ag28_co27_vr91_vs90_vb-1_vg30_cap08_hi04_dd02_vm16_gb02_gs05__stressbond_default,22.08176420119476,0.2514252976420703,0.1929987087132295,1.3027304654957816,29.59205329121253,-0.1890166145032176,900,0.8099299999999999,159941,纳指ETF,纳指ETF广发,纳指ETF / 纳指ETF广发 (159941) 73%；沪深300 / 沪深300ETF华泰柏瑞 (510300) 27%,0.1745014245014249,1.0,full_history,False
