批次,配置,期末净值,CAGR%,最大回撤%,最大回撤区间积分,全期累计回撤积分,交易动作数,年化换手x,Sharpe,Calmar,平均仓位,ΔCAGR(pp),Δ最大回撤(pp),ΔCalmar,回撤峰值日,回撤谷底日,回撤修复日,回撤历时(交易日)
opt3,J cut=0.85,21.102,23.75,-19.83,36.57,205.18,1338,77.6,1.109,1.198,0.835,0.28,-2.37,-0.147,2017-09-06,2018-12-06,2019-03-05,361
opt3,K MA200,19.1185,22.9,-17.45,5.92,205.56,1347,72.8,1.103,1.312,0.778,-0.57,0.0,-0.033,2024-10-08,2024-10-17,2025-02-12,85
opt3,K MA300,19.245,22.96,-19.09,31.22,200.81,1328,72.9,1.106,1.202,0.783,-0.52,-1.64,-0.143,2015-05-27,2015-12-08,2016-07-01,270
opt4,M0 基线(无止损),20.4347,23.48,-17.45,5.92,193.72,1338,72.4,1.135,1.345,0.774,0.0,0.0,0.0,2024-10-08,2024-10-17,2025-02-12,85
opt4,M 回撤5%→×0.5,6.7124,14.23,-17.76,13.27,237.89,1492,58.1,0.831,0.801,0.59,-9.24,-0.31,-0.544,2020-01-22,2020-03-19,2020-07-08,109
opt4,M 回撤8%→×0.5,9.1065,16.69,-16.96,11.74,234.78,1439,63.3,0.89,0.984,0.665,-6.78,0.49,-0.361,2020-09-03,2020-09-25,2021-01-22,95
opt4,M 回撤12%→×0.5,14.9564,20.81,-16.76,34.19,218.86,1389,69.6,1.035,1.242,0.739,-2.66,0.69,-0.103,2017-09-06,2018-12-14,2019-03-12,366
opt4,M 回撤8%→×0.0,3.9034,9.99,-23.69,33.49,344.42,1000,54.9,0.552,0.421,0.556,-13.49,-6.24,-0.924,2025-11-03,2026-06-15,未修复,217
opt4,N lookback=20,8.6437,16.27,-22.54,39.37,296.97,1466,79.5,0.808,0.722,0.759,-7.21,-5.08,-0.623,2021-05-31,2022-01-27,2022-09-28,327
opt4,N lookback=30,6.8313,14.37,-22.43,47.53,278.06,1246,67.6,0.689,0.641,0.784,-9.1,-4.98,-0.704,2017-09-06,2018-05-23,2019-04-03,382
opt4,N lookback=35,8.4397,16.08,-24.0,84.78,293.38,1078,58.3,0.756,0.67,0.792,-7.4,-6.55,-0.675,2020-09-03,2020-12-08,2023-06-13,672
opt4,L1 空仓计息1.8%,21.6144,23.96,-17.45,5.91,187.26,1338,72.4,1.159,1.373,0.774,0.49,0.0,0.028,2024-10-08,2024-10-17,2025-02-12,85
opt4,L2 空仓计息1.8%+cut0.6,21.7442,24.01,-17.45,5.86,190.3,1338,73.9,1.151,1.376,0.792,0.54,0.0,0.031,2024-10-08,2024-10-17,2025-02-12,85
