version,annualized_return,max_drawdown,sharpe_rf0,trigger_days,avg_exposure,drawdown_integral,end_nav,trade_count,latest_portfolio
threshold_weak_vol_scale,0.2137765388694346,-0.25350949628406283,0.9061941690805809,168,0.8270210356115841,241.80055168596857,15.990342460213434,811,豆粕 / 豆粕ETF (159985) 100%
threshold_panic_rebound_cap,0.2117081045953384,-0.25350949628406294,0.8876531653140789,9,0.8353634013214594,243.37739485337443,15.604844697211183,696,豆粕 / 豆粕ETF (159985) 100%
pct97_decay_rsi,0.21120409217306002,-0.28401336582524483,0.8551816038960498,112,0.9767308244757253,339.5609147381368,15.512229931916064,571,豆粕 / 豆粕ETF (159985) 100%
threshold_dual_5pct,0.21090298914688344,-0.25350949628406283,0.8838683491808109,953,0.8366561332950302,243.9961238693889,15.457144983683392,692,豆粕 / 豆粕ETF (159985) 100%
threshold_dual_cash_00pct,0.21090298914688344,-0.25350949628406283,0.8838683491808109,378,0.8366561332950302,243.9961238693889,15.457144983683392,692,豆粕 / 豆粕ETF (159985) 100%
threshold_dual_cash_01pct,0.2094004268073586,-0.25350949628406283,0.879836474059785,478,0.8108589485779949,236.2944251663923,15.184969358508425,710,豆粕 / 豆粕ETF (159985) 100%
v8acc7b6_ref,0.20788272430410726,-0.20966745851374324,1.001114644934386,0,0.816042516518242,227.9900738824289,14.914581802378578,960,豆粕 / 豆粕ETF (159985) 100%
boll_rsi_rollover_cap,0.20257836071441937,-0.2903197548495504,0.826268987143761,201,0.9639471416259695,333.4164343225144,14.004350395411159,600,豆粕 / 豆粕ETF (159985) 100%
simple_baseline,0.20042547346603157,-0.28401336582524495,0.7921232432363746,0,0.9928181557023844,348.04284118410123,13.649876825866837,482,豆粕 / 豆粕ETF (159985) 100%
boll_squeeze_breakout_confirm,0.19818776078610711,-0.28188492296915846,0.7965589391787504,445,0.9544671071531169,345.23840841257845,13.290294804198444,579,豆粕 / 豆粕ETF (159985) 100%
state_squeeze_breakout_rollover,0.1976296699672,-0.28821005925497045,0.8591111404372915,945,0.908445848893996,310.7377097216531,13.201997331383069,846,豆粕 / 豆粕ETF (159985) 100%
downside_vol_scale_20pct,0.19718014994133526,-0.2830995632316612,0.8175377527669139,239,0.974427441833619,315.8316622465445,13.13127428262377,638,豆粕 / 豆粕ETF (159985) 100%
threshold_combo_guard,0.19692802537085874,-0.25350949628406294,0.9018768046388528,1262,0.7028379778701027,218.4458892604755,13.091761899011978,880,豆粕 / 豆粕ETF (159985) 100%
pct97_decay_quality,0.19662078991443677,-0.2840133658252453,0.7822210841698648,53,0.9852054007469118,346.5834401884658,13.04376215156655,530,豆粕 / 豆粕ETF (159985) 100%
threshold_trend_consistency,0.19314675623907984,-0.25350949628406294,0.873719715885411,1116,0.7115369146796896,221.3494157948724,12.512279832343147,775,豆粕 / 豆粕ETF (159985) 100%
pct97_99_floor80,0.1918324985005242,-0.2840133658252446,0.8020862240347835,530,0.9701160269730464,340.6946112999141,12.316520757843332,882,豆粕 / 豆粕ETF (159985) 100%
pct97_99_floor70,0.18725748837436273,-0.2840133658252446,0.8034508835858188,530,0.9587649626083773,337.7020526276516,11.657066973172943,882,豆粕 / 豆粕ETF (159985) 100%
regime_dualcore_5pct,0.18167740619115924,-0.21886395730682906,0.8129733547832775,1016,0.8348302212008043,256.83757826723576,10.89720980140046,845,豆粕 / 豆粕ETF (159985) 100%
vol_scale_20pct,0.17838900834728966,-0.2794699879564677,0.9222081309090445,1442,0.8784566496448452,260.6954267827959,10.471262823003041,1740,豆粕 / 豆粕ETF (159985) 67%
