peak_date,start_date,trough_date,end_date,peak_to_trough_days,recovery_days,total_days,max_drawdown,strategy_peak_to_trough_return,hs300_peak_to_trough_return,peak_holding,trough_holding,recovery_holding,switches_in_episode,trade_actions_in_episode,top_holdings,worst_assets_peak_to_trough,recovered
2020-08-03,2020-08-04,2020-08-20,2020-08-28,13,6,19,-0.09625963958020556,-0.09625963958020556,-0.016994818652849575,创业板50(159949),纳指ETF(159941),纳指ETF(159941),5,10,纳指ETF(159941) 45.0%; 创业板50(159949) 35.0%; 红利低波ETF(512890) 12.0%,创业板50(159949) -11.0%; 黄金ETF(518880) -2.7%; 沪深300(510300) -1.7%,True
2023-02-01,2023-02-02,2023-03-10,2023-06-02,27,56,83,-0.09574490263025226,-0.09574490263025226,-0.05465393794749429,创业板50(159949),红利低波ETF(512890),纳指ETF(159941),30,52,纳指ETF(159941) 38.6%; 红利低波ETF(512890) 24.8%; 创业板50(159949) 9.5%,H股(159954) -11.4%; 创业板50(159949) -11.2%; 沪深300(510300) -5.5%,True
2020-07-13,2020-07-14,2020-07-16,2020-08-03,3,12,15,-0.08136950173951896,-0.08136950173951896,-0.06734902763561912,创业板50(159949),创业板50(159949),创业板50(159949),1,1,创业板50(159949) 96.4%,纳指ETF(159941) -9.9%; 创业板50(159949) -8.9%; 沪深300(510300) -6.7%,True
2024-07-11,2024-07-12,2024-09-23,2024-09-27,50,4,54,-0.07980881777510629,-0.07980881777510629,-0.06440581362211317,纳指ETF(159941),H股(159954),创业板50(159949),18,27,黄金ETF(518880) 54.9%; 纳指ETF(159941) 10.9%; 日经ETF(513880) 7.3%,创业板50(159949) -7.8%; 红利低波ETF(512890) -7.2%; 纳指ETF(159941) -6.8%,True
2025-10-09,2025-10-10,2025-10-14,2025-10-27,3,9,12,-0.07616319936870819,-0.07616319936870819,-0.03550664451827246,创业板50(159949),日经ETF(513880),日经ETF(513880),4,5,日经ETF(513880) 66.8%; 创业板50(159949) 15.4%,创业板50(159949) -10.4%; H股(159954) -4.6%; 沪深300(510300) -3.6%,True
2016-03-08,2016-03-09,2016-05-30,2016-06-27,57,18,75,-0.07608173378196592,-0.07608173378196592,-0.009702457956016097,沪深300(510300),黄金ETF(518880),黄金ETF(518880),15,27,黄金ETF(518880) 64.5%; 沪深300(510300) 22.4%,黄金ETF(518880) -4.1%; 沪深300(510300) -1.0%; 纳指ETF(159941) 4.2%,True
2019-03-12,2019-03-13,2019-03-28,2019-04-01,12,2,14,-0.07528641571194761,-0.07528641571194761,-0.00481927710843344,创业板50(159949),创业板50(159949),创业板50(159949),0,0,创业板50(159949) 100.0%,创业板50(159949) -7.5%; H股(159954) -0.5%; 沪深300(510300) -0.5%,True
2021-04-30,2021-05-06,2021-05-14,2021-05-31,7,11,18,-0.07314979030804147,-0.07314979030804147,-0.0001950078003122302,创业板50(159949),创业板50(159949),创业板50(159949),2,4,创业板50(159949) 94.7%; 豆粕(159985) 4.2%,纳指ETF(159941) -5.3%; H股(159954) -4.1%; 日经ETF(513880) -3.4%,True
2021-01-22,2021-01-25,2021-01-29,2021-02-09,5,7,12,-0.07187718073970673,-0.07187718073970673,-0.038993710691824,创业板50(159949),创业板50(159949),创业板50(159949),0,0,创业板50(159949) 100.0%,创业板50(159949) -7.2%; 日经ETF(513880) -4.2%; 沪深300(510300) -3.9%,True
2019-04-03,2019-04-04,2019-05-09,2019-06-20,22,29,51,-0.07018525938981912,-0.07018525938981912,-0.10161892901618952,创业板50(159949),黄金ETF(518880),黄金ETF(518880),16,22,黄金ETF(518880) 50.9%; 纳指ETF(159941) 21.2%; 沪深300(510300) 15.4%,创业板50(159949) -18.4%; 沪深300(510300) -10.2%; 红利低波ETF(512890) -10.1%,True
2019-09-09,2019-09-10,2019-11-22,2019-12-16,48,16,64,-0.06931435785917983,-0.06931435785917983,-0.03195442160019857,创业板50(159949),红利低波ETF(512890),创业板50(159949),27,50,红利低波ETF(512890) 33.2%; 创业板50(159949) 27.4%; 日经ETF(513880) 13.8%,黄金ETF(518880) -4.5%; 沪深300(510300) -3.2%; 创业板50(159949) -2.4%,True
2015-04-27,2015-04-28,2015-05-07,2015-05-21,7,10,17,-0.06854754440961386,-0.06854754440961386,-0.06854754440961386,沪深300(510300),沪深300(510300),沪深300(510300),0,0,沪深300(510300) 100.0%,沪深300(510300) -6.9%; 黄金ETF(518880) -0.8%,True
2022-07-07,2022-07-08,2022-07-12,2022-07-29,3,13,16,-0.060126582278481,-0.060126582278481,-0.025962399283796067,创业板50(159949),创业板50(159949),纳指ETF(159941),1,2,创业板50(159949) 52.9%; 纳指ETF(159941) 47.1%,创业板50(159949) -6.0%; H股(159954) -3.9%; 沪深300(510300) -2.6%,True
2020-06-10,2020-06-11,2020-06-15,2020-06-30,3,9,12,-0.0562442396313364,-0.0562442396313364,-0.020792079207921033,日经ETF(513880),创业板50(159949),创业板50(159949),5,8,创业板50(159949) 52.3%; 日经ETF(513880) 46.2%,纳指ETF(159941) -6.1%; 日经ETF(513880) -5.5%; H股(159954) -4.6%,True
2025-03-18,2025-03-19,2025-03-25,2025-04-11,5,12,17,-0.05467592067988669,-0.05467592067988669,-0.018035583719229642,H股(159954),黄金ETF(518880),黄金ETF(518880),5,6,黄金ETF(518880) 66.7%; H股(159954) 27.8%,H股(159954) -5.4%; 创业板50(159949) -3.7%; 沪深300(510300) -1.8%,True
2014-12-19,2014-12-22,2014-12-24,2014-12-26,3,2,5,-0.054164239953407134,-0.054164239953407134,-0.054164239953407245,沪深300(510300),沪深300(510300),沪深300(510300),0,0,沪深300(510300) 100.0%,沪深300(510300) -5.4%; 黄金ETF(518880) -1.5%,True
2026-05-13,2026-05-14,2026-05-21,2026-05-25,6,2,8,-0.0507690610703041,-0.0507690610703041,-0.04165836157066005,创业板50(159949),纳指ETF(159941),纳指ETF(159941),4,5,创业板50(159949) 64.4%; 纳指ETF(159941) 31.1%,创业板50(159949) -5.3%; H股(159954) -5.3%; 沪深300(510300) -4.2%,True
2025-09-03,2025-09-04,2025-09-04,2025-09-05,1,1,2,-0.04800590841949792,-0.04800590841949792,-0.020444053638162263,创业板50(159949),创业板50(159949),创业板50(159949),0,0,创业板50(159949) 100.0%,创业板50(159949) -4.8%; 沪深300(510300) -2.0%; 豆粕(159985) -1.6%,True
2019-03-06,2019-03-07,2019-03-08,2019-03-12,2,2,4,-0.04597701149425293,-0.04597701149425293,-0.045371577574967015,创业板50(159949),创业板50(159949),创业板50(159949),0,0,创业板50(159949) 100.0%,创业板50(159949) -4.6%; 沪深300(510300) -4.5%; 红利低波ETF(512890) -4.1%,True
2025-02-26,2025-02-27,2025-03-04,2025-03-06,4,2,6,-0.04492187500000011,-0.04492187500000011,-0.018993586581154576,H股(159954),H股(159954),H股(159954),0,0,H股(159954) 100.0%,H股(159954) -4.5%; 创业板50(159949) -3.9%; 纳指ETF(159941) -3.1%,True
2025-09-05,2025-09-08,2025-09-09,2025-09-11,2,2,4,-0.04160688665710177,-0.04160688665710177,-0.005709266578832084,创业板50(159949),创业板50(159949),创业板50(159949),0,0,创业板50(159949) 100.0%,创业板50(159949) -4.2%; 沪深300(510300) -0.6%; 十年国债ETF(511260) -0.1%,True
2022-12-09,2022-12-12,2022-12-26,2023-01-05,11,7,18,-0.04118671765476922,-0.04118671765476922,-0.03893543617545592,H股(159954),H股(159954),H股(159954),2,4,H股(159954) 89.5%; 豆粕(159985) 8.4%,红利低波ETF(512890) -5.6%; 纳指ETF(159941) -4.0%; 沪深300(510300) -3.9%,True
2025-07-29,2025-07-30,2025-08-01,2025-08-13,3,8,11,-0.03944954128440381,-0.03944954128440381,-0.02408500590318774,创业板50(159949),创业板50(159949),创业板50(159949),0,0,创业板50(159949) 100.0%,创业板50(159949) -3.9%; 沪深300(510300) -2.4%; H股(159954) -2.0%,True
2019-08-13,2019-08-14,2019-08-26,2019-09-09,9,10,19,-0.039012261517749836,-0.039012261517749836,0.029538131041890292,黄金ETF(518880),创业板50(159949),创业板50(159949),6,11,创业板50(159949) 59.0%; 黄金ETF(518880) 32.0%,十年国债ETF(511260) -0.3%; 日经ETF(513880) 0.1%; 纳指ETF(159941) 0.6%,True
2023-07-31,2023-08-01,2023-08-08,2023-08-21,6,9,15,-0.03827811082393706,-0.03827811082393706,-0.008814887365327984,H股(159954),豆粕(159985),豆粕(159985),8,14,豆粕(159985) 58.8%; 沪深300(510300) 12.5%; H股(159954) 8.9%,H股(159954) -4.2%; 纳指ETF(159941) -2.7%; 日经ETF(513880) -2.6%,True
2019-07-02,2019-07-03,2019-07-22,2019-08-07,14,12,26,-0.0381089083997842,-0.0381089083997842,-0.03232323232323242,沪深300(510300),创业板50(159949),黄金ETF(518880),14,26,纳指ETF(159941) 37.0%; 创业板50(159949) 25.9%; 黄金ETF(518880) 18.5%,创业板50(159949) -4.4%; 沪深300(510300) -3.2%; 红利低波ETF(512890) -1.6%,True
2017-04-14,2017-04-17,2017-05-10,2017-06-07,17,18,35,-0.03794141424128372,-0.03794141424128372,-0.04275466284074614,黄金ETF(518880),黄金ETF(518880),黄金ETF(518880),6,8,黄金ETF(518880) 74.4%; 纳指ETF(159941) 8.3%,创业板50(159949) -5.9%; 黄金ETF(518880) -4.7%; 沪深300(510300) -4.3%,True
2017-06-29,2017-06-30,2017-08-24,2017-09-01,40,6,46,-0.03567621199940729,-0.03567621199940729,0.027913279132790736,沪深300(510300),创业板50(159949),创业板50(159949),9,17,黄金ETF(518880) 37.4%; 创业板50(159949) 27.2%; 沪深300(510300) 25.5%,创业板50(159949) -1.2%; 纳指ETF(159941) -0.6%; 黄金ETF(518880) 0.4%,True
2019-12-17,2019-12-18,2019-12-23,2020-01-02,4,7,11,-0.03500761035007616,-0.03500761035007616,-0.01929737753587335,创业板50(159949),创业板50(159949),创业板50(159949),2,4,创业板50(159949) 91.7%; 红利低波ETF(512890) 6.7%,创业板50(159949) -3.5%; 沪深300(510300) -1.9%; 红利低波ETF(512890) -1.1%,True
2025-03-07,2025-03-10,2025-03-13,2025-03-17,4,2,6,-0.034782608695652306,-0.034782608695652306,-0.008417925229016965,H股(159954),H股(159954),H股(159954),0,0,H股(159954) 100.0%,纳指ETF(159941) -4.6%; H股(159954) -3.5%; 创业板50(159949) -1.7%,True
2025-04-22,2025-04-23,2025-05-13,2025-05-21,12,6,18,-0.0320090289520325,-0.0320090289520325,0.029912325941206186,黄金ETF(518880),纳指ETF(159941),创业板50(159949),5,8,黄金ETF(518880) 44.3%; 纳指ETF(159941) 26.3%; 创业板50(159949) 10.5%,黄金ETF(518880) -8.1%; 豆粕(159985) -3.7%; 十年国债ETF(511260) 0.0%,True
2016-07-11,2016-07-12,2016-07-22,2016-08-02,9,7,16,-0.03182525072522213,-0.03182525072522213,0.012673879443585445,黄金ETF(518880),纳指ETF(159941),纳指ETF(159941),2,4,纳指ETF(159941) 58.8%; 黄金ETF(518880) 23.5%; 沪深300(510300) 11.8%,黄金ETF(518880) -3.3%; 沪深300(510300) 1.3%; 纳指ETF(159941) 2.8%,True
2023-08-21,2023-08-22,2023-08-23,2023-08-28,2,3,5,-0.031156636790439673,-0.031156636790439673,-0.008421052631578885,豆粕(159985),豆粕(159985),豆粕(159985),1,1,豆粕(159985) 96.7%,豆粕(159985) -3.1%; 创业板50(159949) -2.6%; 沪深300(510300) -0.8%,True
2021-01-12,2021-01-13,2021-01-14,2021-01-20,2,4,6,-0.03037037037037027,-0.03037037037037027,-0.022053634438955583,创业板50(159949),创业板50(159949),创业板50(159949),0,0,创业板50(159949) 100.0%,创业板50(159949) -3.0%; 沪深300(510300) -2.2%; 黄金ETF(518880) -0.9%,True
2023-07-19,2023-07-20,2023-07-21,2023-07-27,2,4,6,-0.029413127853881393,-0.029413127853881393,-0.00663942798774253,纳指ETF(159941),豆粕(159985),豆粕(159985),1,2,豆粕(159985) 57.1%; 纳指ETF(159941) 28.6%,日经ETF(513880) -3.2%; 纳指ETF(159941) -2.9%; 创业板50(159949) -0.9%,True
2024-06-20,2024-06-21,2024-06-25,2024-07-03,3,6,9,-0.027978339350180792,-0.027978339350180792,-0.012492901760363218,纳指ETF(159941),纳指ETF(159941),纳指ETF(159941),0,0,纳指ETF(159941) 100.0%,创业板50(159949) -3.7%; 纳指ETF(159941) -2.8%; H股(159954) -1.5%,True
2017-06-07,2017-06-08,2017-06-16,2017-06-23,7,5,12,-0.027560756301370448,-0.027560756301370448,-0.001977401129943379,黄金ETF(518880),沪深300(510300),沪深300(510300),2,3,沪深300(510300) 83.1%; 黄金ETF(518880) 12.3%,纳指ETF(159941) -2.8%; 黄金ETF(518880) -2.4%; 沪深300(510300) -0.2%,True
2022-03-14,2022-03-15,2022-03-15,2022-03-18,1,3,4,-0.02647783251231539,-0.02647783251231539,-0.047698945349952004,豆粕(159985),豆粕(159985),豆粕(159985),1,1,豆粕(159985) 96.0%,H股(159954) -7.1%; 红利低波ETF(512890) -5.7%; 沪深300(510300) -4.8%,True
2025-06-30,2025-07-01,2025-07-02,2025-07-08,2,4,6,-0.026428192241006787,-0.026428192241006787,0.0025113008538422132,日经ETF(513880),创业板50(159949),创业板50(159949),1,2,创业板50(159949) 85.7%; 日经ETF(513880) 14.3%,创业板50(159949) -1.7%; 日经ETF(513880) -1.6%; 纳指ETF(159941) -0.5%,True
2023-08-29,2023-08-30,2023-09-04,2023-09-07,4,3,7,-0.025842946530392652,-0.025842946530392652,0.01580720393884394,豆粕(159985),豆粕(159985),豆粕(159985),6,6,豆粕(159985) 90.0%,豆粕(159985) -2.9%; 十年国债ETF(511260) -0.3%; 创业板50(159949) -0.1%,True
2025-09-25,2025-09-26,2025-09-26,2025-09-29,1,1,2,-0.024836601307189565,-0.024836601307189565,-0.00937167199148048,创业板50(159949),创业板50(159949),创业板50(159949),0,0,创业板50(159949) 100.0%,创业板50(159949) -2.5%; 沪深300(510300) -0.9%; H股(159954) -0.7%,True
2026-06-22,2026-06-23,2026-06-23,2026-06-25,1,2,3,-0.02478457453914662,-0.02478457453914662,-0.02926733451188357,日经ETF(513880),日经ETF(513880),日经ETF(513880),2,2,日经ETF(513880) 85.6%,日经ETF(513880) -5.8%; 创业板50(159949) -4.0%; H股(159954) -3.8%,True
2022-06-28,2022-06-29,2022-06-29,2022-07-07,1,6,7,-0.02478017585931247,-0.02478017585931247,-0.012187015289164438,创业板50(159949),创业板50(159949),创业板50(159949),0,0,创业板50(159949) 100.0%,纳指ETF(159941) -3.3%; 创业板50(159949) -2.5%; H股(159954) -2.1%,True
2022-08-05,2022-08-08,2022-08-10,2022-08-11,3,1,4,-0.02456647398843914,-0.02456647398843914,-0.012328117591275611,纳指ETF(159941),纳指ETF(159941),纳指ETF(159941),0,0,纳指ETF(159941) 100.0%,H股(159954) -4.0%; 日经ETF(513880) -2.6%; 纳指ETF(159941) -2.5%,True
2025-05-29,2025-05-30,2025-06-13,2025-06-27,10,10,20,-0.02345493311036717,-0.02345493311036717,0.0035300050428643814,纳指ETF(159941),红利低波ETF(512890),日经ETF(513880),6,12,纳指ETF(159941) 52.4%; 红利低波ETF(512890) 15.2%; 豆粕(159985) 11.4%,纳指ETF(159941) -2.3%; 日经ETF(513880) -0.4%; 沪深300(510300) 0.4%,True
2023-06-16,2023-06-19,2023-06-27,2023-07-03,5,4,9,-0.02289156626506028,-0.02289156626506028,-0.02764513696908777,纳指ETF(159941),纳指ETF(159941),纳指ETF(159941),0,0,纳指ETF(159941) 100.0%,日经ETF(513880) -3.9%; 创业板50(159949) -3.7%; H股(159954) -3.5%,True
2025-05-21,2025-05-22,2025-05-23,2025-05-29,2,4,6,-0.02274102285092483,-0.02274102285092483,-0.00771336153271962,创业板50(159949),纳指ETF(159941),纳指ETF(159941),1,2,纳指ETF(159941) 71.4%; 创业板50(159949) 28.6%,创业板50(159949) -2.2%; H股(159954) -1.1%; 纳指ETF(159941) -1.0%,True
2023-06-07,2023-06-08,2023-06-08,2023-06-12,1,2,3,-0.02267002518891692,-0.02267002518891692,0.008429926238145313,纳指ETF(159941),纳指ETF(159941),纳指ETF(159941),0,0,纳指ETF(159941) 100.0%,纳指ETF(159941) -2.3%; 日经ETF(513880) -1.0%; 黄金ETF(518880) -0.6%,True
2022-03-09,2022-03-10,2022-03-10,2022-03-14,1,2,3,-0.020295024630542002,-0.020295024630542002,0.014204545454545636,豆粕(159985),豆粕(159985),豆粕(159985),1,1,豆粕(159985) 95.0%,黄金ETF(518880) -3.2%; 豆粕(159985) -2.5%; 十年国债ETF(511260) 0.2%,True
2023-01-05,2023-01-06,2023-01-12,2023-01-30,5,7,12,-0.019862702040163827,-0.019862702040163827,0.0131546289401836,H股(159954),H股(159954),创业板50(159949),4,8,创业板50(159949) 46.2%; H股(159954) 38.5%; 豆粕(159985) 12.3%,H股(159954) -2.1%; 红利低波ETF(512890) -0.5%; 十年国债ETF(511260) -0.2%,True
2021-01-07,2021-01-08,2021-01-11,2021-01-12,2,1,3,-0.019337541594136587,-0.019337541594136587,-0.01625290230398302,创业板50(159949),创业板50(159949),创业板50(159949),1,1,创业板50(159949) 85.6%,黄金ETF(518880) -3.2%; 创业板50(159949) -2.2%; 沪深300(510300) -1.6%,True
2025-02-24,2025-02-25,2025-02-25,2025-02-26,1,1,2,-0.018905472636815857,-0.018905472636815857,-0.010093549975381477,H股(159954),H股(159954),H股(159954),0,0,H股(159954) 100.0%,H股(159954) -1.9%; 纳指ETF(159941) -1.6%; 创业板50(159949) -1.3%,True
2017-02-27,2017-02-28,2017-03-10,2017-03-17,9,5,14,-0.018463658170228436,-0.018463658170228436,-0.005232558139534715,创业板50(159949),黄金ETF(518880),黄金ETF(518880),4,8,黄金ETF(518880) 42.7%; 纳指ETF(159941) 40.0%; 创业板50(159949) 6.7%,黄金ETF(518880) -3.4%; 沪深300(510300) -0.5%; 纳指ETF(159941) 0.1%,True
2023-07-03,2023-07-04,2023-07-10,2023-07-13,5,3,8,-0.017793594306049876,-0.017793594306049876,-0.010949834479246023,纳指ETF(159941),纳指ETF(159941),纳指ETF(159941),0,0,纳指ETF(159941) 100.0%,H股(159954) -4.8%; 日经ETF(513880) -3.7%; 豆粕(159985) -2.1%,True
2013-01-07,2013-01-08,2013-01-11,2013-01-14,4,1,5,-0.017758484609313174,-0.017758484609313174,-0.017758484609312952,沪深300(510300),沪深300(510300),沪深300(510300),0,0,沪深300(510300) 100.0%,沪深300(510300) -1.8%,True
2015-04-17,2015-04-20,2015-04-20,2015-04-21,1,1,2,-0.017527450980392212,-0.017527450980392212,-0.021786492374727517,沪深300(510300),沪深300(510300),沪深300(510300),2,2,沪深300(510300) 93.3%,沪深300(510300) -2.2%; 黄金ETF(518880) 0.9%,True
2025-09-17,2025-09-18,2025-09-18,2025-09-24,1,4,5,-0.016891891891891886,-0.016891891891891886,-0.012679991403395485,创业板50(159949),创业板50(159949),创业板50(159949),0,0,创业板50(159949) 100.0%,H股(159954) -2.0%; 红利低波ETF(512890) -1.9%; 创业板50(159949) -1.7%,True
