peak_date,start_date,trough_date,end_date,peak_to_trough_days,recovery_days,total_days,max_drawdown,strategy_peak_to_trough_return,hs300_peak_to_trough_return,peak_holding,trough_holding,recovery_holding,switches_in_episode,trade_actions_in_episode,top_holdings,worst_assets_peak_to_trough,recovered
2019-04-01,2019-04-02,2019-04-02,2019-04-03,1,1,2,-0.008116883116882967,-0.008116883116882967,-0.0017636684303351524,创业板50(159949),创业板50(159949),创业板50(159949),0,0,创业板50(159949) 100.0%,创业板50(159949) -0.8%; 十年国债ETF(511260) -0.3%; 沪深300(510300) -0.2%,True
2024-07-09,2024-07-10,2024-07-10,2024-07-11,1,1,2,-0.00775862068965516,-0.00775862068965516,-0.002304811293575293,纳指ETF(159941),纳指ETF(159941),纳指ETF(159941),0,0,纳指ETF(159941) 100.0%,红利低波ETF(512890) -2.0%; 豆粕(159985) -1.1%; 纳指ETF(159941) -0.8%,True
2020-01-13,2020-01-14,2020-01-15,2020-01-20,2,3,5,-0.007082152974504319,-0.007082152974504319,-0.011899095668729265,创业板50(159949),创业板50(159949),创业板50(159949),0,0,创业板50(159949) 100.0%,沪深300(510300) -1.2%; H股(159954) -0.8%; 日经ETF(513880) -0.8%,True
2012-12-17,2012-12-18,2012-12-18,2012-12-20,1,2,3,-0.006792281467176364,-0.006792281467176364,-0.015397419891801878,沪深300(510300),沪深300(510300),沪深300(510300),1,1,沪深300(510300) 85.6%,沪深300(510300) -1.5%,True
2025-08-13,2025-08-14,2025-08-14,2025-08-15,1,1,2,-0.006178287731685939,-0.006178287731685939,-0.0016420361247947435,创业板50(159949),创业板50(159949),创业板50(159949),0,0,创业板50(159949) 100.0%,日经ETF(513880) -0.9%; 创业板50(159949) -0.6%; 豆粕(159985) -0.3%,True
2025-08-20,2025-08-21,2025-08-21,2025-08-22,1,1,2,-0.006124502092050288,-0.006124502092050288,0.0032080659945004086,创业板50(159949),创业板50(159949),创业板50(159949),2,2,创业板50(159949) 86.7%,豆粕(159985) -1.4%; 日经ETF(513880) -0.9%; H股(159954) -0.9%,True
2017-06-27,2017-06-28,2017-06-28,2017-06-29,1,1,2,-0.005515109666937357,-0.005515109666937357,-0.006769564040075782,沪深300(510300),沪深300(510300),沪深300(510300),1,1,沪深300(510300) 93.3%,纳指ETF(159941) -2.1%; 创业板50(159949) -0.8%; 沪深300(510300) -0.7%,True
2016-07-07,2016-07-08,2016-07-08,2016-07-11,1,1,2,-0.0054495912806541424,-0.0054495912806541424,-0.003704847175054149,黄金ETF(518880),黄金ETF(518880),黄金ETF(518880),1,2,黄金ETF(518880) 80.0%,黄金ETF(518880) -0.7%; 沪深300(510300) -0.4%; 纳指ETF(159941) 0.6%,True
2025-02-10,2025-02-11,2025-02-11,2025-02-12,1,1,2,-0.005240174672489051,-0.005240174672489051,-0.004008016032064132,H股(159954),H股(159954),H股(159954),1,1,H股(159954) 80.0%,创业板50(159949) -1.6%; H股(159954) -0.7%; 沪深300(510300) -0.4%,True
2019-08-09,2019-08-12,2019-08-12,2019-08-13,1,1,2,-0.004936820452541846,-0.004936820452541846,0.015958885582905147,黄金ETF(518880),黄金ETF(518880),黄金ETF(518880),1,1,黄金ETF(518880) 80.0%,黄金ETF(518880) -0.6%; 十年国债ETF(511260) -0.1%; 日经ETF(513880) 0.0%,True
2014-12-26,2014-12-29,2014-12-29,2014-12-31,1,2,3,-0.00486130969402343,-0.00486130969402343,-0.00486130969402343,沪深300(510300),沪深300(510300),沪深300(510300),0,0,沪深300(510300) 100.0%,沪深300(510300) -0.5%; 黄金ETF(518880) 0.8%,True
2016-08-09,2016-08-10,2016-08-10,2016-08-12,1,2,3,-0.0047483380816712994,-0.0047483380816712994,-0.003026634382566562,纳指ETF(159941),纳指ETF(159941),纳指ETF(159941),0,0,纳指ETF(159941) 100.0%,创业板50(159949) -0.5%; 纳指ETF(159941) -0.5%; 沪深300(510300) -0.3%,True
2015-04-22,2015-04-23,2015-04-24,2015-04-27,2,1,3,-0.004670912951167838,-0.004670912951167838,-0.004670912951167727,沪深300(510300),沪深300(510300),沪深300(510300),0,0,沪深300(510300) 100.0%,黄金ETF(518880) -0.5%; 沪深300(510300) -0.5%,True
2022-08-01,2022-08-02,2022-08-02,2022-08-04,1,2,3,-0.004464285714285698,-0.004464285714285698,-0.016753185464841835,纳指ETF(159941),纳指ETF(159941),纳指ETF(159941),0,0,纳指ETF(159941) 100.0%,H股(159954) -2.6%; 红利低波ETF(512890) -2.0%; 创业板50(159949) -1.9%,True
2017-03-20,2017-03-21,2017-03-21,2017-03-22,1,1,2,-0.004338394793926281,-0.004338394793926281,0.006974716652136115,黄金ETF(518880),黄金ETF(518880),黄金ETF(518880),0,0,黄金ETF(518880) 80.0%,黄金ETF(518880) -0.5%; 纳指ETF(159941) 0.2%; 创业板50(159949) 0.2%,True
2012-12-20,2012-12-21,2012-12-21,2012-12-25,1,2,3,-0.0041876046901171415,-0.0041876046901171415,-0.0041876046901171415,沪深300(510300),沪深300(510300),沪深300(510300),0,0,沪深300(510300) 100.0%,沪深300(510300) -0.4%,True
2025-07-11,2025-07-14,2025-07-14,2025-07-15,1,1,2,-0.004028197381671594,-0.004028197381671594,-0.0002451581269915515,创业板50(159949),创业板50(159949),创业板50(159949),0,0,创业板50(159949) 100.0%,纳指ETF(159941) -0.7%; 日经ETF(513880) -0.6%; 创业板50(159949) -0.4%,True
2025-07-15,2025-07-16,2025-07-16,2025-07-17,1,1,2,-0.003960396039603853,-0.003960396039603853,-0.002206964198136374,创业板50(159949),创业板50(159949),创业板50(159949),0,0,创业板50(159949) 100.0%,日经ETF(513880) -0.9%; 纳指ETF(159941) -0.6%; 红利低波ETF(512890) -0.5%,True
2016-06-29,2016-06-30,2016-06-30,2016-07-01,1,1,2,-0.003392226148409838,-0.003392226148409838,0.0015842839036757095,黄金ETF(518880),黄金ETF(518880),黄金ETF(518880),0,0,黄金ETF(518880) 80.0%,黄金ETF(518880) -0.4%; 沪深300(510300) 0.2%; 纳指ETF(159941) 1.8%,True
2016-06-27,2016-06-28,2016-06-28,2016-06-29,1,1,2,-0.0031117397454031304,-0.0031117397454031304,0.0051183621241202015,黄金ETF(518880),黄金ETF(518880),黄金ETF(518880),0,0,黄金ETF(518880) 80.0%,纳指ETF(159941) -1.0%; 黄金ETF(518880) -0.4%; 沪深300(510300) 0.5%,True
2020-01-02,2020-01-03,2020-01-03,2020-01-06,1,1,2,-0.002971768202080227,-0.002971768202080227,-0.002410219329959107,创业板50(159949),创业板50(159949),创业板50(159949),0,0,创业板50(159949) 100.0%,红利低波ETF(512890) -0.4%; 豆粕(159985) -0.4%; 创业板50(159949) -0.3%,True
2025-07-24,2025-07-25,2025-07-25,2025-07-28,1,1,2,-0.002835538752363087,-0.002835538752363087,-0.0052071005917158075,创业板50(159949),创业板50(159949),创业板50(159949),0,0,创业板50(159949) 100.0%,日经ETF(513880) -1.4%; H股(159954) -1.3%; 红利低波ETF(512890) -0.7%,True
2025-10-29,2025-10-30,2025-10-30,2025-10-31,1,1,2,-0.002308623553732625,-0.002308623553732625,-0.008021390374331472,日经ETF(513880),日经ETF(513880),日经ETF(513880),3,3,日经ETF(513880) 61.5%,创业板50(159949) -2.0%; 纳指ETF(159941) -1.3%; H股(159954) -1.0%,True
2012-12-26,2012-12-27,2012-12-27,2012-12-28,1,1,2,-0.0020383204239706743,-0.0020383204239706743,-0.0020383204239705632,沪深300(510300),沪深300(510300),沪深300(510300),0,0,沪深300(510300) 100.0%,沪深300(510300) -0.2%,True
2026-05-27,2026-05-28,2026-05-28,2026-05-29,1,1,2,-0.0018192844147969511,-0.0018192844147969511,0.0,纳指ETF(159941),纳指ETF(159941),纳指ETF(159941),1,1,纳指ETF(159941) 93.3%,黄金ETF(518880) -2.3%; 日经ETF(513880) -1.7%; H股(159954) -1.1%,True
2017-03-23,2017-03-24,2017-03-24,2017-03-27,1,1,2,-0.0017272400143936162,-0.0017272400143936162,0.009545849002025042,黄金ETF(518880),黄金ETF(518880),黄金ETF(518880),0,0,黄金ETF(518880) 80.0%,纳指ETF(159941) -0.6%; 黄金ETF(518880) -0.2%; 创业板50(159949) 0.9%,True
2022-06-24,2022-06-27,2022-06-27,2022-06-28,1,1,2,-0.001640359609999975,-0.001640359609999975,0.010876954452753163,创业板50(159949),创业板50(159949),创业板50(159949),2,2,创业板50(159949) 80.8%,创业板50(159949) -0.3%; 十年国债ETF(511260) -0.2%; 黄金ETF(518880) 0.7%,True
2013-01-21,2013-01-22,2013-01-22,2013-01-23,1,1,2,-0.001536098310291778,-0.001536098310291778,-0.001536098310291889,沪深300(510300),沪深300(510300),沪深300(510300),0,0,沪深300(510300) 100.0%,沪深300(510300) -0.2%,True
2020-01-09,2020-01-10,2020-01-10,2020-01-13,1,1,2,-0.001436781609195359,-0.001436781609195359,-0.00024050024050048524,创业板50(159949),创业板50(159949),创业板50(159949),0,0,创业板50(159949) 100.0%,豆粕(159985) -1.4%; 红利低波ETF(512890) -0.2%; 日经ETF(513880) -0.2%,True
2025-09-29,2025-09-30,2025-09-30,2025-10-09,1,1,2,-0.001299545159194282,-0.001299545159194282,0.0027495769881555887,创业板50(159949),创业板50(159949),创业板50(159949),0,0,创业板50(159949) 100.0%,红利低波ETF(512890) -0.7%; 创业板50(159949) -0.1%; 纳指ETF(159941) -0.1%,True
2012-05-28,2012-10-18,2012-12-14,2012-12-17,138,1,139,-0.0012107888028123348,-0.0012107888028123348,-0.07987711213517679,,沪深300(510300),沪深300(510300),3,3,沪深300(510300) 1.3%,沪深300(510300) -8.0%,True
2014-12-17,2014-12-18,2014-12-18,2014-12-19,1,1,2,-0.0011806375442741102,-0.0011806375442741102,-0.0011806375442738881,沪深300(510300),沪深300(510300),沪深300(510300),0,0,沪深300(510300) 100.0%,沪深300(510300) -0.1%; 黄金ETF(518880) 0.3%,True
2017-02-22,2017-02-23,2017-02-23,2017-02-24,1,1,2,-0.0008999999999999009,-0.0008999999999999009,-0.00430416068866557,纳指ETF(159941),黄金ETF(518880),黄金ETF(518880),1,2,黄金ETF(518880) 53.3%; 纳指ETF(159941) 33.3%,沪深300(510300) -0.4%; 纳指ETF(159941) 0.0%; 创业板50(159949) 0.1%,True
2016-03-04,2016-03-07,2016-03-07,2016-03-08,1,1,2,-0.0006035458317615872,-0.0006035458317615872,0.007794738551477831,黄金ETF(518880),黄金ETF(518880),沪深300(510300),1,2,黄金ETF(518880) 53.3%; 沪深300(510300) 33.3%,纳指ETF(159941) -0.2%; 黄金ETF(518880) -0.1%; 沪深300(510300) 0.8%,True
2025-04-14,2025-04-15,2025-04-15,2025-04-16,1,1,2,-0.00031834857376822345,-0.00031834857376822345,0.0007796257796257589,黄金ETF(518880),黄金ETF(518880),黄金ETF(518880),2,2,黄金ETF(518880) 74.1%,纳指ETF(159941) -1.4%; 豆粕(159985) -1.2%; 日经ETF(513880) -0.1%,True
2024-06-18,2024-06-19,2024-06-19,2024-06-20,1,1,2,-9.999999999987796e-05,-9.999999999987796e-05,-0.002812939521800395,纳指ETF(159941),纳指ETF(159941),纳指ETF(159941),2,2,纳指ETF(159941) 93.3%,创业板50(159949) -1.2%; 沪深300(510300) -0.3%; 纳指ETF(159941) 0.0%,True
