strategy,total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown,trade_count,trade_action_count,avg_exposure,latest_momentum,latest_exposure,max_drawdown_integral,max_drawdown_episode_integral,full_history_drawdown_integral,worst_drawdown_episode_integral,latest_holding_code,latest_holding_theme,latest_holding_name,latest_portfolio,total_return_diff_vs_baseline,annualized_return_diff_vs_baseline,sharpe_rf0_diff_vs_baseline,max_drawdown_diff_vs_baseline,max_drawdown_integral_diff_vs_baseline,trade_count_diff_vs_baseline,trade_action_count_diff_vs_baseline,is_soft_improvement
baseline,26.059373161449862,0.264213904953259,0.20146277941802307,1.311477513198759,-0.18982759788871417,949,1657,0.8167550482879719,0.2456140350877194,1.0,188.59025326965832,29.26812502965747,188.59025326965832,29.26812502965747,513880,日经ETF,日经225ETF华安,日经ETF / 日经225ETF华安 (513880) 72%；沪深300 / 沪深300ETF华泰柏瑞 (510300) 28%,0.0,0.0,0.0,0.0,0.0,0,0,True
slope_r2_020,24.628019117459253,0.2593391222513348,0.2017079685266531,1.285715800648037,-0.1946819013401645,928,1618,0.8167509511267192,0.2456140350877194,1.0,198.03290365191626,34.731876432773724,198.03290365191626,34.731876432773724,513880,日经ETF,日经225ETF华安,日经ETF / 日经225ETF华安 (513880) 72%；沪深300 / 沪深300ETF华泰柏瑞 (510300) 28%,-1.4313540439906092,-0.004874782701924207,-0.025761712550722127,-0.004854303451450326,9.442650382257938,-21,-39,False
slope_r2_035,23.30264148541768,0.2545942586603638,0.2012644621473662,1.2649737362672075,-0.19468190134016405,930,1615,0.816251097453907,0.2456140350877194,1.0,199.3035771215715,34.87454582019606,199.3035771215715,34.87454582019606,513880,日经ETF,日经225ETF华安,日经ETF / 日经225ETF华安 (513880) 72%；沪深300 / 沪深300ETF华泰柏瑞 (510300) 28%,-2.7567316760321816,-0.009619646292895245,-0.0465037769315515,-0.004854303451449882,10.713323851913174,-19,-42,False
slope_vol_025,19.22472522012929,0.23831903213765848,0.19489335253131956,1.222817654077557,-0.22632665005854147,986,1729,0.8156294995610185,0.2456140350877194,1.0,208.0433948026752,11.410444711729992,208.0433948026752,11.410444711729992,513880,日经ETF,日经225ETF华安,日经ETF / 日经225ETF华安 (513880) 72%；沪深300 / 沪深300ETF华泰柏瑞 (510300) 28%,-6.834647941320572,-0.025894872815600545,-0.088659859121202,-0.036499052169827295,19.45314153301689,37,72,False
slope_downvol_040,18.250457550214225,0.2339805369777932,0.1978830161752163,1.1824184889652893,-0.24111923193655793,964,1660,0.8160971612525608,0.2456140350877194,1.0,232.47184829986188,46.450006723030626,232.47184829986188,46.450006723030626,513880,日经ETF,日经225ETF华安,日经ETF / 日经225ETF华安 (513880) 72%；沪深300 / 沪深300ETF华泰柏瑞 (510300) 28%,-7.808915611235637,-0.03023336797546583,-0.1290590242334697,-0.05129163404784376,43.881595030203556,15,3,False
slope_downvol025_r2_020,17.582659474288786,0.23088733919168014,0.1998127702086309,1.1555184333343824,-0.22831318831703296,929,1606,0.8174059116183787,0.2456140350877194,1.0,224.70452698708092,42.65106118347475,224.70452698708092,42.65106118347475,513880,日经ETF,日经225ETF华安,日经ETF / 日经225ETF华安 (513880) 72%；沪深300 / 沪深300ETF华泰柏瑞 (510300) 28%,-8.476713687161077,-0.033326565761578886,-0.15595907986437663,-0.03848559042831878,36.114273717422606,-20,-51,False
slope_downvol_025,16.904686533929834,0.22763952702680967,0.20034618102627197,1.1362309271917623,-0.22733738505614032,933,1612,0.8181943225051215,0.2456140350877194,1.0,221.69048366419597,40.96645108631482,221.69048366419597,40.96645108631482,513880,日经ETF,日经225ETF华安,日经ETF / 日经225ETF华安 (513880) 72%；沪深300 / 沪深300ETF华泰柏瑞 (510300) 28%,-9.154686627520029,-0.03657437792644935,-0.17524658600699672,-0.037509787167426145,33.10023039453765,-16,-45,False
slope_vol_015,15.971263143175705,0.22297586441458295,0.19878618141470067,1.121686944372751,-0.2253874805065682,945,1634,0.8186145741878842,0.2456140350877194,1.0,212.26834946567317,43.57308172399486,212.26834946567317,43.57308172399486,513880,日经ETF,日经225ETF华安,日经ETF / 日经225ETF华安 (513880) 72%；沪深300 / 沪深300ETF华泰柏瑞 (510300) 28%,-10.088110018274158,-0.04123804053867608,-0.18979056882600798,-0.03555988261785403,23.67809619601485,-4,-23,False
