total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown,trade_count,avg_exposure,latest_holding_code,latest_holding_theme,latest_holding_name,latest_momentum,latest_exposure,strategy,base_strategy,threshold,windows,weights,return_diff,annualized_diff,sharpe_diff,mdd_diff,trade_diff
15.801035886980724,0.22096064375144442,0.23844512920227942,0.9266729183803019,-0.25350949628406283,1163,0.835574963609898,159985,豆粕,豆粕ETF,0.026011560693641522,0.8,baseline_k25,baseline_k25,0.05,[25],[1.0],0.0,0.0,0.0,0.0,0
9.25721339115261,0.17906533196067786,0.23717758817641457,0.7549842012369552,-0.266885150208631,983,0.8323144104803495,159985,豆粕,豆粕ETF,0.004291232881393515,1.0,mh_20_25_30_thr05,mh_20_25_30,0.05,"[20, 25, 30]","[0.3, 0.4, 0.3]",-6.543822495828113,-0.041895311790766554,-0.17168871714334666,-0.013375653924568187,-180
8.551217743081882,0.17313087768759616,0.23379184635844158,0.7405342845967258,-0.28032017669690656,1136,0.8216593886462883,159985,豆粕,豆粕ETF,0.0331134974665606,0.8,mh_10_20_25_thr05,mh_10_20_25,0.05,"[10, 20, 25]","[0.2, 0.4, 0.4]",-7.2498181438988425,-0.047829766063848256,-0.1861386337835761,-0.026810680412843735,-27
4.861190542449315,0.13328913748491344,0.23918051300483037,0.5572742353062082,-0.34618228808533336,993,0.8375545851528384,159985,豆粕,豆粕ETF,0.03747621846657759,0.8,mh_15_25_60_thr05,mh_15_25_60,0.05,"[15, 25, 60]","[0.25, 0.5, 0.25]",-10.93984534453141,-0.08767150626653097,-0.3693986830740936,-0.09267279180127053,-170
3.3774655829718645,0.11012348742978673,0.24174777845170572,0.45553050429287084,-0.3160638641418714,728,0.8620087336244542,513880,日经ETF,日经225ETF华安,0.08093249098099789,1.0,mh_30_60_120_thr05,mh_30_60_120,0.05,"[30, 60, 120]","[0.4, 0.35, 0.25]",-12.423570304008859,-0.11083715632165769,-0.471142414087431,-0.06255436785780855,-435
3.1403888242874753,0.10575843736931168,0.24391807412135857,0.4335817989309509,-0.3763760063073074,911,0.8477438136826783,513880,日经ETF,日经225ETF华安,0.07416452522135172,1.0,mh_25_60_thr05,mh_25_60,0.05,"[25, 60]","[0.6, 0.4]",-12.660647062693249,-0.11520220638213274,-0.49309111944935097,-0.12286651002324456,-252
1.9990678869676328,0.08081244821599864,0.24786367741781168,0.32603586397928347,-0.38091444067833014,840,0.8652110625909752,513880,日经ETF,日经225ETF华安,0.07505483376549366,1.0,mh_20_60_120_thr05,mh_20_60_120,0.05,"[20, 60, 120]","[0.4, 0.35, 0.25]",-13.80196800001309,-0.14014819553544577,-0.6006370544010184,-0.1274049443942673,-323
